"","year","aet.annual","aet.wateryr","aet.winter","cwd.annual","cwd.wateryr","cwd.winter","pet.annual","pet.wateryr","pet.winter","ppt.annual","ppt.wateryr","ppt.winter","tmean.annual","tmean.wateryr","tmean.winter"
"1","1896",562.930002449,596.719999539,87.74000167,618.4699936,459.0199967,0,1185.30001845,1180.70001226,90.40000152,1023.310007856,869.169997053,453.019993826,14.1424999823333,13.8879165935833,8.29000000116667
"2","1897",433.900002162,416.990002311,80.60999871,739.38999944,762.71999356,0,1197.20000648,1201.5000077,87,661.669999271,824.52000344,458.7800064,13.9116667564583,14.219583437,7.36833337883333
"3","1898",383.540001165,408.029999996,75.33000184,791.949985899,766.85999298,0,1193.60000801,1192.30000687,86.90000153,366.299996555,420.959999276,231.74999997,13.9499999159583,13.8837499100833,6.8333332835
"4","1899",507.409996483,467.819997523,82.82999992,675.33999255,707.509994949,0,1184.60000222,1180.00000368,87.5,956.250010532,628.849998752,248.829994649,13.8504165406667,13.6054165954583,7.2316666435
"5","1900",563.449995616,555.489995814,90.90000152,626.7500077,643.3099976,0,1190.19999894,1198.79999932,90.90000152,638.510004393,782.830009081,319.82999804,14.2833332420833,14.5441665847083,8.69500001333333
"6","1901",496.450005162,498.240004634,80.75,702.10000616,689.91001139,0,1205.00000961,1194.60001382,87.20000076,702.859999292,771.650008284,419.38999941,14.6454166029167,14.09291655375,7.2450000655
"7","1902",534.230000763,539.830001834,86.77999878,646.1899872,641.88998417,0,1189.60000999,1190.90000925,89.5,828.020009243,774.310008944,392.58001323,13.916666696125,14.2741667330417,8.1566666755
"8","1903",388.979996815,446.959994839,72.1800003,787.21999351,727.33999626,0,1189.69998932,1187.79998587,85.30000114,684.089998846,713.53999999,311.96000673,14.0700000019167,13.7204166542083,6.70166659266667
"9","1904",599.999995028,447.299996993,85.10000038,599.79999549,755.19999318,0,1204.40000723,1206.2000046,88.79999924,1048.709998826,946.259998931,414.04998776,14.4537500645,14.6499999665,7.9633331705
"10","1905",483.369995757,657.849997236,89.59999848,722.189981942,550.74998846,0,1209.29999543,1209.49999999,90.5,589.780001547,868.880001946,365.69999695,14.8924998935417,14.9437500134167,8.41166675283333
"11","1906",519.600010285,509.020007871,86.43999862,685.97999567,688.119989942,0,1206.50000577,1201.80001268,91.10000038,1078.910022985,900.400012651,495.64000697,14.9770834147083,14.66208331825,8.45333334
"12","1907",390.930004065,410.22000453,83.5,777.56999593,764.67998884,0,1183.4000091,1189.800003,90.29999924,876.139999813,949.170005788,516.8300171,13.966666758625,14.2020834284167,8.23166668483333
"13","1908",388.610000901,350.920000433,83.38999939,810.47999949,850.32000728,0,1208.69999879,1207.19999879,88.00000191,470.189996085,491.290000317,402.0299988,14.6987501282083,14.7925001483333,7.550000151
"14","1909",436.460006187,401.670006225,83.35000039,761.31999588,799.90999992,0,1204.00000775,1206.70001035,87.00000191,1153.609997974,1005.609989342,840.50998687,14.3050001262083,14.5741668545,7.08666670266667
"15","1910",385.339988753,433.409989874,59.37999916,805.120009367,749.47000499,0,1209.00000951,1205.90000531,82.40000153,411.170004742,632.690012393,376.18000802,14.4900000746667,14.1400000404167,5.16666672683333
