Units,,,,KW-hr/m2,m/s,Celsius,Celsius,Celsius,Percent,Percent,Percent,mm,inches,inches,mm,mm,mm
month,year,wateryear,wateryearquarter,avg.daily.solar.radiation,average.windspeed,avg.daily.mean.temp,avg.daily.max.temp,avg.daily.min.temp,avg.daily.mean.humidity,avg.daily.max.humidity,avg.daily.min.humidity,total.precip,total.PenmanET_inches,avg.daily.mean.PenmanET_inches,total.PenmanET_mm,avg.daily.PenmanET_mm,total.water.bal
9,1999,1999,early,5.96,1.9,32.8,36.1,14.0,32,49,18,1.02,7.37,0.25,187.198,6.35,-186.18
10,1999,1999,early,4.28,1.9,17.4,33.3,9.5,38,58,21,18.80,5.05,0.17,128.27,4.318,-109.47
11,1999,1999,early,3.80,1.4,15.7,27.3,6.9,54,83,38,0.00,0.75,0.13,19.05,3.302,-19.05
12,1999,1999,mid,2.74,3.5,10.7,15.9,5.1,44,69,30,0.00,2.14,0.09,54.356,2.286,-54.36
1,2000,1999,mid,1.72,2.2,7.2,11.2,3.3,83,95,70,185.67,1.45,0.05,36.83,1.27,148.84
2,2000,1999,mid,1.91,2.6,7.3,11.2,3.6,92,99,78,293.37,1.49,0.06,37.846,1.524,255.52
3,2000,1999,late,4.78,3.1,10.6,16.9,4.8,64,84,42,68.83,4.54,0.15,115.316,3.81,-46.49
4,2000,1999,late,6.10,2.2,13.4,21.3,6.1,62,89,34,55.63,5.21,0.19,132.334,4.826,-76.70
5,2000,1999,late,6.87,2.1,16.8,23.9,9.7,58,84,33,35.05,6.98,0.24,177.292,6.096,-142.24
6,2000,1999,late,8.20,2.6,23.2,31,14,45,73,24,8.13,9.75,0.33,247.65,8.382,-239.52
7,2000,NA,,7.96,1.6,22.7,31.7,12.5,45,78,21,0.00,9.00,0.31,228.6,7.874,-228.60
8,2000,NA,,7.16,1.6,23.7,32.9,13.7,38,63,17,0.00,9.30,0.30,236.22,7.62,-236.22
9,2000,2000,early,5.60,2.6,21,29.2,12.8,46,72,25,5.08,6.78,0.23,172.212,5.842,-167.13
10,2000,2000,early,3.93,2.4,14.7,21.8,8.1,61,84,40,68.58,4.04,0.14,102.616,3.556,-34.04
11,2000,2000,early,2.93,1.8,8.3,14.7,3,71,91,47,27.43,2.09,0.07,53.086,1.778,-25.66
12,2000,2000,mid,2.14,2.2,14.3,20.6,8.9,100,100,100,20.57,2.08,0.07,52.832,1.778,-32.26
1,2001,2000,mid,2.50,3.3,7,12.2,2.3,61,79,47,169.16,2.14,0.07,54.356,1.778,114.80
2,2001,2000,mid,2.97,3.8,7,11.1,2.6,70,89,55,146.30,1.99,0.08,50.546,2.032,95.75
3,2001,2000,late,4.64,2.6,12.3,19.5,6.5,65,87,40,62.23,4.16,0.15,105.664,3.81,-43.43
4,2001,2000,late,6.27,2.2,10.8,18,3.8,65,93,34,31.24,4.91,0.18,124.714,4.572,-93.47
5,2001,2000,late,8.05,3.2,22.2,30.1,14,35,58,19,0.00,10.1,0.33,256.54,8.382,-256.54
6,2001,2000,late,7.84,2.4,22.4,30.0,14.1,42,65,24,3.56,9.03,0.32,229.362,8.128,-225.80
7,2001,NA,,7.93,1.8,24.1,33.3,13.7,46,76,25,0.00,9.83,0.33,249.682,8.382,-249.68
8,2001,NA,,7.60,1.7,24.9,34.1,14.1,46,72,23,0.00,9.29,0.32,235.966,8.128,-235.97
9,2001,2001,early,5.96,1.8,22.3,31.6,12.7,46,74,26,13.46,6.65,0.26,168.91,6.604,-155.45
10,2001,2001,early,4.38,2.2,18.3,26.6,11.2,52,71,34,48.01,5.47,0.18,138.938,4.572,-90.93
11,2001,2001,early,2.42,2.2,10.5,15.5,5.5,85,97,71,162.81,1.87,0.07,47.498,1.778,115.31
12,2001,2001,mid,1.48,3.0,6.4,10.0,3.4,92,100,82,266.70,1.14,0.04,28.956,1.016,237.74
1,2002,2001,mid,2.48,2.6,5.9,11.1,1.3,81,98,61,85.34,1.61,0.06,40.894,1.524,44.45
2,2002,2001,mid,3.47,2.8,9.5,16.0,13.8,58,78,10,26.92,2.94,0.11,74.676,2.794,-47.76
3,2002,2001,late,4.66,3.1,9.6,16.2,3.0,54,78,33,44.45,4.32,0.15,109.728,3.81,-65.28
4,2002,2001,late,5.62,2.3,12.3,20.1,4.8,58,87,36,15.24,4.53,0.19,115.062,4.826,-99.82
5,2002,2001,late,7.02,2.4,16.6,24.4,8.9,47,69,27,29.72,7.16,0.26,181.864,6.604,-152.14
