,yrmts,ppt
1,1895dec,21.34000015
2,1895nov,37.09999847
3,1895oct,82.09999847
4,1896apr,93.69999695
5,1896aug,7.440000057
6,1896dec,26
7,1896feb,39.70000076
8,1896jan,26.70000076
9,1896jul,1.299999952
10,1896jun,71.33999634
11,1896mar,69.90000153
12,1896may,146.1000061
13,1896nov,35.5
14,1896oct,31.89999962
15,1896sep,13.35000038
16,1897apr,114.4000015
17,1897aug,0.959999979
18,1897dec,22.28000069
19,1897feb,31.05999947
20,1897jan,23.54999924
21,1897jul,1.049999952
22,1897jun,12.80000019
23,1897mar,46.70000076
24,1897may,79.72000122
25,1897nov,36.29999924
26,1897oct,60.34000015
27,1897sep,4.739999771
28,1898apr,114.5999985
29,1898aug,0.200000003
30,1898dec,21.47999954
31,1898feb,38.90000153
32,1898jan,14.14999962
33,1898jul,0.289999992
34,1898jun,10.61999989
35,1898mar,61.36000061
36,1898may,44.25
37,1898nov,32.47000122
38,1898oct,30.84000015
39,1898sep,14.38000011
40,1899apr,109.6999969
41,1899aug,3.539999962
42,1899dec,25.20000076
43,1899feb,36.20000076
44,1899jan,25.14999962
45,1899jul,0.050000001
46,1899jun,11.86999989
47,1899mar,67.09999847
48,1899may,115.0400009
49,1899nov,37.20000076
50,1899oct,76.09999847
51,1899sep,0.25999999
52,1900apr,105.8000031
53,1900aug,0.889999986
54,1900dec,25.60000038
55,1900feb,38.5
56,1900jan,27.20000076
57,1900jul,0.439999998
58,1900jun,13.39999962
59,1900mar,74.59999847
60,1900may,155.8999939
61,1900nov,37.70000076
62,1900oct,77.09999847
63,1900sep,6.320000172
64,1901apr,107
65,1901aug,0.310000002
66,1901dec,26
67,1901feb,36.27000046
68,1901jan,18.87999916
69,1901jul,0
70,1901jun,0.25
71,1901mar,71.40000153
72,1901may,117.4100037
73,1901nov,38.59999847
74,1901oct,45.15000153
75,1901sep,35.18000031
76,1902apr,105.0999985
77,1902aug,0.819999993
78,1902dec,24.70000076
79,1902feb,37.79999924
80,1902jan,22.97999954
81,1902jul,0.100000001
82,1902jun,18.05999947
83,1902mar,60.24000168
84,1902may,149.8000031
85,1902nov,35.40000153
86,1902oct,79.19999695
87,1902sep,0.029999999
88,1903apr,105.0999985
89,1903aug,0
90,1903dec,26.10000038
91,1903feb,22.09000015
92,1903jan,25.38999939
93,1903jul,0
94,1903jun,0.74000001
95,1903mar,66.31999969
96,1903may,87.98999786
97,1903nov,38.20000076
98,1903oct,16.92000008
99,1903sep,0.129999995
100,1904apr,107
101,1904aug,1.769999981
102,1904dec,23.79999924
103,1904feb,36.79999924
104,1904jan,22.20000076
105,1904jul,1.570000052
106,1904jun,0.629999995
107,1904mar,66.80000305
108,1904may,129.1799927
109,1904nov,38.40000153
110,1904oct,78.90000153
111,1904sep,92.94999695
112,1905apr,110.3000031
113,1905aug,1.139999986
114,1905dec,20.45999908
115,1905feb,39.29999924
116,1905jan,26.5
117,1905jul,0
118,1905jun,23.76000023
119,1905mar,72.90000153
120,1905may,149.8999939
121,1905nov,37.68999863
122,1905oct,0.230000004
123,1905sep,1.190000057
124,1906apr,109.8000031
125,1906aug,0.25999999
126,1906dec,25.79999924
127,1906feb,40.5
128,1906jan,25.47999954
129,1906jul,0
130,1906jun,52.31000137
131,1906mar,69.5
132,1906may,151.6000061
133,1906nov,37.20000076
134,1906oct,0.349999994
135,1906sep,6.800000191
136,1907apr,111
137,1907aug,0
138,1907dec,25
139,1907feb,40.5
140,1907jan,17.20000076
141,1907jul,0.879999995
142,1907jun,22.17000008
143,1907mar,56.70000076
144,1907may,91.62000275
145,1907nov,4.260000229
146,1907oct,20.80999947
147,1907sep,0.790000021
148,1908apr,113.5999985
149,1908aug,0
150,1908dec,20.04999924
151,1908feb,32.77999878
152,1908jan,25.61000061
153,1908jul,0.029999999
154,1908jun,2.579999924
155,1908mar,70.05000305
