,yrmts,ppt
1,1895apr,108.9000015
2,1895aug,166.5
3,1895dec,24
4,1895feb,39.90000153
5,1895jan,25.60000038
6,1895jul,187.3999939
7,1895jun,178.6000061
8,1895mar,69.80000305
9,1895may,154.5
10,1895nov,37.09999847
11,1895oct,82.09999847
12,1895sep,118.4000015
13,1896apr,97.59999847
14,1896aug,165
15,1896dec,26
16,1896feb,39.70000076
17,1896jan,26.70000076
18,1896jul,195.3000031
19,1896jun,178.8000031
20,1896mar,69.90000153
21,1896may,146.1000061
22,1896nov,35.5
23,1896oct,81.90000153
24,1896sep,122.8000031
25,1897apr,114.4000015
26,1897aug,170
27,1897dec,24.39999962
28,1897feb,35.5
29,1897jan,25.5
30,1897jul,191.3000031
31,1897jun,172.3000031
32,1897mar,62.09999847
33,1897may,164.1999969
34,1897nov,36.29999924
35,1897oct,78.80000305
36,1897sep,122.4000015
37,1898apr,114.5999985
38,1898aug,168.1999969
39,1898dec,24.29999924
40,1898feb,38.90000153
41,1898jan,23.60000038
42,1898jul,192.8000031
43,1898jun,174.6000061
44,1898mar,67.19999695
45,1898may,150.5
46,1898nov,36.70000076
47,1898oct,78.30000305
48,1898sep,123.9000015
49,1899apr,109.6999969
50,1899aug,158.6000061
51,1899dec,25.20000076
52,1899feb,37.5
53,1899jan,25.70000076
54,1899jul,193.3999939
55,1899jun,177.6000061
56,1899mar,67.09999847
57,1899may,147.1999969
58,1899nov,37.20000076
59,1899oct,76.09999847
60,1899sep,129.3000031
61,1900apr,105.8000031
62,1900aug,160
63,1900dec,25.60000038
64,1900feb,38.5
65,1900jan,27.20000076
66,1900jul,191.3000031
67,1900jun,177.6999969
68,1900mar,74.59999847
69,1900may,155.8999939
70,1900nov,37.70000076
71,1900oct,77.09999847
72,1900sep,118.8000031
73,1901apr,107
74,1901aug,170.6999969
75,1901dec,26
76,1901feb,37
77,1901jan,24.60000038
78,1901jul,193.3000031
79,1901jun,175.6000061
80,1901mar,71.40000153
81,1901may,155.8000031
82,1901nov,38.59999847
83,1901oct,82.90000153
84,1901sep,122.0999985
85,1902apr,105.0999985
86,1902aug,165.6000061
87,1902dec,24.70000076
88,1902feb,37.79999924
89,1902jan,25.70000076
90,1902jul,193
91,1902jun,177.6000061
92,1902mar,66.69999695
93,1902may,149.8000031
94,1902nov,35.40000153
95,1902oct,79.19999695
96,1902sep,129
97,1903apr,105.0999985
98,1903aug,165
99,1903dec,26.10000038
100,1903feb,34.5
101,1903jan,26.10000038
102,1903jul,183.6999969
103,1903jun,178.5
104,1903mar,66.69999695
105,1903may,159.8999939
106,1903nov,38.20000076
107,1903oct,81.30000305
108,1903sep,124.5999985
109,1904apr,107
110,1904aug,169.1999969
111,1904dec,24.70000076
112,1904feb,36.79999924
113,1904jan,25.89999962
114,1904jul,189.1000061
115,1904jun,178.8999939
116,1904mar,66.80000305
117,1904may,162.3000031
118,1904nov,38.40000153
119,1904oct,78.90000153
120,1904sep,126.4000015
121,1905apr,110.3000031
122,1905aug,171.3999939
123,1905dec,24.20000076
124,1905feb,39.29999924
125,1905jan,26.5
126,1905jul,196.6999969
127,1905jun,174.1000061
128,1905mar,72.90000153
129,1905may,149.8999939
130,1905nov,38
131,1905oct,81
132,1905sep,125
133,1906apr,109.8000031
134,1906aug,170.1000061
135,1906dec,25.79999924
136,1906feb,40.5
137,1906jan,26.39999962
138,1906jul,197.8000031
139,1906jun,167.8999939
140,1906mar,69.5
141,1906may,151.6000061
142,1906nov,37.20000076
143,1906oct,83.19999695
144,1906sep,126.6999969
145,1907apr,111
146,1907aug,164.8999939
147,1907dec,25
148,1907feb,40.5
149,1907jan,24
150,1907jul,188.1000061
151,1907jun,169.1000061
152,1907mar,64.80000305
153,1907may,154.5
154,1907nov,39.5
155,1907oct,80.80000305
156,1907sep,121.1999969
157,1908apr,113.5999985
158,1908aug,171.1999969
159,1908dec,23.70000076
160,1908feb,36.90000153
161,1908jan,26.10000038
162,1908jul,200
163,1908jun,173.3000031
164,1908mar,71.40000153
165,1908may,148.1999969
166,1908nov,39.20000076
167,1908oct,78.40000153
168,1908sep,126.6999969
169,1909apr,114
170,1909aug,169
171,1909dec,23.39999962
172,1909feb,36.90000153
173,1909jan,26.39999962
174,1909jul,190.3000031
175,1909jun,176.8000031
176,1909mar,67.69999695
177,1909may,157.6000061
178,1909nov,36.20000076
179,1909oct,79.59999847
180,1909sep,126.0999985
181,1910apr,113.6999969
182,1910aug,169.6000061
183,1910dec,25.5
184,1910feb,35.90000153
185,1910jan,23.10000038
186,1910jul,192
187,1910jun,172.1000061
188,1910mar,73.69999695
189,1910may,160.5
190,1910nov,37
191,1910oct,81.30000305
192,1910sep,124.5999985
193,1911apr,107.1999969
194,1911aug,166.3000031
195,1911dec,24.5
196,1911feb,34.59999847
197,1911jan,25.20000076
198,1911jul,197.8000031
199,1911jun,176.1999969
200,1911mar,71.69999695
201,1911may,148.1999969
202,1911nov,37.90000153
203,1911oct,79.09999847
204,1911sep,119.3000031
205,1912apr,104.0999985
206,1912aug,165.1999969
207,1912dec,24.60000038
208,1912feb,39.20000076
209,1912jan,26.5
210,1912jul,189.8999939
211,1912jun,174.8000031
212,1912mar,67.30000305
213,1912may,155.3000031
