,yrmts,ppt
1,1895apr,36.04999924
2,1895aug,1.070000052
3,1895dec,80.83999634
4,1895feb,74.88999939
5,1895jan,451.3999939
6,1895jul,4.579999924
7,1895jun,0.090000004
8,1895mar,89.12999725
9,1895may,37.25
10,1895nov,54.65000153
11,1895oct,5.409999847
12,1895sep,46.02999878
13,1896apr,162.5500031
14,1896aug,7.440000057
15,1896dec,148.6000061
16,1896feb,5.369999886
17,1896jan,366.8099976
18,1896jul,1.299999952
19,1896jun,1.019999981
20,1896mar,100.2200012
21,1896may,37.52999878
22,1896nov,147.2200012
23,1896oct,31.89999962
24,1896sep,13.35000038
25,1897apr,9.329999924
26,1897aug,0.959999979
27,1897dec,68.51000214
28,1897feb,205.1699982
29,1897jan,105.0100021
30,1897jul,1.049999952
31,1897jun,12.80000019
32,1897mar,143.2299957
33,1897may,5.900000095
34,1897nov,44.63000107
35,1897oct,60.34000015
36,1897sep,4.739999771
37,1898apr,11.03999996
38,1898aug,0.200000003
39,1898dec,45.86999893
40,1898feb,124.5899963
41,1898jan,38.65000153
42,1898jul,0.289999992
43,1898jun,10.61999989
44,1898mar,13.31999969
45,1898may,44.02999878
46,1898nov,32.47000122
47,1898oct,30.84000015
48,1898sep,14.38000011
49,1899apr,16.38999939
50,1899aug,3.539999962
51,1899dec,167.2200012
52,1899feb,6.980000019
53,1899jan,195.9799957
54,1899jul,0.050000001
55,1899jun,11.86999989
56,1899mar,241.0200043
57,1899may,29.45999908
58,1899nov,135.4900055
59,1899oct,147.9900055
60,1899sep,0.25999999
61,1900apr,54.84999847
62,1900aug,0.889999986
63,1900dec,71.86000061
64,1900feb,35.97999954
65,1900jan,116.6299973
66,1900jul,0.439999998
67,1900jun,3.180000067
68,1900mar,81.72000122
69,1900may,38.18000031
70,1900nov,144.4900055
71,1900oct,83.97000122
72,1900sep,6.320000172
73,1901apr,65.61000061
74,1901aug,0.310000002
75,1901dec,53.91999817
76,1901feb,165.4100037
77,1901jan,182.1199951
78,1901jul,0
79,1901jun,0.25
80,1901mar,27.12000084
