,yrmts,ppt
1,1895apr,6.349999905
2,1895aug,12.85999966
3,1895dec,2.660000086
4,1895feb,4.980000019
5,1895jan,1.950000048
6,1895jul,12.64000034
7,1895jun,12.64999962
8,1895mar,4.110000134
9,1895may,9.270000458
10,1895nov,5.630000114
11,1895oct,9.789999962
12,1895sep,9.159999847
13,1896apr,3.119999886
14,1896aug,12.89000034
15,1896dec,5.75
16,1896feb,4.489999771
17,1896jan,5.25
18,1896jul,15.39999962
19,1896jun,13.14000034
20,1896mar,5.25
21,1896may,6.71999979
22,1896nov,5
23,1896oct,9.399999619
24,1896sep,11.26000023
25,1897apr,7.559999943
26,1897aug,14.5
27,1897dec,2.769999981
28,1897feb,2.680000067
29,1897jan,2.900000095
30,1897jul,13.77000046
31,1897jun,11.31999969
32,1897mar,1.649999976
33,1897may,11.09000015
34,1897nov,4.690000057
35,1897oct,8.460000038
36,1897sep,10.97000027
37,1898apr,7.309999943
38,1898aug,13.97000027
39,1898dec,2.5
40,1898feb,4.889999866
41,1898jan,0.180000007
42,1898jul,13.60999966
43,1898jun,11.43999958
44,1898mar,2.539999962
45,1898may,7.800000191
46,1898nov,4.960000038
47,1898oct,8.449999809
48,1898sep,11.21000004
49,1899apr,6.210000038
50,1899aug,10.48999977
51,1899dec,4.489999771
52,1899feb,3.180000067
53,1899jan,3.339999914
54,1899jul,14.06999969
55,1899jun,11.92000008
56,1899mar,4.489999771
57,1899may,6.579999924
58,1899nov,6.840000153
59,1899oct,7.429999828
60,1899sep,12.73999977
61,1900apr,5.210000038
62,1900aug,10.18000031
63,1900dec,4.400000095
64,1900feb,4.090000153
65,1900jan,5.119999886
66,1900jul,13.01000023
67,1900jun,12.19999981
68,1900mar,6.829999924
69,1900may,9
70,1900nov,6.179999828
71,1900oct,7.900000095
72,1900sep,8.850000381
73,1901apr,4.949999809
74,1901aug,15.01000023
75,1901dec,4.929999828
76,1901feb,3.339999914
77,1901jan,1.590000033
78,1901jul,14.52000046
79,1901jun,11.71000004
80,1901mar,4.980000019
81,1901may,9.319999695
82,1901nov,7.989999771
83,1901oct,10.63000011
84,1901sep,10.72000027
85,1902apr,5.260000229
86,1902aug,12.60999966
87,1902dec,3.619999886
88,1902feb,5.110000134
89,1902jan,2.519999981
90,1902jul,15.51000023
91,1902jun,12.01000023
92,1902mar,2.470000029
93,1902may,7.519999981
94,1902nov,4.099999905
95,1902oct,8.479999542
96,1902sep,13.06999969
97,1903apr,4.230000019
98,1903aug,10.72999954
99,1903dec,4.909999847
100,1903feb,-0.49000001
101,1903jan,3.25999999
102,1903jul,9.630000114
103,1903jun,12.48999977
104,1903mar,3.450000048
105,1903may,9.470000267
106,1903nov,6.989999771
107,1903oct,7.28000021
108,1903sep,10.31999969
109,1904apr,5.539999962
110,1904aug,12.90999985
111,1904dec,3.190000057
112,1904feb,3.950000048
113,1904jan,1.960000038
114,1904jul,11.97000027
115,1904jun,11.27999973
116,1904mar,4.800000191
117,1904may,9.649999619
118,1904nov,5.650000095
119,1904oct,8.270000458
120,1904sep,11.57999992
121,1905apr,5.929999828
122,1905aug,14.89999962
123,1905dec,2.099999905
124,1905feb,4.21999979
125,1905jan,3.74000001
126,1905jul,15.19999981
127,1905jun,10.39000034
128,1905mar,6.039999962
129,1905may,6.820000172
130,1905nov,5.630000114
