,yrmts,ppt
1,1895apr,18.06999969
2,1895aug,31.62999916
3,1895dec,10.25
4,1895feb,15.39000034
5,1895jan,8.640000343
6,1895jul,30.89999962
7,1895jun,29.37999916
8,1895mar,14.90999985
9,1895may,21.87000084
10,1895nov,14.77999973
11,1895oct,24.31999969
12,1895sep,24.65999985
13,1896apr,12.64000034
14,1896aug,30.46999931
15,1896dec,12.88000011
16,1896feb,15.5
17,1896jan,11.59000015
18,1896jul,33.59000015
19,1896jun,29
20,1896mar,13.88000011
21,1896may,19.12999916
22,1896nov,12.05000019
23,1896oct,24.52000046
24,1896sep,26.5
25,1897apr,21.28000069
26,1897aug,32.75
27,1897dec,11.15999985
28,1897feb,9.239999771
29,1897jan,10.76000023
30,1897jul,32.40000153
31,1897jun,26.43000031
32,1897mar,9.109999657
33,1897may,26.46999931
34,1897nov,14
35,1897oct,21.5
36,1897sep,26.42000008
37,1898apr,21.72999954
38,1898aug,31.87999916
39,1898dec,11.13000011
40,1898feb,13.52999973
41,1898jan,8.470000267
42,1898jul,33.63000107
43,1898jun,27.87999916
44,1898mar,13.57999992
45,1898may,20.79999924
46,1898nov,14.72000027
47,1898oct,20.96999931
48,1898sep,27.62000084
49,1899apr,18.85000038
50,1899aug,28.10000038
51,1899dec,11.67000008
52,1899feb,12.38000011
53,1899jan,10.85999966
54,1899jul,33.59999847
55,1899jun,29.42000008
56,1899mar,11.5
57,1899may,19.97999954
58,1899nov,13.81000042
59,1899oct,19.23999977
60,1899sep,31.21999931
61,1900apr,16.71999931
62,1900aug,29.39999962
63,1900dec,12.90999985
64,1900feb,13.51000023
65,1900jan,13.28999996
66,1900jul,33.20999908
67,1900jun,29.22999954
68,1900mar,17.60000038
69,1900may,23.02000046
70,1900nov,15.65999985
71,1900oct,19.97999954
72,1900sep,25.29999924
73,1901apr,17.90999985
74,1901aug,32.75999832
75,1901dec,13.53999996
76,1901feb,11.43000031
77,1901jan,9.800000191
78,1901jul,33.09000015
79,1901jun,28.23999977
80,1901mar,15.73999977
81,1901may,22.65999985
82,1901nov,15.71000004
83,1901oct,24.51000023
84,1901sep,26.40999985
85,1902apr,16.12999916
86,1902aug,31.20000076
87,1902dec,11.18999958
88,1902feb,11.06999969
89,1902jan,11.77000046
90,1902jul,31.89999962
91,1902jun,29.35000038
92,1902mar,13.10000038
93,1902may,20.61000061
94,1902nov,12.81000042
95,1902oct,21.96999931
96,1902sep,30.62000084
97,1903apr,17.20000076
98,1903aug,32.59000015
99,1903dec,13.85999966
100,1903feb,10.60000038
101,1903jan,12.02999973
102,1903jul,31.40999985
103,1903jun,29.46999931
104,1903mar,12.17000008
105,1903may,25.19000053
106,1903nov,15.94999981
107,1903oct,25.82999992
108,1903sep,29.11000061
109,1904apr,17.37000084
110,1904aug,33.65999985
111,1904dec,11.71000004
112,1904feb,10.36999989
113,1904jan,12.72999954
114,1904jul,32.70999908
115,1904jun,30.93000031
116,1904mar,10.92000008
117,1904may,26.60000038
118,1904nov,17.61000061
119,1904oct,21.90999985
120,1904sep,29.62000084
121,1905apr,19.56999969
122,1905aug,33.45999908
123,1905dec,11.14999962
124,1905feb,14.93000031
125,1905jan,12.68000031
126,1905jul,34.81000137
127,1905jun,28.57999992
128,1905mar,16.45999908
129,1905may,21.37999916
130,1905nov,16.87000084
131,1905oct,24.87999916
132,1905sep,29.30999947
133,1906apr,19.15999985
134,1906aug,33.83000183
135,1906dec,13.42000008
136,1906feb,15.43000031
137,1906jan,12.86999989
138,1906jul,36.18000031
139,1906jun,25.38999939
140,1906mar,13.13000011
141,1906may,21.31999969
142,1906nov,16.19000053
143,1906oct,26.57999992
