"Site","Scale","Biomass","Year"
"1*L","Landscape",17.40,1998.00
"2*L","Landscape",12.70,1998.00
"3*L","Landscape",7.20,1998.00
"4*L","Landscape",22.90,1998.00
"5*L","Landscape",14.60,1998.00
"6*L","Landscape",5.10,1998.00
"7*L","Landscape",9.60,1998.00
"8*L","Landscape",1.90,1998.00
"9*L","Landscape",43.30,1998.00
"10*L","Landscape",18.30,1998.00
"11*L","Landscape",15.50,1998.00
"12*L","Landscape",5.30,1998.00
"13*L","Landscape",4.00,1998.00
"14*L","Landscape",10.50,1998.00
"15*L","Landscape",8.10,1998.00
"16*L","Landscape",7.10,1998.00
"17*L","Landscape",10.10,1998.00
"18*L","Landscape",4.40,1998.00
"19*L","Landscape",7.70,1998.00
"20*L","Landscape",17.20,1998.00
"21*L","Landscape",19.00,1998.00
"22*L","Landscape",13.20,1998.00
"23*L","Landscape",7.10,1998.00
"24*L","Landscape",23.10,1998.00
"25*L","Landscape",5.90,1998.00
"26*L","Landscape",6.80,1998.00
"27*L","Landscape",6.50,1998.00
"28*L","Landscape",7.90,1998.00
"29*L","Landscape",1.50,1998.00
"30*L","Landscape",8.40,1998.00
"31*L","Landscape",5.80,1998.00
"32*L","Landscape",9.10,1998.00
"33*L","Landscape",5.20,1998.00
"34*L","Landscape",28.00,1998.00
"35*L","Landscape",28.80,1998.00
"36*L","Landscape",23.90,1998.00
"37*L","Landscape",28.40,1998.00
"38*L","Landscape",16.00,1998.00
"39*L","Landscape",10.30,1998.00
"40*L","Landscape",15.40,1998.00
"41*L","Landscape",23.20,1998.00
"42*L","Landscape",22.50,1998.00
"43*L","Landscape",11.90,1998.00
"44*L","Landscape",6.60,1998.00
"45*L","Landscape",2.60,1998.00
"46*L","Landscape",10.20,1998.00
"47*L","Landscape",1.65,1998.00
"48*L","Landscape",1.80,1998.00
"49*L","Landscape",3.50,1998.00
"50*L","Landscape",43.10,1998.00
"51*L","Landscape",42.50,1998.00
"52*L","Landscape",24.20,1998.00
"53*L","Landscape",23.10,1998.00
"54*L","Landscape",18.00,1998.00
"55*L","Landscape",3.70,1998.00
"56*L","Landscape",12.40,1998.00
"57*L","Landscape",18.10,1998.00
"58*L","Landscape",20.70,1998.00
"59*L","Landscape",25.90,1998.00
"60*L","Landscape",21.50,1998.00
"61*L","Landscape",29.00,1998.00
"62*L","Landscape",20.60,1998.00
"63*L","Landscape",14.60,1998.00
"64*L","Landscape",18.70,1998.00
"65*L","Landscape",17.40,1998.00
"66*L","Landscape",22.90,1998.00
"67*L","Landscape",13.60,1998.00
"68*L","Landscape",22.00,1998.00
"69*L","Landscape",29.50,1998.00
"70*L","Landscape",19.10,1998.00
"71*L","Landscape",21.50,1998.00
"72*L","Landscape",26.60,1998.00
"73*L","Landscape",27.30,1998.00
"74*L","Landscape",28.00,1998.00
"75*L","Landscape",16.60,1998.00
"76*L","Landscape",20.90,1998.00
"77*L","Landscape",21.50,1998.00
"78*L","Landscape",30.40,1998.00
"79*L","Landscape",25.10,1998.00
"80*L","Landscape",38.30,1998.00
"1*L","Landscape",33.10,2000.00
"2*L","Landscape",23.20,2000.00
"3*L","Landscape",34.40,2000.00
"4*L","Landscape",29.40,2000.00
"5*L","Landscape",22.00,2000.00
"6*L","Landscape",17.10,2000.00
"7*L","Landscape",16.70,2000.00
"8*L","Landscape",16.10,2000.00
"9*L","Landscape",21.50,2000.00
"10*L","Landscape",8.70,2000.00
"11*L","Landscape",7.40,2000.00
"12*L","Landscape",4.10,2000.00
"13*L","Landscape",7.30,2000.00
"14*L","Landscape",21.10,2000.00
"15*L","Landscape",44.50,2000.00
"16*L","Landscape",26.80,2000.00
"17*L","Landscape",11.10,2000.00
"18*L","Landscape",21.80,2000.00
"19*L","Landscape",9.00,2000.00
"20*L","Landscape",20.10,2000.00
"21*L","Landscape",12.30,2000.00
"22*L","Landscape",13.30,2000.00
"23*L","Landscape",16.80,2000.00
"24*L","Landscape",35.00,2000.00
"25*L","Landscape",10.00,2000.00
"26*L","Landscape",25.50,2000.00
"27*L","Landscape",15.90,2000.00
"28*L","Landscape",7.50,2000.00
"29*L","Landscape",5.30,2000.00
"30*L","Landscape",39.00,2000.00
"31*L","Landscape",12.80,2000.00
"32*L","Landscape",26.00,2000.00
"33*L","Landscape",9.40,2000.00
"34*L","Landscape",27.60,2000.00
"35*L","Landscape",27.50,2000.00
"36*L","Landscape",25.00,2000.00
"37*L","Landscape",27.00,2000.00
"38*L","Landscape",19.80,2000.00
"39*L","Landscape",8.50,2000.00
"40*L","Landscape",35.20,2000.00
"41*L","Landscape",66.70,2000.00
"42*L","Landscape",36.00,2000.00
"43*L","Landscape",26.00,2000.00
"44*L","Landscape",12.10,2000.00
"45*L","Landscape",9.60,2000.00
"46*L","Landscape",12.80,2000.00
"47*L","Landscape",3.30,2000.00
"48*L","Landscape",3.90,2000.00
"49*L","Landscape",4.70,2000.00
"50*L","Landscape",18.90,2000.00
"51*L","Landscape",19.30,2000.00
"52*L","Landscape",23.10,2000.00
"53*L","Landscape",34.00,2000.00
"54*L","Landscape",19.50,2000.00
"55*L","Landscape",7.30,2000.00
"56*L","Landscape",9.60,2000.00
"57*L","Landscape",26.00,2000.00
"58*L","Landscape",28.80,2000.00
"59*L","Landscape",40.60,2000.00
"60*L","Landscape",17.60,2000.00
"61*L","Landscape",23.80,2000.00
"62*L","Landscape",37.70,2000.00
"63*L","Landscape",11.60,2000.00
"64*L","Landscape",25.00,2000.00
"65*L","Landscape",37.10,2000.00
"66*L","Landscape",26.90,2000.00
"67*L","Landscape",25.90,2000.00
"68*L","Landscape",28.10,2000.00
"69*L","Landscape",36.30,2000.00
"70*L","Landscape",38.80,2000.00
"71*L","Landscape",21.20,2000.00
"72*L","Landscape",28.00,2000.00
"73*L","Landscape",21.30,2000.00
"74*L","Landscape",24.50,2000.00
"75*L","Landscape",12.80,2000.00
"76*L","Landscape",16.60,2000.00
"77*L","Landscape",30.20,2000.00
"78*L","Landscape",14.20,2000.00
"79*L","Landscape",16.10,2000.00
"80*L","Landscape",48.00,2000.00
"81*L","Landscape",13.10,2000.00
"82*L","Landscape",11.20,2000.00
"83*L","Landscape",5.60,2000.00
"84*L","Landscape",16.30,2000.00
