"ID","calFullname","jepFullname","Family","genus","species","suffix","SerpScore","StrongEndemic","Tolerators","WeakEndemic","Name"
1,"Achnatherum nelsonii (Scribner) Barkworth ssp. dorei Barkworth & J. Maze","Achnatherum nelsonii (Scribn.) Barkworth subsp. dorei (Barkworth & J. R. Maze) Barkworth","POACEAE","Achnatherum","nelsonii","ssp. dorei",1.00,0.00,1.00,1.00,"Achnatherum nelsonii ssp. dorei"
2,"Eriogonum vimineum Benth.","Eriogonum vimineum Benth.","POLYGONACEAE","Eriogonum","vimineum",,1.00,0.00,1.00,1.00,"Eriogonum vimineum "
3,"Erythronium purpurascens S. Watson","Erythronium purpurascens S. Watson","LILIACEAE","Erythronium","purpurascens",,1.00,0.00,1.00,1.00,"Erythronium purpurascens "
4,"Galium clementis Eastw.","Galium clementis Eastw.","RUBIACEAE","Galium","clementis",,1.00,0.00,1.00,1.00,"Galium clementis "
5,"Helianthemum scoparium Nutt.","Helianthemum scoparium Nutt.","CISTACEAE","Helianthemum","scoparium",,1.00,0.00,1.00,1.00,"Helianthemum scoparium "
6,"Holodiscus discolor (Pursh) Maxim.","Holodiscus discolor (Pursh) Maxim.","ROSACEAE","Holodiscus","discolor",,1.00,0.00,1.00,1.00,"Holodiscus discolor "
7,"Plantago erecta E. Morris","Plantago erecta E. Morris","PLANTAGINACEAE","Plantago","erecta",,1.00,0.00,1.00,1.00,"Plantago erecta "
8,"Hazardia whitneyi (A. Gray) E. Greene var. whitneyi","Hazardia whitneyi (A. Gray) Greene var. whitneyi","ASTERACEAE","Hazardia","whitneyi","var. whitneyi",1.00,0.00,1.00,1.00,"Hazardia whitneyi var. whitneyi"
9,"Campanula wilkinsiana E. Greene","Campanula wilkinsiana Greene","CAMPANULACEAE","Campanula","wilkinsiana",,1.00,0.00,1.00,1.00,"Campanula wilkinsiana "
10,"Trifolium amoenum E. Greene","Trifolium amoenum Greene","FABACEAE","Trifolium","amoenum",,1.00,0.00,1.00,1.00,"Trifolium amoenum "
11,"Allium unifolium Kellogg","Allium unifolium Kellogg","LILIACEAE","Allium","unifolium",,1.00,0.00,1.00,1.00,"Allium unifolium "
12,"Calochortus weedii Alph. Wood var. vestus Purdy","Calochortus weedii A. W. Wood var. vestus Purdy","LILIACEAE","Calochortus","weedii","var. vestus",1.00,0.00,1.00,1.00,"Calochortus weedii var. vestus"
13,"Piperia candida R. Morgan & J. Ackerman","Piperia candida Rand. Morgan & Ackerman","ORCHIDACEAE","Piperia","candida",,1.00,0.00,1.00,1.00,"Piperia candida "
14,"Lewisia cantelovii J. Howell","Lewisia cantelovii J. T. Howell","PORTULACACEAE","Lewisia","cantelovii",,1.00,0.00,1.00,1.00,"Lewisia cantelovii "
