"Site","Altitude","Latitude","Longitude","X-coord","Y-coord","Datum","Soil S/N"
1.00,603.74,38.84,-122.37,553994.96,4299899.70,"NAD83","S"
2.00,604.24,38.84,-122.37,554045.14,4300001.29,"NAD83","S"
3.00,608.76,38.84,-122.37,553870.82,4299865.14,"NAD83","S"
4.00,624.37,38.85,-122.38,553063.64,4300350.12,"NAD83","S"
5.00,621.56,38.85,-122.38,553000.53,4300404.13,"NAD83","S"
6.00,625.78,38.85,-122.39,552914.30,4300484.62,"NAD83","S"
7.00,650.11,38.85,-122.39,552676.58,4300721.31,"NAD83","S"
8.00,640.50,38.85,-122.39,552578.36,4300700.24,"NAD83","S"
9.00,631.49,38.85,-122.39,552550.75,4300777.28,"NAD83","S"
10.00,624.56,38.85,-122.40,551835.51,4301196.85,"NAD83","S"
11.00,606.52,38.85,-122.40,551715.05,4301097.32,"NAD83","S"
12.00,621.36,38.85,-122.40,551745.19,4301259.39,"NAD83","S"
13.00,618.02,38.85,-122.41,550573.11,4301363.43,"NAD83","S"
14.00,621.98,38.86,-122.41,550525.67,4301794.08,"NAD83","S"
15.00,622.74,38.86,-122.41,550518.68,4301850.70,"NAD83","S"
16.00,667.65,38.86,-122.42,550154.31,4301920.35,"NAD83","S"
17.00,413.71,38.82,-122.34,556612.49,4297579.62,"NAD83","S"
18.00,418.49,38.82,-122.34,556744.97,4297645.30,"NAD83","S"
19.00,346.55,38.81,-122.32,558426.33,4296505.35,"NAD83","S"
20.00,338.28,38.80,-122.32,558758.71,4295720.22,"NAD83","S"
21.00,394.42,38.82,-122.34,556998.71,4297520.84,"NAD83","S"
22.00,405.02,38.82,-122.34,556846.52,4297429.36,"NAD83","S"
23.00,397.14,38.82,-122.34,556846.37,4297420.03,"NAD83","S"
24.00,394.64,38.82,-122.34,556855.68,4297423.06,"NAD83","S"
25.00,,,,555795.37,4297541.80,"NAD83","N"
26.00,376.62,38.82,-122.37,554019.47,4297625.04,"NAD83","S"
27.00,372.85,38.82,-122.37,554060.17,4297668.86,"NAD83","S"
28.00,378.55,38.82,-122.37,554012.28,4297764.07,"NAD83","S"
29.00,365.67,38.82,-122.37,554193.52,4297884.40,"NAD83","S"
30.00,375.01,38.82,-122.37,554171.43,4297941.14,"NAD83","S"
31.00,377.36,38.82,-122.37,554170.83,4297983.23,"NAD83","S"
32.00,470.10,38.86,-122.36,555437.45,4302102.58,"NAD83","S"
33.00,475.54,38.86,-122.36,555412.42,4302073.21,"NAD83","S"
34.00,330.84,38.80,-122.32,558887.27,4295853.58,"NAD83","N"
35.00,326.72,38.81,-122.32,558809.81,4295921.89,"NAD83","N"
36.00,337.42,38.81,-122.32,558410.76,4296697.44,"NAD83","N"
37.00,342.05,38.81,-122.32,558369.70,4296744.27,"NAD83","N"
38.00,629.10,38.87,-122.42,550137.70,4302964.96,"NAD83","N"
39.00,624.40,38.87,-122.42,550171.07,4302877.17,"NAD83","N"
40.00,622.93,38.87,-122.42,550191.73,4302820.79,"NAD83","N"
41.00,622.60,38.87,-122.42,550196.29,4302735.71,"NAD83","N"
42.00,631.65,38.86,-122.42,549594.29,4301848.68,"NAD83","N"
43.00,624.93,38.86,-122.42,549623.67,4301857.94,"NAD83","N"
44.00,479.21,38.86,-122.36,555362.50,4302027.73,"NAD83","S"
45.00,469.48,38.86,-122.36,555398.64,4301982.21,"NAD83","S"
46.00,467.97,38.86,-122.36,555367.12,4301891.26,"NAD83","S"
47.00,466.89,38.86,-122.36,555345.38,4301816.71,"NAD83","S"
48.00,454.59,38.86,-122.36,555370.13,4301724.62,"NAD83","S"
49.00,453.54,38.86,-122.36,555256.85,4301712.42,"NAD83","S"
50.00,432.39,38.86,-122.35,555669.46,4301617.26,"NAD83","N"
51.00,426.52,38.86,-122.35,555650.31,4301668.90,"NAD83","N"
52.00,424.01,38.86,-122.35,555630.48,4301728.20,"NAD83","N"
53.00,412.24,38.86,-122.35,556085.28,4302139.34,"NAD83","N"
54.00,417.03,38.86,-122.35,556094.72,4302166.01,"NAD83","N"
