"ID","Eighty Sites Species","Number of Plot Species Lists Present In","Merged Species","Proposed Action","Replacement"
774,"""Petrorhagia """"tunica""""""","1",,"Change to Petrorhagia prolifera","Petrorhagia prolifera"
775,"""Unk. red stem","1",,"Remove",
776,"""Unknown deeply cut","1",,"Remove",
777,"Achillea millefolium","6",,"No change",
778,"Achilliea millefolium","1",,"Correct spelling","Achillea millefolium"
779,"Achyrachaena mollis","45",,"No change",
780,"Adenostoma fasciculatum","1",,"No change",
781,"Aegilops triuncialis","9",,"No change",
782,"Agoseris grandiflora","16",,"No change",
783,"Agoseris heterophylla","51",,"No change",
784,"Aira caryophyllea","11",,"No change",
785,"Allium amplectens",,,"No change",
786,"Allium falcifolium","1",,"No change",
787,"Allium fimbriatum","7",,"No change",
788,"Allium serra","10",,"No change",
789,"Allium serra ?","1",,"Remove question mark","Allium serra"
790,"Allium sp","1",,"Remove",
791,"Allium sp.","4",,"Remove",
792,"Allium sp?","1",,"Remove",
793,"Allium white multiflowered","1",,"Change to allium fimbriatum","Allium fimbriatum"
794,"Allophyllum gilioides",,,"No change",
795,"Allophyllum gilioides????","1",,"Remove",
796,"Amsinckia menziesii","25",,"No change",
797,"Anagallis arvensis","17",,"No change",
798,"Ancistrocarphus filagineus","29",,"No change",
799,"Anthriscus caucalis",,,"No change",
800,"Antirrhinum vexillo-calyculatum","1",,"No change",
801,"Aphanes occidentalis","12",,"No change",
802,"Apocynum cannabinum","1",,"No change",
803,"Asclepias eriocarpa","1",,"No change",
804,"Asclepias fascicularis","1",,"No change",
805,"Asclepias sp.",,,"Remove",
806,"Astragalus breweri","4",,"No change",
807,"Astragalus gambelianus","33",,"No change",
808,"Astragalus pusillus","1",,"Change to Athysanus pusillus","Athysanus pusillus"
809,"Astragalus rattanii var. jepsonianus","2",,"No change",
810,"Athysanus pusillus","69",,"No change",
811,"Atriplex triangularis",,,"No change",
812,"Avena barbata","34","Avena fatua and barbarata called Avena fatua","Merge with Avena fatua","Avena fatua"
813,"Avena fatua","60",,"No change",
814,"Avena sp","1","Avena fatua and barbarata called Avena fatua","Merge with Avena fatua","Avena fatua"
815,"Barbarea","1",,"Remove",
816,"Bare",,,"No change",
817,"Bare",,,"Correct space","Bare"
818,"Bellardia trixago","2",,"No change",
819,"Bluefloweringthingwithgilialikelvs","1",,"Remove",
820,"Brassica nigra","2",,"No change",
821,"Briza minor","4",,"No change",
822,"Brodeia elegans","12",,"Correct spelling","Brodiaea elegans"
823,"Brodiaea elegans","37",,"No change",
824,"Bromus carinatus","1",,"No change",
825,"Bromus diandrus","48",,"No change",
826,"Bromus hordeaceus","80",,"No change",
827,"Bromus japonicus","1",,"No change",
828,"Bromus laevipes","1",,"No change",
829,"Bromus madritensis","66",,"No change",
830,"Bromus tectorum","1",,"No change",
831,"Calandrinia ciliata","13",,"No change",
832,"Calochortus ?????","1",,"Remove",
833,"Calochortus luteus","29",,"No change",
834,"Calochortus sp.","2",,"Remove",
835,"Calochortus superbus","20",,"No change",
836,"Calochortus vestae",,,"No change",
837,"Calycadenia","1",,"Change to Calcyadenia pauciflora",
838,"Calycadenia ","1",,"Change to Calcyadenia pauciflora",
839,"Calycadenia pauciflora","20",,"No change",
840,"Calycadenia sp.","1",,"Change to Calcyadenia pauciflora",
841,"Camissonia graciliflora","14",,"No change",
842,"Camissonia gracilis","1",,"Change to graciliflora","Camissonia graciliflora"
843,"Camissonia ovata","4",,"No change",
844,"Campanula angustiflora","1",,"No change",
845,"Capsella bursa-pastoris",,,"No change",
846,"Cardamine oligosperma","12",,"No change",
847,"Carduus pycnocephalus","14",,"No change",
848,"Carduus pynceph","2",,"Change to pycnocephalus","Carduus pycnocephalus"
849,"Carex sp.",,,"Remove",
850,"Castilleja applegattii","1",,"Remove",
851,"Castilleja attenuata","34",,"No change",
852,"Castilleja densiflora","3",,"No change",
853,"Castilleja exserta",,,"No change",
854,"Castilleja rubicundula","18",,"No change",
855,"Cenaurea seedling?","1",,"Remove",
856,"Centaurea melitensis","15",,"No change",
857,"Centaurea solstitatlis","1",,"Correct spelling","Centaurea solstitialis"
