"ID","Year","Site","Quadrat","Species_Name","cover","notes"
8311.00,2000.00,1.00,1.00,"Astragalus gambelianus",,
8312.00,2000.00,1.00,1.00,"Avena fatua",,
8313.00,2000.00,1.00,1.00,"Bromus hordeaceus",,
8314.00,2000.00,1.00,1.00,"Bromus madritensis",,
8315.00,2000.00,1.00,1.00,"Calochortus vestae",,
8316.00,2000.00,1.00,1.00,"Centaurea solstitialis",,
8317.00,2000.00,1.00,1.00,"Erodium cicutarium",,
8318.00,2000.00,1.00,1.00,"Lupinus bicolor",,
8319.00,2000.00,1.00,1.00,"Senecio vulgaris",,
8320.00,2000.00,1.00,1.00,"Taeniatherum caput-medusae",,
8321.00,2000.00,1.00,1.00,"Vulpia microstachys",,
8322.00,2000.00,2.00,1.00,"Agoseris heterophylla",,
8323.00,2000.00,2.00,1.00,"Astragalus gambelianus",,
8324.00,2000.00,2.00,1.00,"Bromus hordeaceus",,
8325.00,2000.00,2.00,1.00,"Calycadenia pauciflora",,
8326.00,2000.00,2.00,1.00,"Dichelostemma capitatum",,
8327.00,2000.00,2.00,1.00,"Gilia capitata",,
8328.00,2000.00,2.00,1.00,"Gilia tricolor",,
8329.00,2000.00,2.00,1.00,"Hemizonia congesta",,
8330.00,2000.00,2.00,1.00,"Lotus humistratus",,
8331.00,2000.00,2.00,1.00,"Minuartia californica",,
8332.00,2000.00,2.00,1.00,"Nassella pulchra",,
8333.00,2000.00,2.00,1.00,"Plantago erecta",,
8334.00,2000.00,2.00,1.00,"Rigiopappus leptocladus",,
8335.00,2000.00,2.00,1.00,"Thysanocarpus curvipes",,
8336.00,2000.00,2.00,1.00,"Trifolium albopurpureum",,
8337.00,2000.00,2.00,1.00,"Trifolium fucatum",,
8338.00,2000.00,2.00,1.00,"Cerastium glomeratum",,
8339.00,2000.00,3.00,1.00,"Agoseris heterophylla",,
8340.00,2000.00,3.00,1.00,"Astragalus gambelianus",,
8341.00,2000.00,3.00,1.00,"Avena barbata",,
8342.00,2000.00,3.00,1.00,"Bromus hordeaceus",,
8343.00,2000.00,3.00,1.00,"Bromus madritensis",,
8344.00,2000.00,3.00,1.00,"Athysanus pusillus",,
8345.00,2000.00,3.00,1.00,"Calycadenia pauciflora",,
8346.00,2000.00,3.00,1.00,"Chorizanthe membranacea",,
