"ID","Site","Speciesno","Present","Quadrat","Year","cover","notes","Species_Name","Field10"
1.00,1.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
2.00,1.00,52.00,1.00,1.00,1998.00,,,"Clarkia purpurea",
3.00,1.00,73.00,1.00,1.00,1998.00,,,"Erodium cicutarium",
4.00,1.00,120.00,1.00,1.00,1998.00,,,"Lupinus bicolor",
5.00,1.00,149.00,1.00,1.00,1998.00,,,"Plagiobothrys nothofulvus",
6.00,1.00,175.00,1.00,1.00,1998.00,,,"Taeniatherum caput-medusae",
7.00,1.00,228.00,1.00,1.00,1998.00,,"orig rec. as t. bifidum","Trifolium gracilentum",
8.00,1.00,118.00,1.00,1.00,1998.00,,"orig rec as l. pinnatus","Lotus wrangelianus",
9.00,2.00,62.00,1.00,1.00,1998.00,,,"Dichelostemma capitatum",
10.00,2.00,160.00,1.00,1.00,1998.00,,,"Ranunculus occidentalis",
11.00,2.00,185.00,1.00,1.00,1998.00,,,"Trifolium fucatum",
12.00,2.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
13.00,3.00,22.00,1.00,1.00,1998.00,,,"Avena fatua",
14.00,3.00,27.00,1.00,1.00,1998.00,,,"Bromus madritensis",
15.00,3.00,70.00,1.00,1.00,1998.00,,,"Eriogonum nudum",
16.00,3.00,89.00,1.00,1.00,1998.00,,,"Gilia tricolor",
17.00,3.00,151.00,1.00,1.00,1998.00,,,"Plantago erecta",
18.00,3.00,180.00,1.00,1.00,1998.00,,,"Trifolium albopurpureum",
19.00,3.00,196.00,1.00,1.00,1998.00,,,"Vulpia microstachys",
20.00,3.00,206.00,1.00,1.00,1998.00,,,"Minuartia douglasii",
21.00,4.00,11.00,1.00,1.00,1998.00,,,"Achyrachaena mollis",
22.00,4.00,12.00,1.00,1.00,1998.00,,,"Agoseris heterophylla",
23.00,4.00,20.00,1.00,1.00,1998.00,,,"Astragalus gambelianus",
24.00,4.00,22.00,1.00,1.00,1998.00,,,"Avena fatua",
25.00,4.00,26.00,1.00,1.00,1998.00,,,"Bromus hordeaceus",
26.00,4.00,52.00,1.00,1.00,1998.00,,,"Clarkia purpurea",
27.00,4.00,58.00,1.00,1.00,1998.00,,,"Collinsia sparsiflora",
