"ID","Species_Name","Genus","Species","Family","Native/Exotic","Grass/Forb/Shrub","Annual/Perennial","Monocot/Dicot","Id_notes"
2,"Lomatium dasycarpum","Lomatium","dasycarpum","Apiaceae","Native","Forb","Perennial","dicot","short-hairy/tomentose, pinnately dissected, segments 2-6 mm, threadlike to linear, few cauline lvs, corolla greenishwhito purple and tomentose"
3,"Lomatium macrocarpum","Lomatium","macrocarpum","Apiaceae","Native","Forb","Perennial","dicot","herbage gray, tomentose pinnately or ternately pinnately dissected lvs, tomentose inflowecence, corolla white yellow or purple"
4,"Lomatium marginatum","Lomatium","marginatum","Apiaceae","Native","Forb","Perennial","dicot","glabrous or scabrous, petiole sheathina nd purplish, threadlike segments of pinnate leaves, corolla yellow or reddish purple"
5,"Lomatium utriculatum","Lomatium","utriculatum","Apiaceae","Native","Forb","Perennial","dicot","linear dissected leaf segments, sheathin petiole, yellow corolla, gla"
6,"Sanicula bipinnata","Sanicula","bipinnata","Apiaceae","Native","Forb","Perennial","dicot","poison sannicle, lf ternate than 1-2 pinnate, this is the cilantro sannicle"
7,"Sanicula crassicaulis","Sanicula","crassicaulis","Apiaceae","Native","Forb","Perennial","dicot","lobed leaves not dissected"
8,"Torilis arvensis","Torilis","arvensis","Apiaceae","Exotic","Forb","Annual","dicot","peduncle>lf, umble open, not head like, plant erect"
9,"Daucus pusillus","Daucus","pusillus","Apiaceae","Exotic","Forb","Annual","dicot",
11,"Sanicula bipinnatifida","Sanicula","bipinnatifida","Apiaceae","Native","Forb","Perennial","dicot","purple sannicle, lvs 1-2 pinately dissected, can be pruplish, 7 or more coarsely toothed leaf divisions"
12,"Torilis nodosa","Torilis","nodosa","Apiaceae","Exotic","Forb","Annual","dicot","peduncle<lf, umbel headlike and dense"
13,"Perideridia kelloggii","Perideridia","kelloggii","Apiaceae","Native","Forb","Perennial","dicot",
14,"Anthriscus caucalis","Anthriscus","caucalis","Apiaceae","Exotic","Forb","Annual","dicot",
17,"Asclepias fascicularis","Asclepias","fascicularis","Asclepiadaceae","Native","Forb","Perennial","dicot",
18,"Achillea millefolium","Achillea","millefolium","Asteraceae","Native","Forb","Perennial","dicot",
19,"Achyrachaena mollis","Achyrachaena","mollis","Asteraceae","Native","Forb","Annual","dicot","lower lvs opp, upper alternate, hairy glandual inflorescence, soft hairy, ray and disk flws "
20,"Agoseris heterophylla","Agoseris","heterophylla","Asteraceae","Native","Forb","Annual","dicot","milky sap, hairy oblanceolate lvs, can be toothed, lvs basal, single head of ligulate flowers"
21,"Calycadenia pauciflora","Calycadenia","pauciflora","Asteraceae","Native","Forb","Annual","dicot",
22,"Centaurea melitensis","Centaurea","melitensis","Asteraceae","Exotic","Forb","Annual","dicot",
23,"Centaurea solstitialis","Centaurea","solstitialis","Asteraceae","Exotic","Forb","Annual","dicot",
24,"Chaenactis glabriuscula","Chaenactis","glabriuscula","Asteraceae","Native","Forb","Annual","dicot","yellow pincushion, lvs<11 cm cobwebby, yellow serpentine comp"
25,"Eriophyllum lanatum","Eriophyllum","lanatum","Asteraceae","Native","Forb","Perennial","dicot",
26,"Filago californica","Filago","californica","Asteraceae","Native","Forb","Annual","dicot",
27,"Filago gallica","Filago","gallica","Asteraceae","Exotic","Forb","Annual","dicot",
28,"Grindelia camporum","Grindelia","camporum","Asteraceae","Native","Forb","Perennial","dicot",
29,"Hemizonia congesta","Hemizonia","congesta","Asteraceae","Native","Forb","Annual","dicot",
30,"Holocarpha virgata","Holocarpha","virgata","Asteraceae","Native","Forb","Annual","dicot",
31,"Hypochaeris glabra","Hypochaeris","glabra","Asteraceae","Exotic","Forb","Annual","dicot",
32,"Hypochaeris radicata","Hypochaeris","radicata","Asteraceae","Exotic","Forb","Perennial","dicot","bigger and hairier"
33,"Lactuca serriola","Lactuca","serriola","Asteraceae","Exotic","Forb","Annual","dicot",
34,"Lagophylla minor","Lagophylla","minor","Asteraceae","Native","Forb","Annual","dicot",
35,"Lasthenia californica","Lasthenia","californica","Asteraceae","Native","Forb","Annual","dicot",
36,"Layia platyglossa","Layia","platyglossa","Asteraceae","Native","Forb","Annual","dicot",
37,"Madia elegans","Madia","elegans","Asteraceae","Native","Forb","Annual","dicot","disk flws staminate, ray flws conspicuous with maroon spotted base, lvs 2-20 cm, "
39,"Micropus californicus","Micropus","californicus","Asteraceae","Native","Forb","Annual","dicot",
40,"Microseris douglasii","Microseris","douglasii","Asteraceae","Native","Forb","Annual","dicot",
41,"Rigiopappus leptocladus","Rigiopappus","leptocladus","Asteraceae","Native","Forb","Annual","dicot",
42,"Senecio vulgaris","Senecio","vulgaris","Asteraceae","Exotic","Forb","Annual","dicot",
43,"Sonchus asper","Sonchus","asper","Asteraceae","Exotic","Forb","Annual","dicot",
44,"Sonchus oleraceus","Sonchus","oleraceus","Asteraceae","Exotic","Forb","Annual","dicot",
45,"Uropappus lindleyi","Uropappus","lindleyi","Asteraceae","Native","Forb","Annual","dicot",
46,"Wyethia glabra","Wyethia","glabra","Asteraceae","Native","Forb","Perennial","dicot",
49,"Cirsium vulgare","Cirsium","vulgare","Asteraceae","Exotic","Forb","Perennial","dicot",
