Site,Spp,1,2,3,4,5
1,Achillea millefolium,,,,,
1,Achyrachaena mollis,,,,,0.1
1,Agoseris heterophylla,,,,,
1,Amsinckia menziesii,,,0.3,,
1,Astragalus gambelianus,,,,,
1,Athysanus pusillus,,,,,
1,Avena fatua,6,35,60,2,60
1,Brodeia elegans,,,,,1
1,Bromus hordeaceus,2,10,2,4,22
1,Bromus madritensis,,,,,
1,Calochortus luteus,,,,,
1,Centaurea solstitialis,12,5,3,30,
1,Clarkia purpurea,,4,0.5,2,
1,Cuscuta californica,,,,,
1,Dichelostemma capitatum,,,,,1
1,Epilobium brachycarpum,,,,,
1,Erodium brachycarpum,,,,,
1,Erodium cicutarium,0.3,1,1,2,
1,Euphorbia crenulata,,,,,0.2
1,Geranium dissectum,,,,0.3,
1,Gilia tricolor,0.2,,,,
1,Hemizonia congesta,,,,,12
1,Holocarpha virgata,,2.5,66,5,
1,Hypochaeris glabra,,,,,
1,Lactuca serriola,,,,,0.2
1,Lolium multiflorum,,,,,10
1,Lotus wrangelianus,2,0.4,3,21,0.4
1,Lupinus bicolor,0.4,1,,,
1,Medicago polymorpha,,,,0.3,
1,Micropus californica,,,,,
1,Nassella pulchra,,,20,4,
1,Navarretia pubescens,,,,,
1,Phlox gracilis,,,,,
1,Plagiobothrys nothofulvus,,0.5,,0.1,
1,Plantago erecta,,1,0.3,2,
1,Senecio vulgaris,,,,,
1,Sidalcea diploscypha,,,,,0.1
1,Sonchus oleraceus,,,,,
1,Taeniatherum caput-medusae,0.4,7,0.4,16,0.5
1,Trifolium bifidum,,,,,
1,Trifolium fucatum,,,,,
1,Trifolium gracilentum,,0.3,,,3
1,Trifolium hirtum,2,0.4,,2,
1,Trifolium willdenovii,,,,,
1,Vicia villosa,90,,,1,
1,Vulpia microstachys,,,,8,
1,Vulpia myuros,,0.3,0.2,0.2,0.2
1,Bare,0.5,0.8,0.5,2,0.2
1,Rock,,,1.5,,
NOTES:,,,,,,
2,Achyrachaena mollis,,,,,
2,Agoseris heterophylla,0.6,1,2,1,2
2,Allium falcifolium,,,0.2,,
2,Amsinckia menziesii,,,,,
2,Ancistrocarphus filagineus,3,0.2,,,
2,Astragalus gambelianus,,,,0.5,
2,Athysanus pusillus,,0.2,,,
2,Avena barbata,0.5,,1,1.3,
2,Brodeia elegans,,,,,
2,Bromus hordeaceus,2,1.3,0.3,2.5,12
2,Bromus madritensis,,,,0.1,
2,Calandrinia ciliata,,,,,
2,Calochortus luteus,,,,,
2,Calycadenia pauciflora,,,10,28,
2,Camissonia ovata,,,,,
2,Castilleja rubicundula,,,,,
2,Centaurea solstitialis,,,,,
2,Chaenactis glabriuscula,,,0.6,,
2,Chlorogalum pomeridianum,,,,,
2,Clarkia purpurea,,,1.2,,
2,Clarkia gracilis,,,,,
2,Claytonia exigua,,,,,
2,Collinsia sparsiflora,0.3,1,,,
2,Dichelostemma capitatum,1,0.5,,0.1,0.1
2,Elymus elymoides,,,,,
2,Epilobium brachycarpum,,,,,
2,Eriogonum nudum,,,10,,
2,Eriogonum vimineum,,,,0.1,
2,Euphorbia crenulata,,0.1,,,2
2,Gilia tricolor,,,,,
2,Hemizonia congesta,9,8.5,0.4,,7
2,Holocarpha virgata,,,,,
2,Hordeum brachyantherum,,,,,3
2,Hordeum murinum,,,,,
2,Lasthenia californica,40,1,2,10,1
2,Lepidium nitidum,,,,,
2,Lolium multiflorum,1.3,26,,0.2,45
2,Lotus humistratus,,,1,1,
2,Lotus wrangelianus,1,,,,4
2,Lupinus succulentus,,2,,,
2,Microseris douglasii,,,,,
2,Minuartia douglasii,,,,0.1,
2,Nassella pulchra,,,,6,9
2,Navarretia jepsonii,5,,,0.2,
2,Phlox gracilis,,,,,
2,Plantago erecta,,3,4,20,0.1
2,Rigiopappus leptocladus,,,0.3,,
2,Sidalcea diploscypha,,,,0.2,3
2,Sonchus oleraceus,,,,,
2,Taeniatherum caput-medusae,,,,,
2,Thysanocarpus curvipes,,,,,
2,Trifolium albopurpureum,,,,,0.5
2,Trifolium fucatum,6,22,,0.2,1
2,Triteleia laxa,,,,,
2,Uropappus lindleyi,,,,,
2,Vulpia microstachys,0.4,,0.5,1,
2,Vulpia myuros,,,,,
2,Bare,3,6,15,10,1
2,Rock,,,8,25,
NOTES:,,,,,,
3,Agoseris heterophylla,1,0.6,,0.2,0.2
3,Amsinckia menziesii,,,,0.2,
3,Anagallis arvensis,,,,,
3,Ancistrocarphus filagineus,,,,,
3,Astragalus gambelianus,,,,,
3,Athysanus pusillus,,,,,
3,Avena barbata,,3,,20,80
3,Avena fatua,,,,,
3,Bluefloweringthingwithgilialikelvs,,,,,
3,Brodeia elegans,,,,,
3,Bromus hordeaceus,2,0.2,,2,0.5
3,Bromus madritensis,2,0.4,,3,
3,Calandrinia ciliata,,,,,
3,Calochortus luteus,,,,,
3,Calochortus sp.,,,,,
3,Calycadenia pauciflora,6.5,22,,1,
3,Camissonia graciliflora,0.5,,,0.5,
3,Camissonia ovata,,,,,
3,Castilleja rubicundula,,,,,
3,Centaurea solstitialis,,,,,
3,Chlorogalum pomeridianum,,,,,0.3
3,Chorizanthe membranacea,,,,,
3,Clarkia gracilis,,0.1,1,,
3,Collinsia sparsiflora,,,0.2,,
3,Cuscuta californica,,,,,
3,Delphinium variegatum,,,,,
3,Dichelostemma capitatum,0.3,0.2,0.5,,0.3
3,Epilobium brachycarpum,,,,,
3,Eremocarpus,,,,,
3,Eriogonum nudum,,,,,
3,Eriogonum vimineum,4,0.1,0.3,2,
3,Erodium cicutarium,,,,5,
3,Euphorbia crenulata,,,,,
3,Filago gallica,,,,,
3,Gilia tricolor,1,,,,
3,Grindelia camporum,,,,,
3,Hemizonia congesta,,,8,,3.5
3,Holocarpha virgata,6,,,3,
3,Hypochaeris radicata,,,,,
3,Lactuca serriola,,,0.2,0.2,0.3
3,Lagophylla minor,,,,1.5,
3,Lasthenia californica,,20,45,,0.3
3,Lepidium nitidum,,,,,
3,Lolium multiflorum,,,,,2
3,Lotus humistratus,,,,,
3,Lotus Purshianus,,,,,1
3,Lotus wrangelianus,2,0.1,6,,
3,Lupinus bicolor,,,,,
3,Lupinus succulentus,,,,,
3,Melilotus indica,,,,,0.3
3,Micropus californicus,5,0.3,2,2,
3,Microseris douglasii,0.3,,,,
3,Nassella pulchra,,,20,,
3,Plantago erecta,10,4,1,6,1
3,Rigiopappus leptocladus,1,,,,
3,Sidalcea diploscypha,,,0.6,,0.1
3,Sisyrinchium bellum,,,,,1
3,Sonchus oleraceus,,,,,0.3
3,Streptanthus breweri,,,,,
3,Taeniatherum caput-medusae,,,,0.3,1
3,Thysanocarpus curvipes,0.1,,,,
3,Torilis arvensis,,,,,
3,Trifolium albopurpureum,,,,,
3,Trifolium fucatum,,,,,
3,Trifolium gracilentum,0.2,,,,
3,Trifolium hirtum,,,,,
3,Uropappus lindleyi,,,,,
3,Vulpia microstachys,2,0.4,0.2,0.2,
3,Vulpia myuros,,,,,
3,Bare,15,5.5,4,12,1.3
3,Rock,6,,,2,
NOTES:,,,,,,
4,Achyrachaena mollis,0.1,,0.2,1.3,0.1
4,Aegilops triuncialis,,,,10,
4,Agoseris heterophylla,,,,0.2,
4,Ancistrocarphus filagineus,,0.5,0.7,0.4,0.1
4,Astragalus gambelianus,0.2,0.5,0.5,,
4,Athysanus pusillus,,,,,
4,Avena barbata,,0.1,1,18,65
4,Avena fatua,,,,,
4,Bromus hordeaceus,3.3,0.3,0.4,18,0.1
