site,Spp,1,2,3,4,5,Notes
1,Achillea millefolium,,,,,,
1,Achyrachaena mollis,,,,,0.3,
1,Agoseris heterophylla,,,,,,
1,Amsinckia menziesii,,,,0.1,,
1,Astragalus gambelianus,,,0.3,,,
1,Athysanus pusillus,,,,,,
1,Avena fatua,30,35,42,10,13,
1,Brodiaea elegans,,,,,,
1,Bromus hordeaceus,0.1,19,7,35,2,
1,Bromus madritensis,,,,,,
1,Calochortus luteus,,,,,,
1,Centaurea solstitialis,36,8,4,4.5,0.3,"higher numbers observed in April, low survival?"
1,Clarkia purpurea,,0.1,0.1,,,
1,Collinsia sparsiflora,,0.1,,,,
1,Cuscuta californica,,,,,,
1,Dichelostemma capitatum,,0.1,0.1,0.2,0.1,
1,Epilobium brachycarpum,,,,,,
1,Erodium brachycarpum,,,,0.1,,
1,Erodium cicutarium,0.4,2,1,0.2,,
1,Euphorbia crenulata,,,,,0.1,
1,Geranium dissectum,,,,3,,
1,Gilia tricolor,,,,,,
1,Hemizonia congesta,,,,,2.7,
1,Holocarpha virgata,,0.9,0.6,1.9,,
1,Hypochaeris glabra,,,,,,
1,Lactuca serriola,,0.1,,,36,"L. saligna: 0.1 and 36 in quads 5, only 0.2 true serriola in quad 5"
1,Lolium multiflorum,0.1,,,0.1,25,
1,Lotus wrangelianus,,0.1,1.4,3,1.6,
1,Lupinus bicolor,0.1,2.2,,0.4,,
1,Medicago polymorpha,,,,,,
1,Micropus californicus,,,,,,
1,Nassella pulchra,,,12,5,,
1,Navarretia pubescens,,,,,,
1,Phlox gracilis,,,,,,
1,Plagiobothrys nothofulvus,,0.1,,0.1,,
1,Plantago erecta,,0.1,0.4,,,
1,Senecio vulgaris,,,,,,
1,Sidalcea diploscypha,,,,,,
1,Taeniatherum caput-medusae,,30,9,14,2.4,
1,Trifolium bifidum,,,,,,
1,Trifolium fucatum,,,,,0.2,
1,Trifolium gracilentum,,,,0.2,1.7,"no flowers, ID somewhat uncertain"
1,Trifolium hirtum,0.2,0.2,,1.1,,
1,Trifolium microdon,,,,,0.1,flowering
1,Trifolium willdenovii,,,,,,
1,Vicia villosa,36,,,12,,
1,Vulpia microstachys,,0.1,,,,
1,Vulpia myuros,,,,,,
NOTES:,,,,,,,
2,Achyrachaena mollis,,,,,,
2,Agoseris heterophylla,0.2,,0.6,0.1,0.3,
2,Allium falcifolium,,,0.3,0.1,,
2,Amsinckia menziesii,,,,,,
2,Ancistrocarphus filagineus,0.1,0.1,0.1,,,
2,Astragalus gambelianus,,,,0.3,,
2,Athysanus pusillus,,,,,,
2,Avena fatua,2.4,,2.6,9,0.6,
2,Brodiaea elegans,,,,,,
2,Bromus hordeaceus,13,0.3,,18,12,
2,Bromus madritensis,,,,1,,
2,Calandrinia ciliata,,,,,,
2,Calochortus luteus,,,,,,
2,Calochortus superbus,,0.1,,,,"flowering near plot, in fruit within plot"
2,Calycadenia pauciflora,,,22,15,,
2,Camissonia ovata,,,,,,
2,Castilleja rubicundula,,,,,,
2,Centaurea solstitialis,,,,,,
2,Chaenactis glabriuscula,,,,,,
2,Chlorogalum pomeridianum,,,,,,
2,Clarkia purpurea,,,,,,
2,Clarkia gracilis,,,,,,
2,Claytonia exigua,,,,,,
2,Collinsia sparsiflora,0.9,0.4,,,,
2,Dichelostemma capitatum,4,1.4,,,0.1,
2,Elymus elymoides,,,,,,
2,Epilobium brachycarpum,,,,,,
2,Eriogonum nudum,,3.4,,1,,
2,Eriogonum vimineum,,0.2,,0.2,,
2,Euphorbia crenulata,,,,,0.3,
2,Gilia tricolor,,,,,,
2,Hemizonia congesta,11,17,,,3,
2,Holocarpha virgata,,,,,0.6,
2,Hordeum brachyantherum,1.3,,,,,
2,Hordeum murinum,,,,,,
2,Lactuca serriola,3,8,0.1,0.1,0.5,"Quads 2, 3, and 5 all L. saligna"
2,Lasthenia californica,9,,2.5,4,,
2,Lepidium nitidum,,,,,,
2,Lolium multiflorum,20,60,,,73,
2,Lotus humistratus,,,1.3,0.4,,
2,Lotus wrangelianus,3,0.4,,1,9,
2,Lupinus succulentus,,4,,,,
2,Microseris douglasii,,,,,,
2,Minuartia douglasii,,,0.2,0.2,,
2,Nassella pulchra,0.4,,,4,20,
2,Navarretia jepsonii,2,,,,,
2,Phlox gracilis,,,,,,
2,Plantago erecta,,0.3,11,1.5,0.1,
2,Rigiopappus leptocladus,,,,,,
2,Sidalcea diploscypha,,,,0.1,0.5,
2,Taeniatherum caput-medusae,,,,,,
2,Thysanocarpus curvipes,,,,,,
2,Trifolium albopurpureum,,,3,,12,"involucre, no pedicel, maybe T. variegatum"
2,Trifolium fucatum,22,45,,,4,
2,Triteleia laxa,,,,,,
2,Uropappus lindleyi,,,,,,
2,Vulpia microstachys,3,,0.2,0.2,,
2,Vulpia myuros,,,,,,
NOTES:,Gopher disturbance quad #5 - appx. 10 %. ,,,,,,
3,Agoseris heterophylla,0.2,0.1,,,0.1,
3,Amsinckia menziesii,,,,0.4,,
3,Anagallis arvensis,,,,,0.1,
3,Ancistrocarphus filagineus,,,,,,
3,Astragalus gambelianus,,,,,,
3,Athysanus pusillus,,,0.1,,,
3,Avena fatua,6,9,0.7,11,44,
3,Avena fatua,,,,,,
3,Brodiaea elegans,,,,,,
3,Bromus hordeaceus,0.2,11,,3,2.5,
3,Bromus madritensis,4,11,0.1,1.9,0.1,
3,Calandrinia ciliata,,,,,,
3,Calochortus luteus,,,,,,
3,Calochortus sp.,,,,,,
3,Calycadenia pauciflora,,,,0.3,,
