Site,Spp,1,2,3,4,5,Notes
1,Achillea millefolium,,,,,,
1,Achyrachaena mollis,,,,,,
1,Agoseris heterophylla,,,,,,
1,Amsinckia menziesii,,,,,,
1,Astragalus gambelianus,,0.1,0.1,0.1,,
1,Athysanus pusillus,,,,,,
1,Avena fatua,15,19,14,15,10,
1,Brodiaea elegans,,,,,,
1,Bromus hordeaceus,,1,,0.1,0.1,
1,Bromus madritensis,,,,,,
1,Calandrinia ciliata,1,,,0.1,,
1,Calochortus luteus,,,,,,
1,Calochortus vestae,,,,,,
1,Centaurea solstitialis,32,1,11,3,,seedlings died in quad 3 - cover 3 % at late season sampling
1,Clarkia purpurea,0.1,0.2,0.1,0.3,,
1,Collinsia sparsiflora,,,,,,
1,Cuscuta californica,,,,,,
1,Dichelostemma capitatum,,0.6,0.2,0.1,0.8,
1,Epilobium brachycarpum,,,,,,
1,Eremocarpus setigerus,,0.1,,,,
1,Erodium brachycarpum,,,,0.1,,
1,Erodium cicutarium,1.1,0.4,0.9,0.7,,
1,Euphorbia crenulata,,,,,0.1,
1,Geranium dissectum,,,,0.1,,
1,Gilia tricolor,,0.1,,,,
1,Hemizonia congesta,,,,,6,
1,Holocarpha virgata,1,1,0.3,1,,
1,Hypochaeris glabra,,,,,,
1,Lactuca serriola,0.2,,,,1,All Lactuca saligna in quad 5
1,Lasthenia californica,,,,,,
1,Lolium multiflorum,,,,,2,
1,Lotus wrangelianus,0.3,0.1,1,1,,
1,Lupinus bicolor,,0.2,0.1,,,
1,Lupinus succulentus,,,,,,
1,Medicago polymorpha,,,,,,
1,Micropus californicus,,,,,,
1,Nassella pulchra,,,9,7,,
1,Navarretia pubescens,,,,,,
1,Perideridia kelloggii,,,,,,
1,Phlox gracilis,,,,,,
1,Plagiobothrys nothofulvus,,,,0.1,,
1,Plantago erecta,,0.1,,0.2,,
1,Senecio vulgaris,,,,,,
1,Sidalcea diploscypha,,,,,0.1,
1,Sisyrinchium bellum,,,,,,
1,Taeniatherum caput-medusae,,2,,0.1,4,
1,Trifolium bifidum,,,,,0.1,
1,Trifolium fucatum,,,,,,
1,Trifolium gracilentum,,,,,,
1,Trifolium hirtum,0.2,,,,,
1,Trifolium microdon,,,,,,
1,Trifolium willdenovii,,,,,,
1,Velezia rigida,,0.3,,,,
1,Vicia villosa,16,,,6,,
1,Vulpia microstachys,,,,,,
1,Vulpia myuros,,,,,,
1,Zigadenus fremontii,,,,,,
2,Achyrachaena mollis,,,0.1,,,
2,Agoseris heterophylla,0.2,,0.1,0.1,0.2,
2,Allium falcifolium,,,1,,,
2,Amsinckia menziesii,,,,,,
2,Ancistrocarphus filagineus,0.1,0.2,0.3,,,
2,Astragalus gambelianus,,,,0.1,,
2,Athysanus pusillus,,,,,,
2,Avena fatua,2,,0.1,2,0.6,
2,Brodiaea elegans,,,,,,
2,Bromus hordeaceus,10,0.3,,0.3,0.3,
2,Bromus madritensis,,,,,,
2,Calandrinia ciliata,,,,0.1,,
2,Calochortus luteus,,,,,,
2,Calochortus superbus,,3,,,0.2,appears to be correct ID - white-flowered Calochortus in area
2,Calochortus vestae,,,,,,
2,Calycadenia pauciflora,0.4,,16,16,2,
2,Camissonia ovata,,,,,,
2,Castilleja attenuata,,,,,,
2,Castilleja rubicundula,,,,,,
2,Centaurea solstitialis,,,,,,
2,Cerastium glomeratum,,,,,,
2,Chaenactis glabriuscula,,,0.2,,,
2,Chlorogalum pomeridianum,,,,,,
2,Clarkia gracilis,,,,,,
2,Clarkia purpurea,,,,,,
2,Claytonia exigua,,,,,,
2,Claytonia parviflora,,,,,,
2,Collinsia sparsiflora,0.1,0.3,,,,
2,Dichelostemma capitatum,2,2,,0.5,1,
2,Elymus elymoides,,,,,,
2,Epilobium brachycarpum,,,0.4,,,
2,Eremocarpus setigerus,0.1,,,,,
2,Eriogonum nudum,,,,0.4,,
2,Eriogonum vimineum,,0.5,0.3,0.8,,
2,Euphorbia crenulata,,,,,0.3,
2,Gilia capitata,,,,,,
2,Gilia tricolor,,,0.3,0.2,,
2,Hemizonia congesta,4,13,0.1,,6,
2,Holocarpha virgata,,,,,0.2,
2,Hordeum brachyantherum,3,,,,,
2,Hordeum marinum,,,,,,
2,Hordeum murinum,,,,,,
2,Lactuca serriola,1,3,0.1,0.7,,"Quads 1, 2, & 4 all Lactuca saligna"
2,Lasthenia californica,0.1,,0.6,0.4,,
2,Lepidium nitidum,,,,,,
2,Lolium multiflorum,0.5,11,,0.7,20,
2,Lotus humistratus,,,0.1,,,
2,Lotus wrangelianus,,,,0.8,0.7,
2,Lupinus succulentus,,0.4,,,,
2,Medicago polymorpha,,,,,,
2,Microseris douglasii,,,,,,
2,Minuartia californica,,,,,,
2,Minuartia douglasii,,,0.6,0.1,,
2,Nassella pulchra,2,,,4,10,
2,Navarretia jepsonii,3,,,,,
2,Navarretia pubescens,,,,,,
2,Phlox gracilis,,,,,,
2,Plantago erecta,0.1,0.2,13,3,1,
2,Poa secunda,,,,,,
2,Ranunculus occidentalis,,,,,,
2,Rigiopappus leptocladus,,,0.2,0.2,,
2,Sidalcea diploscypha,,,,,0.3,
2,Taeniatherum caput-medusae,,,,,,
2,Thysanocarpus curvipes,,,,,,
2,Trifolium albopurpureum,,,,,,
2,Trifolium fucatum,,,,,,
2,Triteleia laxa,,0.3,,,,
2,Uropappus lindleyi,,,,,,
2,Vulpia microstachys,4,2,0.5,0.3,,
2,Vulpia myuros,,,,,,
2,Zigadenus fremontii,,,,,,
3,Agoseris heterophylla,0.1,0.3,0.2,,,
3,Amsinckia menziesii,0.1,0.4,0.4,0.1,,
3,Anagallis arvensis,,,,0.1,0.1,
3,Ancistrocarphus filagineus,,,,,,
3,Astragalus gambelianus,,,,,,
3,Athysanus pusillus,,,,,,
3,Avena fatua,0.1,6,1,8,11,
3,Brodiaea elegans,,,,,,
3,Bromus hordeaceus,,,,,1,
3,Bromus madritensis,1,6,,3,,
3,Calandrinia ciliata,0.4,,,,,
3,Calochortus luteus,,,,,,
3,Calochortus vestae,,,,,,
3,Calycadenia pauciflora,3,4,,0.6,,
3,Camissonia graciliflora,0.4,0.1,,0.8,,
3,Camissonia ovata,,,,,,
3,Castilleja rubicundula,,,,,,
3,Centaurea solstitialis,,,,,0.4,
3,Chlorogalum pomeridianum,,,,,,
3,Chorizanthe membranacea,0.9,0.1,,,,
3,Chorizanthe polygonoides,0.3,,,,,
3,Clarkia gracilis,,0.1,13,0.1,,
3,Clarkia purpurea,,,,,,
3,Collinsia sparsiflora,,,0.1,,,
3,Cuscuta californica,,,,,,
3,Delphinium variegatum,,,,,0.3,
3,Dichelostemma capitatum,0.1,0.1,1.2,0.1,,
3,Epilobium brachycarpum,,,,,,
3,Eremocarpus setigerus,,,,,0.1,
3,Eriogonum nudum,,,,,,
3,Eriogonum vimineum,0.1,4,0.3,0.5,,
3,Erodium cicutarium,,,,1.5,,
3,Euphorbia crenulata,,,,,,
3,Filago gallica,,,,0.1,,
3,Gilia tricolor,2,,,0.2,,
3,Grindelia camporum,,,,,0.7,
3,Hemizonia congesta,,,1,,0.5,
3,Holocarpha virgata,1,1.5,,,,
3,Hypochaeris glabra,,,,3,,
3,Hypochaeris radicata,,,,,,
3,Lactuca serriola,,,0.4,,,0.2 of the cover is Lactuca saligna
3,Lagophylla minor,,,,,,
3,Lasthenia californica,,4,1,0.1,,
3,Lepidium nitidum,,,,,,
3,Lolium multiflorum,,,0.5,,3,
3,Lotus humistratus,0.3,,,,,
3,Lotus micranthus,,,,,,
3,Lotus purshianus,,,,,1.7,
3,Lotus wrangelianus,,0.1,6,,0.3,
3,Lupinus bicolor,0.1,0.2,,,,
3,Lupinus succulentus,,,,,0.5,
3,Medicago polymorpha,,,,,,
3,Melilotus indica,,,,,,
3,Micropus californicus,6,0.6,0.7,1.2,,
3,Microseris douglasii,,,0.3,,,
3,Mimulus douglasii,,,,,,
3,Minuartia douglasii,,,,,,
3,Nassella pulchra,,,30,,14,
3,Plantago erecta,14,10,1.3,7,0.7,
3,Ranunculus occidentalis,,,,,,
3,Rigiopappus leptocladus,0.2,0.1,,0.1,,
3,Sidalcea diploscypha,,,0.4,,0.1,
3,Sisyrinchium bellum,,,,,0.8,
3,Streptanthus breweri,,,,,,
3,Taeniatherum caput-medusae,,,,,,
3,Thysanocarpus curvipes,,0.1,,,,
3,Torilis arvensis,,,,,0.1,
3,Torilis nodosa,,,,,,
3,Trifolium albopurpureum,,,,,,
3,Trifolium fucatum,,,,,,
3,Trifolium gracilentum,,,,,,
3,Trifolium hirtum,,,,,,
3,Uropappus lindleyi,,,,,,
3,Vulpia microstachys,0.1,0.1,2,,,
3,Vulpia myuros,,,,,,
4,Achyrachaena mollis,,,,,,
4,Aegilops triuncialis,0.4,0.1,0.5,13,,
4,Agoseris heterophylla,,,0.1,,0.2,
4,Anagallis arvensis,,,,,,
4,Ancistrocarphus filagineus,,0.2,0.1,,,
4,Astragalus gambelianus,,,0.1,,,
4,Athysanus pusillus,,0.1,0.1,,,
4,Avena fatua,7,1,2,5,26,
4,Bromus hordeaceus,0.3,,0.1,0.5,0.1,
4,Bromus madritensis,,,,,,
4,Calochortus luteus,,,,,,
4,Calochortus superbus,,,,,,
4,Calycadenia pauciflora,2,1,5,,,
4,Camissonia graciliflora,,,,,,
