ID,Year,Site,Quadrat,Species_Name,Cover,Notes
8311,2000,1,1,Astragalus gambelianus,,
8312,2000,1,1,Avena fatua,,
8313,2000,1,1,Bromus hordeaceus,,
8314,2000,1,1,Bromus madritensis,,
8315,2000,1,1,Calochortus vestae,,
8316,2000,1,1,Centaurea solstitialis,,
8317,2000,1,1,Erodium cicutarium,,
8318,2000,1,1,Lupinus bicolor,,
8319,2000,1,1,Senecio vulgaris,,
8320,2000,1,1,Taeniatherum caput-medusae,,
8321,2000,1,1,Vulpia microstachys,,
9472,2000,1,2,Astragalus gambelianus,,
9473,2000,1,2,Avena fatua,,
9474,2000,1,2,Bromus hordeaceus,,
9475,2000,1,2,Calochortus vestae,,
9476,2000,1,2,Athysanus pusillus,,
9477,2000,1,2,Centaurea solstitialis,,
9478,2000,1,2,Clarkia purpurea,,
9479,2000,1,2,Erodium cicutarium,,
9480,2000,1,2,Hemizonia congesta,,
9481,2000,1,2,Lotus wrangelianus,,
9482,2000,1,2,Lupinus bicolor,,
9483,2000,1,2,Plagiobothrys nothofulvus,,
9484,2000,1,2,Plantago erecta,,
9485,2000,1,2,Senecio vulgaris,,
9486,2000,1,2,Taeniatherum caput-medusae,,
9487,2000,1,2,Vulpia microstachys,,
10545,2000,1,3,Astragalus gambelianus,,
10546,2000,1,3,Avena fatua,,
10547,2000,1,3,Bromus hordeaceus,,
10548,2000,1,3,Calochortus vestae,,
10549,2000,1,3,Centaurea solstitialis,,
10550,2000,1,3,Clarkia purpurea,,
10551,2000,1,3,Dichelostemma capitatum,,
10552,2000,1,3,Erodium cicutarium,,
10553,2000,1,3,Hemizonia congesta,,
10554,2000,1,3,Lasthenia californica,,
10555,2000,1,3,Lotus wrangelianus,,
10556,2000,1,3,Lupinus bicolor,,
10557,2000,1,3,Plagiobothrys nothofulvus,,
10558,2000,1,3,Plantago erecta,,
10559,2000,1,3,Sisyrinchium bellum,,
10560,2000,1,3,Vulpia microstachys,,
11653,2000,1,4,Avena fatua,,
11654,2000,1,4,Bromus hordeaceus,,
11655,2000,1,4,Centaurea solstitialis,,
11656,2000,1,4,Clarkia purpurea,,
11657,2000,1,4,Dichelostemma capitatum,,
11658,2000,1,4,Erodium cicutarium,,
11659,2000,1,4,Hemizonia congesta,,
11660,2000,1,4,Lasthenia californica,,
11661,2000,1,4,Lotus wrangelianus,,
11662,2000,1,4,Lupinus bicolor,,
11663,2000,1,4,Micropus californicus,,
11664,2000,1,4,Plagiobothrys nothofulvus,,
11665,2000,1,4,Plantago erecta,,
11666,2000,1,4,Sisyrinchium bellum,,
11667,2000,1,4,Taeniatherum caput-medusae,,
11668,2000,1,4,Vulpia microstachys,,
11669,2000,1,4,Perideridia kelloggii,,
12706,2000,1,5,Avena fatua,,
12707,2000,1,5,Bromus hordeaceus,,
12708,2000,1,5,Centaurea solstitialis,,
12709,2000,1,5,Lotus wrangelianus,,
12710,2000,1,5,Lupinus succulentus,,
12711,2000,1,5,Phlox gracilis,,
12712,2000,1,5,Taeniatherum caput-medusae,,
12713,2000,1,5,Vulpia microstachys,,
8322,2000,2,1,Agoseris heterophylla,,
8323,2000,2,1,Astragalus gambelianus,,
8324,2000,2,1,Bromus hordeaceus,,
8325,2000,2,1,Calycadenia pauciflora,,
8326,2000,2,1,Dichelostemma capitatum,,
8327,2000,2,1,Gilia capitata,,
8328,2000,2,1,Gilia tricolor,,
8329,2000,2,1,Hemizonia congesta,,
8330,2000,2,1,Lotus humistratus,,
8331,2000,2,1,Minuartia californica,,
8332,2000,2,1,Nassella pulchra,,
8333,2000,2,1,Plantago erecta,,
8334,2000,2,1,Rigiopappus leptocladus,,
8335,2000,2,1,Thysanocarpus curvipes,,
8336,2000,2,1,Trifolium albopurpureum,,
8337,2000,2,1,Trifolium fucatum,,
8338,2000,2,1,Cerastium glomeratum,,
9488,2000,2,2,Bromus hordeaceus,,
9489,2000,2,2,Calochortus vestae,,
9490,2000,2,2,Collinsia sparsiflora,,
9491,2000,2,2,Dichelostemma capitatum,,
9492,2000,2,2,Hemizonia congesta,,
9493,2000,2,2,Hordeum marinum,,
9494,2000,2,2,Lasthenia californica,,
9495,2000,2,2,Lotus humistratus,,
9496,2000,2,2,Nassella pulchra,,
9497,2000,2,2,Navarretia pubescens,,
9498,2000,2,2,Poa secunda,,
9499,2000,2,2,Rigiopappus leptocladus,,
9500,2000,2,2,Trifolium albopurpureum,,
9501,2000,2,2,Ancistrocarphus filagineus,,
10561,2000,2,3,Avena barbata,,orig rec as. Ave fat
10562,2000,2,3,Bromus hordeaceus,,
10563,2000,2,3,Athysanus pusillus,,
10564,2000,2,3,Chlorogalum pomeridianum,,
10565,2000,2,3,Clarkia purpurea,,
10566,2000,2,3,Dichelostemma capitatum,,
10567,2000,2,3,Hemizonia congesta,,
10568,2000,2,3,Lasthenia californica,,
10569,2000,2,3,Lotus humistratus,,
10570,2000,2,3,Nassella pulchra,,
10571,2000,2,3,Trifolium fucatum,,
10572,2000,2,3,Ancistrocarphus filagineus,,
11670,2000,2,4,Bromus hordeaceus,,
11671,2000,2,4,Athysanus pusillus,,
11672,2000,2,4,Clarkia purpurea,,
11673,2000,2,4,Euphorbia crenulata,,
11674,2000,2,4,Hemizonia congesta,,
11675,2000,2,4,Lotus humistratus,,
11676,2000,2,4,Ranunculus occidentalis,,
11677,2000,2,4,Trifolium albopurpureum,,
11678,2000,2,4,Trifolium fucatum,,
11679,2000,2,4,Clarkia gracilis,,
12714,2000,2,5,Agoseris heterophylla,,
12715,2000,2,5,Bromus hordeaceus,,
12716,2000,2,5,Chlorogalum pomeridianum,,
12717,2000,2,5,Clarkia purpurea,,
12718,2000,2,5,Claytonia parviflora,,
12719,2000,2,5,Euphorbia crenulata,,
12720,2000,2,5,Hemizonia congesta,,
12721,2000,2,5,Trifolium albopurpureum,,
12722,2000,2,5,Trifolium fucatum,,
12723,2000,2,5,Triteleia laxa,,
12724,2000,2,5,Zigadenus fremontii,,
12725,2000,2,5,Clarkia gracilis,,
8339,2000,3,1,Agoseris heterophylla,,
8340,2000,3,1,Astragalus gambelianus,,
8341,2000,3,1,Avena barbata,,
8342,2000,3,1,Bromus hordeaceus,,
8343,2000,3,1,Bromus madritensis,,
8344,2000,3,1,Athysanus pusillus,,
8345,2000,3,1,Calycadenia pauciflora,,
8346,2000,3,1,Chorizanthe membranacea,,
8347,2000,3,1,Gilia tricolor,,
8348,2000,3,1,Hemizonia congesta,,
8349,2000,3,1,Holocarpha virgata,,
8350,2000,3,1,Lagophylla minor,,
8351,2000,3,1,Lotus humistratus,,
8352,2000,3,1,Lotus wrangelianus,,
8353,2000,3,1,Lupinus bicolor,,
8354,2000,3,1,Micropus californicus,,
8355,2000,3,1,Plantago erecta,,
8356,2000,3,1,Rigiopappus leptocladus,,
8357,2000,3,1,Trifolium albopurpureum,,
8358,2000,3,1,Vulpia microstachys,,
8359,2000,3,1,Minuartia douglasii,,
8360,2000,3,1,Clarkia gracilis,,
9502,2000,3,2,Agoseris heterophylla,,
9503,2000,3,2,Bromus hordeaceus,,
9504,2000,3,2,Athysanus pusillus,,
9505,2000,3,2,Chorizanthe membranacea,,
9506,2000,3,2,Clarkia purpurea,,
9507,2000,3,2,Dichelostemma capitatum,,
9508,2000,3,2,Eriogonum nudum,,
9509,2000,3,2,Hemizonia congesta,,
9510,2000,3,2,Holocarpha virgata,,
9511,2000,3,2,Lasthenia californica,,
9512,2000,3,2,Lotus humistratus,,
9513,2000,3,2,Lotus wrangelianus,,
9514,2000,3,2,Lupinus bicolor,,
9515,2000,3,2,Micropus californicus,,
9516,2000,3,2,Nassella pulchra,,
9517,2000,3,2,Plantago erecta,,
9518,2000,3,2,Vulpia microstachys,,
9519,2000,3,2,Amsinckia menziesii,,orig rec. as A. grandiflora
9520,2000,3,2,Clarkia gracilis,,
10573,2000,3,3,Agoseris heterophylla,,
10574,2000,3,3,Calochortus vestae,,
10575,2000,3,3,Clarkia purpurea,,
10576,2000,3,3,Collinsia sparsiflora,,
10577,2000,3,3,Dichelostemma capitatum,,
10578,2000,3,3,Gilia tricolor,,
10579,2000,3,3,Hemizonia congesta,,
10580,2000,3,3,Holocarpha virgata,,
10581,2000,3,3,Lasthenia californica,,
10582,2000,3,3,Lotus wrangelianus,,
10583,2000,3,3,Micropus californicus,,
10584,2000,3,3,Nassella pulchra,,
10585,2000,3,3,Plantago erecta,,
10586,2000,3,3,Vulpia myuros,,
10587,2000,3,3,Ancistrocarphus filagineus,,
10588,2000,3,3,Clarkia gracilis,,
11680,2000,3,4,Agoseris heterophylla,,
11681,2000,3,4,Bromus hordeaceus,,
11682,2000,3,4,Bromus madritensis,,
11683,2000,3,4,Centaurea solstitialis,,
11684,2000,3,4,Clarkia purpurea,,
11685,2000,3,4,Dichelostemma capitatum,,
11686,2000,3,4,Lotus humistratus,,
11687,2000,3,4,Lotus wrangelianus,,
11688,2000,3,4,Micropus californicus,,
11689,2000,3,4,Nassella pulchra,,
11690,2000,3,4,Plantago erecta,,
11691,2000,3,4,Rigiopappus leptocladus,,
11692,2000,3,4,Sidalcea diploscypha,,
11693,2000,3,4,Taeniatherum caput-medusae,,
11694,2000,3,4,Vulpia microstachys,,
11695,2000,3,4,Ancistrocarphus filagineus,,
11696,2000,3,4,Clarkia gracilis,,
12726,2000,3,5,Bromus hordeaceus,,
12727,2000,3,5,Bromus madritensis,,
12728,2000,3,5,Centaurea solstitialis,,
12729,2000,3,5,Dichelostemma capitatum,,
12730,2000,3,5,Eriogonum nudum,,
12731,2000,3,5,Erodium cicutarium,,
12732,2000,3,5,Hemizonia congesta,,
12733,2000,3,5,Lupinus nanus,,
12734,2000,3,5,Plantago erecta,,
12735,2000,3,5,Rigiopappus leptocladus,,
12736,2000,3,5,Taeniatherum caput-medusae,,
12737,2000,3,5,Trifolium hirtum,,
12738,2000,3,5,Trifolium gracilentum,,
12739,2000,3,5,Clarkia gracilis,,
8361,2000,4,1,Agoseris heterophylla,,
8362,2000,4,1,Calochortus superbus,,
8363,2000,4,1,Calycadenia pauciflora,,
8364,2000,4,1,Clarkia purpurea,,
8365,2000,4,1,Hemizonia congesta,,
8366,2000,4,1,Lotus wrangelianus,,
8367,2000,4,1,Phlox gracilis,,
8368,2000,4,1,Plantago erecta,,
8369,2000,4,1,Taeniatherum caput-medusae,,
8370,2000,4,1,Vulpia microstachys,,
8371,2000,4,1,Trifolium gracilentum,,
8372,2000,4,1,Clarkia gracilis,,
9521,2000,4,2,Bromus madritensis,,
9522,2000,4,2,Calycadenia pauciflora,,
9523,2000,4,2,Chlorogalum pomeridianum,,
9524,2000,4,2,Collinsia sparsiflora,,
9525,2000,4,2,Euphorbia crenulata,,
9526,2000,4,2,Lotus wrangelianus,,
9527,2000,4,2,Nassella pulchra,,
9528,2000,4,2,Phlox gracilis,,
9529,2000,4,2,Plantago erecta,,
9530,2000,4,2,Poa secunda,,
9531,2000,4,2,Sidalcea diploscypha,,
9532,2000,4,2,Trifolium fucatum,,
9533,2000,4,2,Trifolium gracilentum,,
9534,2000,4,2,Clarkia gracilis,,
10589,2000,4,3,Agoseris heterophylla,,
10590,2000,4,3,Astragalus gambelianus,,
10591,2000,4,3,Bromus madritensis,,
10592,2000,4,3,Calycadenia pauciflora,,
10593,2000,4,3,Chlorogalum pomeridianum,,
10594,2000,4,3,Clarkia purpurea,,
10595,2000,4,3,Delphinium variegatum,,
10596,2000,4,3,Dichelostemma capitatum,,
10597,2000,4,3,Hemizonia congesta,,
10598,2000,4,3,Navarretia pubescens,,
10599,2000,4,3,Plantago erecta,,
10600,2000,4,3,Poa secunda,,
10601,2000,4,3,Minuartia douglasii,,
10602,2000,4,3,Ancistrocarphus filagineus,,
11697,2000,4,4,Agoseris heterophylla,,
11698,2000,4,4,Anagallis arvensis,,
11699,2000,4,4,Bromus madritensis,,
11700,2000,4,4,Calycadenia pauciflora,,
11701,2000,4,4,Chlorogalum pomeridianum,,
11702,2000,4,4,Clarkia purpurea,,
11703,2000,4,4,Delphinium variegatum,,
11704,2000,4,4,Grindelia camporum,,
11705,2000,4,4,Hemizonia congesta,,
11706,2000,4,4,Hesperolinon californicum,,
11707,2000,4,4,Holocarpha virgata,,
11708,2000,4,4,Lasthenia californica,,
11709,2000,4,4,Lotus wrangelianus,,
11710,2000,4,4,Navarretia pubescens,,
11711,2000,4,4,Plantago erecta,,
11712,2000,4,4,Poa secunda,,
11713,2000,4,4,Trifolium gracilentum,,
11714,2000,4,4,Castilleja rubicundula,,
12740,2000,4,5,Astragalus gambelianus,,
12741,2000,4,5,Athysanus pusillus,,
12742,2000,4,5,Chlorogalum pomeridianum,,
12743,2000,4,5,Clarkia purpurea,,
12744,2000,4,5,Dichelostemma capitatum,,
12745,2000,4,5,Grindelia camporum,,
12746,2000,4,5,Hemizonia congesta,,
12747,2000,4,5,Lagophylla minor,,
12748,2000,4,5,Lasthenia californica,,
12749,2000,4,5,Lotus wrangelianus,,
12750,2000,4,5,Nassella pulchra,,
12751,2000,4,5,Navarretia pubescens,,
12752,2000,4,5,Rigiopappus leptocladus,,
12753,2000,4,5,Zigadenus fremontii,,
12754,2000,4,5,Ancistrocarphus filagineus,,
8373,2000,5,1,Agoseris heterophylla,,
8374,2000,5,1,Bromus hordeaceus,,
8375,2000,5,1,Calochortus luteus,,
8376,2000,5,1,Clarkia purpurea,,
8377,2000,5,1,Collinsia sparsiflora,,
8378,2000,5,1,Dichelostemma capitatum,,
8379,2000,5,1,Hemizonia congesta,,
8380,2000,5,1,Holocarpha virgata,,
8381,2000,5,1,Lasthenia californica,,
8382,2000,5,1,Lupinus succulentus,,
8383,2000,5,1,Phlox gracilis,,
8384,2000,5,1,Plantago erecta,,
8385,2000,5,1,Sidalcea diploscypha,,
8386,2000,5,1,Taeniatherum caput-medusae,,
8387,2000,5,1,Zigadenus fremontii,,
8388,2000,5,1,Ancistrocarphus filagineus,,
9535,2000,5,2,Achyrachaena mollis,,
9536,2000,5,2,Calochortus luteus,,
9537,2000,5,2,Chlorogalum pomeridianum,,
9538,2000,5,2,Collinsia sparsiflora,,
9539,2000,5,2,Delphinium variegatum,,
9540,2000,5,2,Dichelostemma capitatum,,
9541,2000,5,2,Lasthenia californica,,
9542,2000,5,2,Lotus wrangelianus,,
9543,2000,5,2,Melilotus indica,,
9544,2000,5,2,Plantago erecta,,
9545,2000,5,2,Ranunculus occidentalis,,
9546,2000,5,2,Sidalcea diploscypha,,
9547,2000,5,2,Sisyrinchium bellum,,
9548,2000,5,2,Taeniatherum caput-medusae,,
9549,2000,5,2,Trifolium albopurpureum,,
9550,2000,5,2,Vulpia microstachys,,
9551,2000,5,2,Trifolium gracilentum,,
10603,2000,5,3,Anagallis arvensis,,
10604,2000,5,3,Calochortus luteus,,
10605,2000,5,3,Calochortus superbus,,
10606,2000,5,3,Collinsia sparsiflora,,
10607,2000,5,3,Dichelostemma capitatum,,
10608,2000,5,3,Hemizonia congesta,,
10609,2000,5,3,Medicago polymorpha,,
10610,2000,5,3,Melilotus indica,,
10611,2000,5,3,Nassella pulchra,,
10612,2000,5,3,Ranunculus occidentalis,,
10613,2000,5,3,Sidalcea diploscypha,,
10614,2000,5,3,Sisyrinchium bellum,,
10615,2000,5,3,Trifolium fucatum,,
10616,2000,5,3,Trifolium gracilentum,,
10617,2000,5,3,Perideridia kelloggii,,
10618,2000,5,3,Castilleja rubicundula,,
10619,2000,5,3,Lotus micranthus,,lotus spp mixed up in this site
11715,2000,5,4,Bromus hordeaceus,,
11716,2000,5,4,Bromus madritensis,,
11717,2000,5,4,Dichelostemma capitatum,,
11718,2000,5,4,Medicago polymorpha,,
11719,2000,5,4,Melilotus indica,,
11720,2000,5,4,Poa secunda,,
11721,2000,5,4,Ranunculus occidentalis,,
11722,2000,5,4,Sidalcea diploscypha,,
11723,2000,5,4,Taeniatherum caput-medusae,,
11724,2000,5,4,Trifolium fucatum,,
11725,2000,5,4,Trifolium gracilentum,,
11726,2000,5,4,Castilleja rubicundula,,
11727,2000,5,4,Lotus micranthus,,lotus spp mixed up in this site
12755,2000,5,5,Avena fatua,,
12756,2000,5,5,Bromus hordeaceus,,
12757,2000,5,5,Bromus madritensis,,
12758,2000,5,5,Hemizonia congesta,,
12759,2000,5,5,Lomatium utriculatum,,
12760,2000,5,5,Lotus wrangelianus,,
12761,2000,5,5,Lupinus succulentus,,
12762,2000,5,5,Sidalcea diploscypha,,
12763,2000,5,5,Taeniatherum caput-medusae,,
12764,2000,5,5,Trifolium fucatum,,
12765,2000,5,5,Vulpia microstachys,,
12766,2000,5,5,Trifolium gracilentum,,
8389,2000,6,1,Bromus hordeaceus,,
8390,2000,6,1,Dichelostemma capitatum,,
8391,2000,6,1,Eriogonum nudum,,
8392,2000,6,1,Erodium cicutarium,,
8393,2000,6,1,Hemizonia congesta,,
8394,2000,6,1,Holocarpha virgata,,
8395,2000,6,1,Lasthenia californica,,
8396,2000,6,1,Navarretia jepsonii,,orig rec. as n. pubescens
8397,2000,6,1,Phlox gracilis,,
8398,2000,6,1,Plantago erecta,,
8399,2000,6,1,Sidalcea diploscypha,,
8400,2000,6,1,Vulpia myuros,,
8401,2000,6,1,Minuartia douglasii,,
8402,2000,6,1,Clarkia gracilis,,
9552,2000,6,2,Collinsia sparsiflora,,
9553,2000,6,2,Dichelostemma capitatum,,
9554,2000,6,2,Holocarpha virgata,,
9555,2000,6,2,Lasthenia californica,,
9556,2000,6,2,Linanthus bicolor,,
9557,2000,6,2,Phlox gracilis,,
9558,2000,6,2,Poa secunda,,
9559,2000,6,2,Trifolium albopurpureum,,
9560,2000,6,2,Vulpia myuros,,
9561,2000,6,2,Zigadenus fremontii,,
9562,2000,6,2,Clarkia gracilis,,
10620,2000,6,3,Agoseris heterophylla,,
10621,2000,6,3,Collinsia sparsiflora,,
10622,2000,6,3,Holocarpha virgata,,
10623,2000,6,3,Lasthenia californica,,
10624,2000,6,3,Lepidium nitidum,,
10625,2000,6,3,Linanthus bicolor,,
10626,2000,6,3,Nassella pulchra,,
10627,2000,6,3,Navarretia jepsonii,,orig rec. as n. pubescens
10628,2000,6,3,Phlox gracilis,,
10629,2000,6,3,Plantago erecta,,
10630,2000,6,3,Sidalcea diploscypha,,
10631,2000,6,3,Minuartia douglasii,,
10632,2000,6,3,Clarkia gracilis,,
11728,2000,6,4,Agoseris heterophylla,,
11729,2000,6,4,Astragalus gambelianus,,
11730,2000,6,4,Hemizonia congesta,,
11731,2000,6,4,Lactuca serriola,,
11732,2000,6,4,Lasthenia californica,,
11733,2000,6,4,Lepidium nitidum,,
11734,2000,6,4,Linanthus bicolor,,
11735,2000,6,4,Micropus californicus,,
11736,2000,6,4,Navarretia jepsonii,,orig rec. as n. pubescens
11737,2000,6,4,Plantago erecta,,
11738,2000,6,4,Rigiopappus leptocladus,,
11739,2000,6,4,Minuartia douglasii,,
11740,2000,6,4,Ancistrocarphus filagineus,,
12767,2000,6,5,Calandrinia ciliata,,
12768,2000,6,5,Collinsia sparsiflora,,
12769,2000,6,5,Eriogonum nudum,,
12770,2000,6,5,Holocarpha virgata,,
12771,2000,6,5,Lactuca serriola,,
12772,2000,6,5,Lasthenia californica,,
12773,2000,6,5,Lepidium nitidum,,
12774,2000,6,5,Linanthus bicolor,,
12775,2000,6,5,Nassella pulchra,,
12776,2000,6,5,Plantago erecta,,
12777,2000,6,5,Rigiopappus leptocladus,,
12778,2000,6,5,Sidalcea diploscypha,,
12779,2000,6,5,Zigadenus fremontii,,
12780,2000,6,5,Ancistrocarphus filagineus,,
8403,2000,7,1,Bromus hordeaceus,,
8404,2000,7,1,Calochortus luteus,,
8405,2000,7,1,Athysanus pusillus,,
8406,2000,7,1,Clarkia purpurea,,
8407,2000,7,1,Dichelostemma capitatum,,
8408,2000,7,1,Hemizonia congesta,,
8409,2000,7,1,Holocarpha virgata,,
8410,2000,7,1,Lasthenia californica,,
8411,2000,7,1,Linanthus bicolor,,
8412,2000,7,1,Lotus wrangelianus,,
8413,2000,7,1,Nassella pulchra,,
