Site,Species_Name,1,2,3,4,5,Notes,,,,,
1,Achillea millefolium,,,,,,,,,,,
1,Achyrachaena mollis,,,,,0.2,,,,,,
1,Agoseris heterophylla,,,,,,,,,,,
1,Amsinckia menziesii,,,,,,,,,,,
1,Astragalus gambelianus,,,,,,,,,,,
1,Athysanus pusillus,,,,,,,,,,,
1,Avena fatua,35,40,24,27,36,,,,,,
1,Brodiaea elegans,,,,,,,,,,,
1,Bromus hordeaceus,0.2,1,0.5,3,0.2,,,,,,
1,Bromus madritensis,,,,,,,,,,,
1,Calandrinia ciliata,,,,,,,,,,,
1,Calochortus luteus,,,,,,,,,,,
1,Calochortus vestae,,,,,,,,,,,
1,Centaurea solstitialis,20,8,10,25,1,,,,,,
1,Clarkia purpurea,0.1,9,0.1,1,,,,,,,
1,Collinsia sparsiflora,,,,,,,,,,,
1,Cuscuta californica,,,,,,,,,,,
1,Dichelostemma capitatum,,,,,0.5,,,,,,
1,Epilobium brachycarpum,,,,,,,,,,,
1,Eremocarpus setigerus,,,,,,,,,,,
1,Erodium brachycarpum,,,,,,,,,,,
1,Erodium cicutarium,,,0.2,,,,,,,,
1,Euphorbia crenulata,,,,,0.2,,,,,,
1,Geranium dissectum,,,,0.1,,,,,,,
1,Gilia tricolor,,,,,,,,,,,
1,Hemizonia congesta,,,,,7,,,,,,
1,Holocarpha virgata,,1,0.1,0.6,,,,,,,
1,Hypochaeris glabra,,,,,,,,,,,
1,Lactuca serriola,,,,,0.4,,,,,,
1,Lasthenia californica,,,,,,,,,,,
1,Lolium multiflorum,,,,2,45,,,,,,
1,Lotus wrangelianus,,0.2,0.7,,,,,,,,
1,Lupinus bicolor,,1,,,,,,,,,
1,Lupinus succulentus,,,,,,,,,,,
1,Medicago polymorpha,,,,,,,,,,,
1,Micropus californicus,,,,,,,,,,,
1,Nassella pulchra,,,14,3,,,,,,,
1,Navarretia pubescens,,,,,,,,,,,
1,Perideridia kelloggii,,,,,,,,,,,
1,Phlox gracilis,,,,,,,,,,,
1,Plagiobothrys nothofulvus,,,,0.2,,,,,,,
1,Plantago erecta,,0.2,0.1,0.1,,,,,,,
1,Senecio vulgaris,,,,,,,,,,,
1,Sidalcea diploscypha,,,,,,,,,,,
1,Sisyrinchium bellum,,,,,,,,,,,
1,Taeniatherum caput-medusae,,8,0.5,6,3,,,,,,
1,Trifolium bifidum,,,,,,,,,,,
1,Trifolium fucatum,,,,,,,,,,,
1,Trifolium gracilentum,,,,,,,,,,,
1,Trifolium hirtum,,,,,,,,,,,
1,Trifolium microdon,,,,,,,,,,,
1,Trifolium willdenovii,,,,,,,,,,,
1,Velezia rigida,,0.2,,,,,,,,,
