Metadata for McLCoverTraits_022415.csv,,,,,,,,
Description,Species cover and trait data for McLaughlin dataset,,,,,,,
,,,,,,,,
ColumnNames,Description,Units_values,,,,,,
Species_Name,Genus species,Jepson 1993,,,,,,
Year,Year sampled - combines records from early spring and late spring sampling.,2000 - 2014,,,,,,
Site,Identification number of  transect,1 to 80,,,,,,
Serpentine,Non-serpentine or serpentine plot,N or S,,,,,,
MnCov,Mean cover for transect; averge of the 5 1 x 1 meter quadrats,Percent or NA for presence for species in pre-2006 years. ,,,,,,
Height,Height; related to 2010 trait dataset. On serpentine.,cm; mean of 10 measurements,,,,,,
SLA,Specific leaf area; related to 2010 trait dataset.  On serpentine.,area cm2 / g,,,,,,
LWC,Leaf water content; related to 2010 trait dataset.  On serpentine.,(fresh weight - dry weight) / fresh weight,,,,,,
CN,Leaf Carbon: Nitrogen ration; related to 2010 trait dataset.  On serpentine.,leaf carbon to nitrogen ratio,,,,,,
PerN,Percent Nitrogen; related to 2010 trait dataset.  On serpentine.,leaf nitrogen content; percent,,,,,,
Genus,Genus,Jepson 1993,,,,,,
Species,Species,Jepson 1993,,,,,,
Family,Plant family,Jepson 1993,,,,,,
Native.Exotic,native status; based on PLANTS USDA data downloaded fall 2014; supplemented by data from the CalFlora database,Native or Exotic,,,,,,
Grass.Forb.Shrub,growth form; based on PLANTS USDA data downloaded fall 2014; supplemented by data from the CalFlora database,"Grass; Forb; Shrub; Tree. Juncaceae and Cyperaceae (graminoids) included as ""Grass""",,,,,,
Annual.Perennial,lifespan; based on PLANTS USDA data downloaded fall 2014; supplemented by data from the CalFlora database,,,,,,,
Monocot.Dicot,monocot or dicot; based on PLANTS USDA data downloaded fall 2014; supplemented by data from the CalFlora database,,,,,,,
