Species_Name,HeightS,SLAS,LWCS,CNS,PerNS,HeightNS,SLANS,LWCNS,CNNS,PerNNS,Genus,Species,Family,Native.Exotic,Grass.Forb.Shrub,Annual.Perennial,Monocot.Dicot
Achillea millefolium,16.2,264.3636364,0.716494845,15.70899471,1.89,77.2,138.1140268,0.598286061,18.18981481,2.16,Achillea,millefolium,Asteraceae,Native,Forb,Perennial,dicot
Achyrachaena mollis,11.1,193.9346874,0.860119213,16.65765766,2.22,17.4,248.3596215,0.841182365,19.32323232,1.98,Achyrachaena,mollis,Asteraceae,Native,Forb,Annual,dicot
Agoseris grandiflora,23.9,159.8564955,0.810294802,19.28,1.5,14.5,186.6885893,0.850038218,17.28151261,2.38,Agoseris,grandiflora,Asteraceae,Native,Forb,Perennial,dicot
Agoseris heterophylla,12.5,342.641844,0.820439351,38.21,1,30.4,197.3976608,0.804627249,19.20093458,2.14,Agoseris,heterophylla,Asteraceae,Native,Forb,Annual,dicot
Aira caryophyllea,18.2,309.3442623,0.757936508,77.40384615,0.52,19.4,183.7037037,0.4375,43.12371134,0.97,Aira,caryophyllea,Poaceae,Exotic,Grass,Annual,monocot
Allium amplectens,25,103.3018399,0.772434084,NA,NA,NA,NA,NA,NA,NA,Allium,amplectens,Liliaceae,Native,Forb,Perennial,monocot
Allium falcifolium,4.4,117.4246183,0.880425357,14.98951049,2.86,NA,NA,NA,NA,NA,Allium,falcifolium,Liliaceae,Native,Forb,Perennial,monocot
Allium fimbriatum,15.9,101.2526158,0.831205531,15.58076923,2.6,NA,NA,NA,NA,NA,Allium,fimbriatum,Liliaceae,Native,Forb,Perennial,monocot
Allium serra,NA,NA,NA,NA,NA,25.5,99.66292135,0.847213151,34.4,1.15,Allium,serra,Liliaceae,Native,Forb,Perennial,monocot
Allophyllum gilioides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allophyllum,gilioides,Polemoniaceae,Native,Forb,Annual,dicot
Amsinckia menziesii,15.9,188.503612,0.843127732,14.63601533,2.61,46.2,180.0901917,0.77435767,13.56097561,2.87,Amsinckia,menziesii,Boraginaceae,Native,Forb,Annual,dicot
Anagallis arvensis,10.1,390.9952607,0.85704607,21.14583333,1.92,10.95,316.7251462,0.834382567,21.93333333,1.95,Anagallis,arvensis,Primulaceae,Exotic,Forb,Annual,dicot
Ancistrocarphus filagineus,2.4,172.893617,0.197952218,41.47368421,0.57,4.4,277.1794872,0.788043478,24.31724138,1.45,Ancistrocarphus,filagineus,Asteraceae,Native,Forb,Annual,dicot
Anthriscus caucalis,NA,NA,NA,NA,NA,54.8,398.5495551,0.878031546,9.744186047,4.3,Anthriscus,caucalis,Apiaceae,Exotic,Forb,Annual,dicot
Aphanes occidentalis,5.7,503.5087719,0.773809524,46.76136364,0.88,3.7,308.2352941,0.696428571,25.75,1.6,Aphanes,occidentalis,Rosaceae,Native,Forb,Annual,dicot
Asclepias fascicularis,28,168.3571429,0.805081796,51.87341772,0.79,50.8,189.286927,0.806453733,13.16369048,3.36,Asclepias,fascicularis,Asclepiadaceae,Native,Forb,Perennial,dicot
Astragalus breweri,6,241.6831683,0.857344633,10.79899497,3.98,16.15,192.6791277,0.786427146,15.67164179,2.68,Astragalus,breweri,Fabaceae,Native,Forb,Annual,dicot
Astragalus gambelianus,6.01,204.7292818,0.808303326,12.38904899,3.47,5.2,167.7705977,0.668452062,14.9023569,2.97,Astragalus,gambelianus,Fabaceae,Native,Forb,Annual,dicot
Astragalus rattanii var. jepsonianus,NA,NA,NA,NA,NA,26.6,166.7839506,0.821546596,12.12693498,3.23,Astragalus,rattanii var. jepsonianus,Fabaceae,Native,Forb,Annual,dicot
Athysanus pusillus,16.5,179.2666667,0.858923113,16.42035398,2.26,16.7,256.0784314,0.836012862,28.68253968,1.26,Athysanus,pusillus,Brassicaceae,Native,Forb,Annual,dicot
Atriplex triangularis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atriplex,triangularis,Chenopodiaceae,Native,Forb,Annual,dicot
Avena fatua,73.1,194.0969751,0.671393071,35.59433962,1.06,56.8,221.0851506,0.694770206,33.31623932,1.17,Avena,fatua,Poaceae,Exotic,Grass,Annual,monocot
Bellardia trixago,9.3,133.3435115,0.748849693,37.81132075,1.06,18,133.5283251,0.790451613,23.34375,1.6,Bellardia,trixago,Scrophulariaceae,Exotic,Forb,Annual,dicot
Brassica nigra,NA,NA,NA,NA,NA,154.9,201.2281915,0.836034869,14.43010753,2.79,Brassica,nigra,Brassicaceae,Exotic,Forb,Annual,dicot
Briza minor,15.3,378.5909569,0.789880689,48.50588235,0.85,8.9,387.5061125,0.796213254,36.77876106,1.13,Briza,minor,Poaceae,Exotic,Grass,Annual,monocot
Brodiaea elegans,10.4,122.3929882,0.871152432,40.7628866,0.97,17.9,118.7161342,0.835369304,NA,NA,Brodiaea,elegans,Liliaceae,Native,Forb,Perennial,monocot
Bromus carinatus,112.3,135.4582433,0.720770924,19.37619048,2.1,70.7,232.4287801,0.692290402,31.50833333,1.2,Bromus,carinatus,Poaceae,Native,Grass,Perennial,monocot
Bromus diandrus,42.6,265.004817,0.763634294,NA,NA,77.2,251.4792899,0.802098073,17.17721519,2.37,Bromus,diandrus,Poaceae,Exotic,Grass,Annual,monocot
Bromus hordeaceus,48.2,235.3691275,0.600536193,66.15,0.6,36.7,302.4736842,0.735560195,37.54639175,0.97,Bromus,hordeaceus,Poaceae,Exotic,Grass,Annual,monocot
Bromus laevipes,86.2,299.5091268,0.738248967,25.6163522,1.59,85.5,329.424145,0.749009538,21.55612245,1.96,Bromus,laevipes,Poaceae,Native,Grass,Perennial,monocot
Bromus madritensis,19,193.2033248,0.69157957,32.73228346,1.27,27.8,313.1415929,0.745495495,36.18269231,1.04,Bromus,madritensis,Poaceae,Exotic,Grass,Annual,monocot
Bromus tectorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bromus,tectorum,Poaceae,Exotic,Grass,Annual,monocot
Calandrinia ciliata,2.59,195.5813953,0.892041175,18.52132701,2.11,8.48,NA,0.877413561,14.89411765,2.55,Calandrinia,ciliata,Portulacaceae,Native,Forb,Annual,dicot
Calochortus luteus,15.8,254.8820755,0.818493151,40.22857143,1.05,23.16666667,204.7244806,0.841608242,24.86982249,1.69,Calochortus,luteus,Liliaceae,Native,Forb,Perennial,monocot
Calochortus superbus,16.6,236.507177,0.820137694,38.47663551,1.07,27.3,255.4,0.840836744,31.1119403,1.34,Calochortus,superbus,Liliaceae,Native,Forb,Perennial,monocot
Calochortus vestae,38.8,138.4168443,0.836748901,32.90163934,1.22,NA,NA,NA,NA,NA,Calochortus,vestae,Liliaceae,Native,Forb,Perennial,monocot
Calycadenia pauciflora,30,99.72148541,0.758333333,23.65853659,1.64,NA,NA,NA,NA,NA,Calycadenia,pauciflora,Asteraceae,Native,Forb,Annual,dicot
Camissonia graciliflora,6.76,151.6122004,0.796482412,18.57603687,2.17,5.1,127.9002079,0.78172082,17.26811594,1.38,Camissonia,graciliflora,Onagraceae,Native,Forb,Annual,dicot
Camissonia ovata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Camissonia,ovata,Onagraceae,Native,Forb,Perennial,dicot
Capsella bursa-pastoris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Capsella,bursa-pastoris,Brassicaceae,Exotic,Forb,Annual,dicot
Cardamine oligosperma,NA,NA,NA,NA,NA,15.5,279.5645161,0.828112004,9.366292135,4.45,Cardamine,oligosperma,Brassicaceae,Native,Forb,Annual,dicot
Carduus pycnocephalus,39.6,152.5830636,0.882389483,23.0754717,1.59,55.8,163.0271946,0.903278948,18.96984925,1.99,Carduus,pycnocephalus,Asteraceae,Exotic,Forb,Annual,dicot
Castilleja attenuata,17.1,264.7557003,0.791581806,NA,NA,17.1,314.8117155,0.803776683,19.12707182,1.81,Castilleja,attenuata,Scrophulariaceae,Native,Forb,Annual,dicot
Castilleja densiflora,NA,NA,NA,NA,NA,19.9,285.3472222,0.846481876,24.04026846,1.49,Castilleja,densiflora,Scrophulariaceae,Native,Forb,Annual,dicot
Castilleja exserta,10.6,239.7251586,0.772157996,13.41342756,2.83,19.3,333.67776,0.803416329,11.93485342,3.07,Castilleja,exserta,Scrophulariaceae,Native,Forb,Annual,dicot
Castilleja rubicundula,15.1,312.5862069,0.816842105,18.94152047,1.71,20.8,299.4910941,0.778591549,22.02797203,1.43,Castilleja,rubicundula,Scrophulariaceae,Native,Forb,Annual,dicot
Centaurea melitensis,35,147.1221532,0.715715127,21.28272251,1.91,64,202.4571429,0.775497114,47.37647059,0.85,Centaurea,melitensis,Asteraceae,Exotic,Forb,Annual,dicot
Centaurea solstitialis,71.4,212.8361996,0.832980176,31.49612403,1.29,100.1,206.140308,0.829860678,17.36363636,2.31,Centaurea,solstitialis,Asteraceae,Exotic,Forb,Annual,dicot
Centaurium trichanthum,8.1,578.2370821,0.902431791,20.8680203,1.97,5.55,583.5907336,0.902850713,19.83574879,2.07,Centaurium,trichanthum,Gentianaceae,Native,Forb,Annual,dicot
Cerastium glomeratum,21.6,288.115016,0.850810296,24.46540881,1.59,21.1,245.5408971,0.845400775,33.0952381,1.05,Cerastium,glomeratum,Caryophyllaceae,Exotic,Forb,Annual,dicot
Cercocarpus betuloides,217.9,59.04780262,0.524995422,25.11979167,1.92,288,141.0297,0.667543,17.84705882,2.55,Cercocarpus,betuloides,Rosaceae,Native,Shrub,Perennial,dicot
Chaenactis glabriuscula,8.7,180.5952381,0.839694656,30.088,1.25,NA,NA,NA,NA,NA,Chaenactis,glabriuscula,Asteraceae,Native,Forb,Annual,dicot
