Site/Project: McLaughlin 80 sites,,,,,,
Experiment: Temporal stability,,,,,,
"Date: Data collected 2000-2010, analyzed 2010-2011",,,,,,
Data description: Species presence/absence (2000-2006) and cover (2006-2010),,,,,,
Protocols: None,,,,,,
CVS file & path,,,,,,
Names of data takers: Harrison lab,,,,,,
"Column info: year, site, quadrat, species_soil (soil ecotype), functional group, presence, percent cover",,,,,,
"Definitions & Abbreviations: For the species_soil column: s=serpentine, n=non-serpentine",,,,,,
year,site,quadrat,species_soil,functional_grp,presence,percent_cover
2006,1,1,avena_fatua_s,annual grass,1,10
2006,1,1,bromus_hordeaceus_s,annual grass,1,30
2006,1,1,centaurea_solstitialis_s,annual forb,1,15
2006,1,1,clarkia_purpurea_s,annual forb,1,2
2006,1,1,erodium_brachycarpum_s,annual forb,1,0.1
2006,1,1,erodium_cicutarium_s,annual forb,1,2
2006,1,1,holocarpha_virgata_s,annual forb,1,1
2006,1,1,lolium_multiflorum_s,annual grass,1,2
2006,1,1,lotus_wrangelianus_s,annual forb,1,3
2006,1,1,lupinus_bicolor_s,annual forb,1,0.2
2006,1,1,taeniatherum_caput_medusae_s,annual grass,1,1
2006,1,1,trifolium_hirtum_s,annual forb,1,1
2006,1,1,vicia_villosa_s,annual forb,1,80
2006,1,1,vulpia_myuros_s,annual grass,1,20
2006,1,2,amsinckia_menziesii_s,annual forb,1,0.1
2006,1,2,avena_fatua_s,annual grass,1,2
2006,1,2,bromus_hordeaceus_s,annual grass,1,35
2006,1,2,centaurea_solstitialis_s,annual forb,1,0.7
2006,1,2,clarkia_purpurea_s,annual forb,1,0.5
2006,1,2,erodium_brachycarpum_s,annual forb,1,0.1
2006,1,2,erodium_cicutarium_s,annual forb,1,0.1
2006,1,2,holocarpha_virgata_s,annual forb,1,2
2006,1,2,lotus_wrangelianus_s,annual forb,1,0.1
2006,1,2,lupinus_bicolor_s,annual forb,1,0.2
2006,1,2,micropus_californicus_s,annual forb,1,0.4
2006,1,2,plagiobothrys_nothofulvus_s,annual forb,1,0.1
2006,1,2,plantago_erecta_s,annual forb,1,0.1
2006,1,2,senecio_vulgaris_s,annual forb,1,0.1
2006,1,2,taeniatherum_caput_medusae_s,annual grass,1,85
2006,1,3,astragalus_gambelianus_s,n-fixer,1,2
2006,1,3,avena_fatua_s,annual grass,1,0.3
2006,1,3,bromus_hordeaceus_s,annual grass,1,50
2006,1,3,centaurea_solstitialis_s,annual forb,1,3
2006,1,3,clarkia_purpurea_s,annual forb,1,0.5
2006,1,3,erodium_cicutarium_s,annual forb,1,1
2006,1,3,holocarpha_virgata_s,annual forb,1,0.5
2006,1,3,lotus_wrangelianus_s,annual forb,1,5
2006,1,3,nassella_pulchra_s,perennial grass,1,10
2006,1,3,senecio_vulgaris_s,annual forb,1,1
2006,1,3,taeniatherum_caput_medusae_s,annual grass,1,50
2006,1,3,vulpia_myuros_s,annual grass,1,5
2006,1,4,amsinckia_menziesii_s,annual forb,1,0.3
2006,1,4,astragalus_gambelianus_s,n-fixer,1,1
2006,1,4,avena_fatua_s,annual grass,1,2
2006,1,4,bromus_hordeaceus_s,annual grass,1,30
2006,1,4,centaurea_solstitialis_s,annual forb,1,4
2006,1,4,clarkia_purpurea_s,annual forb,1,0.5
2006,1,4,dichelostemma_capitatum_s,perennial bulb,1,0.5
2006,1,4,epilobium_brachycarpum_s,annual forb,1,0.1
2006,1,4,erodium_cicutarium_s,annual forb,1,3
2006,1,4,geranium_dissectum_s,annual forb,1,8
2006,1,4,holocarpha_virgata_s,annual forb,1,3
2006,1,4,lolium_multiflorum_s,annual grass,1,1
2006,1,4,lotus_wrangelianus_s,annual forb,1,8
2006,1,4,lupinus_bicolor_s,annual forb,1,0.5
2006,1,4,nassella_pulchra_s,perennial grass,1,0.2
2006,1,4,plagiobothrys_nothofulvus_s,annual forb,1,25
2006,1,4,plantago_erecta_s,annual forb,1,2
2006,1,4,senecio_vulgaris_s,annual forb,1,2
2006,1,4,taeniatherum_caput_medusae_s,annual grass,1,75
2006,1,4,vulpia_myuros_s,annual grass,1,35
2006,1,5,achyrachaena_mollis_s,annual forb,1,2
2006,1,5,agoseris_heterophylla_s,annual forb,1,4
2006,1,5,athysanus_pusillus_s,annual forb,1,0.3
2006,1,5,avena_fatua_s,annual grass,1,7
2006,1,5,bromus_hordeaceus_s,annual grass,1,3
2006,1,5,calochortus_luteus_s,perennial bulb,1,0.2
2006,1,5,epilobium_brachycarpum_s,annual forb,1,0.5
2006,1,5,euphorbia_crenulata_s,annual forb,1,1
2006,1,5,hemizonia_congesta_s,annual forb,1,30
2006,1,5,lactuca_serriola_s,annual forb,1,0.1
2006,1,5,lolium_multiflorum_s,annual grass,1,30
2006,1,5,lotus_wrangelianus_s,annual forb,1,1
2006,1,5,sidalcea_diploscypha_s,annual forb,1,1
2006,1,5,sonchus_oleraceus_n,annual forb,1,2
2006,1,5,trifolium_fucatum_s,annual forb,1,1
2006,1,5,trifolium_gracilentum_n,annual forb,1,1
2006,1,5,vulpia_microstachys_s,annual grass,1,0.1
2006,1,5,vulpia_myuros_s,annual grass,1,0.4
2006,2,1,agoseris_heterophylla_s,annual forb,1,1
2006,2,1,ancistrocarphus_filagineus_s,annual forb,1,5
2006,2,1,avena_barbata_s,annual grass,1,2
2006,2,1,calochortus_luteus_s,perennial bulb,1,0.1
2006,2,1,collinsia_sparsiflora_s,annual forb,1,10
2006,2,1,dichelostemma_capitatum_s,perennial bulb,1,10
