Site/Project: McLaughlin 80 sites,,,,,,,,,,,,,,
Experiment: Temporal stability,,,,,,,,,,,,,,
"Date: Data collected 2000-2010, analyzed 2010-2011",,,,,,,,,,,,,,
Data description: Temporal variation metrics based on presence/absence (2000-2010) or cover (2006-2010),,,,,,,,,,,,,,
Protocols: None,,,,,,,,,,,,,,
CVS file & path,,,,,,,,,,,,,,
Names of data takers: Calculations by Barbara Fernandez-Going,,,,,,,,,,,,,,
"Column info: year, site, quadrat, species_soil (soil ecotype), functional group, presence, percent cover",,,,,,,,,,,,,,
"Definitions & Abbreviations: CV=temporial coefficient of variation, noag=annual grasses excluded",,,,,,,,,,,,,,
site,soil,CV_richness,CV_richness_noag,Jaccard,Jaccard_noag,CV_cover,Bray,Bray_noag,CV_Shannon,CV_Shannon_noag,CV_annual forb,CV_annual grass,CV_perennial forb,CV_perennial grass
1,S,0.193588951,0.157693877,0.359026897,0.407500747,0.387156192,0.496112839,0.566254317,1.141382107,2.015670472,0.113301993,0.051520786,1.660707834,0.74508065
2,S,0.179750935,0.106261948,0.413604774,0.438698563,0.424168716,0.577515583,0.609547672,1.055465324,1.731555008,0.091525416,0.245642845,0.80381468,0.433624916
3,S,0.254172954,0.123336053,0.434226642,0.454606181,0.478279338,0.57905812,0.549056439,0.948188827,1.726942367,0.154710722,0.341627983,0.773241903,0.330168256
4,S,0.257816057,0.179757369,0.429508928,0.4425036,0.459223792,0.611321872,0.651520402,1.065756735,1.63579948,0.218606049,0.17727804,0.55321494,0.398296464
5,S,0.194815245,0.213033188,0.438987006,0.474423736,0.413997933,0.48930446,0.741583441,1.515586923,2.04371732,0.32673183,0.160974842,0.455390596,0.503880903
6,S,0.215717942,0.1439999,0.421004654,0.422818103,0.368428077,0.451473487,0.402767319,0.892117324,2.214969492,0.2802425,0.844861424,0.834776423,0.237721274
7,S,0.169785472,0.172972268,0.399921635,0.436094582,0.621436532,0.711024022,0.728289578,1.024282662,1.406422243,0.842642621,0.716682465,0.689995785,0.495018408
8,S,0.224079916,0.131451592,0.438338506,0.471817404,0.454753411,0.56712573,0.721195436,1.271667636,1.763277431,0.876938292,0.53164128,0.890172017,1.245381232
9,S,0.227869485,0.129273185,0.402895073,0.416530876,0.362751737,0.552465554,0.695363397,1.258654755,1.8100676,0.690043177,0.487709644,0.933917732,0.284272343
10,S,0.147657707,0.116619178,0.347275175,0.372652312,0.353450759,0.517225923,0.527659174,1.020171555,1.933391109,0.12772468,0.196396909,0.659047019,0.93224856
11,S,0.171247671,0.140534718,0.404653344,0.438318464,0.378949371,0.580649017,0.581981291,1.002294456,1.722210785,0.313758236,0.336622886,0.650861409,0.504431829
12,S,0.170474768,0.144882967,0.366547088,0.38947744,0.316356556,0.440909021,0.421421471,0.955801425,2.268041594,0.091251634,0.247213709,0.701397384,1.328870664
13,S,0.165142566,0.117959918,0.397831558,0.397145128,0.423082125,0.536056297,0.534908535,0.997858878,1.865475707,0.018445832,1.445567358,1.15066315,0.424765914
14,S,0.185909984,0.136139184,0.417226207,0.424620259,0.375506232,0.568157186,0.593965054,1.045423816,1.760076303,0.286165347,0.54552091,0.765097149,0.341884252
15,S,0.215154609,0.149749273,0.43882258,0.483270479,0.405661105,0.490519418,0.637637535,1.299923126,2.038655277,0.519534735,0.249484868,0.294675509,1.146594988
16,S,0.16067974,0.110144702,0.378867254,0.409781972,0.404844489,0.469218394,0.508351411,1.083400433,2.131203747,0.235907532,0.420507239,0.863681289,0.283159518
17,N,0.273892688,0.239369542,0.409133203,0.470066775,0.709516862,0.623563027,0.737326468,1.182440966,1.603687129,0.445959961,0.561173733,1.530281117,0.63506681
18,S,0.227044979,0.197765293,0.373824077,0.434850893,0.435296103,0.451504919,0.54964222,1.217355994,2.214815294,0.09393101,0.099665927,0.849204909,1.076075701
19,S,0.170734186,0.115391079,0.460545456,0.487204342,0.504211536,0.525992654,0.50700326,0.963897987,1.901167237,0.437502525,0.519457097,0.862029555,0.482506794
20,S,0.248763111,0.185404962,0.513511919,0.566485953,0.422664898,0.629400625,0.635930734,1.010375123,1.588813167,0.676785234,0.70815824,1.258125669,0
21,S,0.232543308,0.195353521,0.414095323,0.455856281,0.456908278,0.552689602,0.562969731,1.018600186,1.809333841,0.495740039,0.365368859,0.613642567,0.226096375
22,S,0.23118918,0.186888765,0.447954448,0.484600334,0.704540872,0.464269163,0.445756783,0.960125761,2.153922938,0.51569005,0.330198256,0.2961577,2.08598628
23,S,0.179371589,0.106146894,0.414683833,0.462166662,0.687062367,0.55023951,0.637299595,1.158222162,1.817390393,0.61391463,0.294531822,0.725589309,0.653790665
24,S,0.197222891,0.135468391,0.404246149,0.437696893,0.547448429,0.601989505,0.647635637,1.075825461,1.661158528,0.32225242,0.261123016,0.440364502,0.615233535
25,N,0.338893424,0.2643847,0.439292147,0.498745407,0.392077954,0.447664465,0.56582807,1.26395574,2.2338159,0.380196851,0.174036497,0.731428209,2.236067977
26,S,0.225832871,0.112205261,0.342311542,0.354999054,0.448080567,0.424215306,0.377555604,0.890009385,2.357293537,0.18937795,0.939620135,0.633942941,1.139823997
27,S,0.180948492,0.140615929,0.311910367,0.314600874,0.277449449,0.492256501,0.468672847,0.952090721,2.031461237,0.121732697,0.911773727,1.446597264,0
28,S,0.160370485,0.090368136,0.309818483,0.333782278,0.467241314,0.491870594,0.463158834,0.941627411,2.033055059,0.107234234,0.625896092,0.333014859,0
29,S,0.182287277,0.152535897,0.382626792,0.400441857,0.379420995,0.576286948,0.594138483,1.030976818,1.735246658,0.184720062,0.355286606,2.236067977,2.020816721
30,S,0.16952823,0.114302133,0.352562826,0.354123605,0.500701234,0.592730213,0.591047315,0.997160769,1.687108196,0.190749489,0.602897814,0.506329883,0.103294394
31,S,0.163025444,0.183303028,0.349513091,0.384155091,0.551557409,0.590655566,0.620219049,1.050051984,1.693034076,0.19864402,0.462048139,0.243239548,0.154252873
32,S,0.170461594,0.168262725,0.341284587,0.396697089,0.363927199,0.581283389,0.782060229,1.345402679,1.720331286,0.556327581,0.253736179,0.310658838,0
33,S,0.121787419,0.128247253,0.346904416,0.364607607,0.307395901,0.462713775,0.468800163,1.013153679,2.161163238,0.138529122,0.682988999,0.188932976,0.286447269
34,N,0.273085838,0.262923732,0.463474963,0.482294253,0.492207085,0.689461098,0.667391678,0.967990334,1.450408157,0.148121787,0.661277808,0.788094054,2.236067977
35,N,0.252465205,0.189092639,0.415624629,0.464830107,0.555147917,0.65043389,0.785243555,1.207261133,1.537435265,0.371355248,0.495671774,1.268905672,0
