Site/Project: McLaughlin 80 sites,,
Experiment: Temporal stability,,
Date: Data collected 2002,,
"Data description: weight of biomass samples collected from a 30 x 30 cm plot, scaled up to a m2 plot",,
"Protocols: biomass was clipped at soil surface, oven-dried for 24 hours and weighed to the nearest gram",,
CVS file & path,,
Names of data takers: Kendi Davis?  These data existed when I came into the lab (BFG),,
"Column info: Site (1-80), weight of biomass for original sample, weight of biomass estimated for a m2 plot",,
Definitions & Abbreviations: g=gram,,
site,weight_g,per_m2
1,19.67,218.5555556
2,2.7,30
3,3.24,36
4,9.86,109.5555556
5,15.99,177.6666667
6,18.97,210.7777778
7,12.13,134.7777778
8,15.15,168.3333333
9,36.93,410.3333333
10,6.27,69.66666667
11,9.38,104.2222222
12,3.34,37.11111111
13,10.12,112.4444444
14,14.6,162.2222222
15,19.48,216.4444444
16,9.28,103.1111111
17,2.63,29.22222222
18,7.6,84.44444444
19,28.67,318.5555556
20,22.99,255.4444444
21,13.02,144.6666667
22,21.87,243
23,22.43,249.2222222
24,10.95,121.6666667
25,3.42,38
26,4.13,45.88888889
27,4.44,49.33333333
28,2.88,32
29,9.41,104.5555556
30,22,244.4444444
31,10.62,118
32,10.56,117.3333333
33,2.97,33
34,28.69,318.7777778
35,33.39,371
36,17.45,193.8888889
37,20.94,232.6666667
38,6.56,72.88888889
39,8.74,97.11111111
40,7.66,85.11111111
41,7.15,79.44444444
43,27.01,300.1111111
44,8.74,97.11111111
44,14.42,160.2222222
45,5.33,59.22222222
46,8.54,94.88888889
47,3.44,38.22222222
48,2.07,23
49,2.12,23.55555556
50,13.88,154.2222222
51,12.86,142.8888889
52,34.37,381.8888889
53,14.5,161.1111111
54,5.84,64.88888889
55,4.1,45.55555556
56,13.93,154.7777778
57,2.36,26.22222222
58,13.15,146.1111111
59,38.94,432.6666667
60,27.33,303.6666667
61,16.6,184.4444444
62,22.44,249.3333333
63,19.7,218.8888889
64,34.87,387.4444444
65,37.26,414
66,49.15,546.1111111
67,23.51,261.2222222
68,24.3,270
69,14.22,158
70,15.83,175.8888889
71,5.75,63.88888889
72,26.64,296
73,11.54,128.2222222
74,36,400
75,23.39,259.8888889
76,13,144.4444444
77,21.59,239.8888889
78,12.26,136.2222222
79,29.35,326.1111111
80,18.06,200.6666667
