Site/Project: McLaughlin 80 sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment: Temporal stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: Data collected 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data description: results of 80 sites soil analyses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protocols: Analyzed at Western A&L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVS file & path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Names of data takers: ?  Data existed before I came into the lab (BFG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Column info: Site, soil, date analyzed, followed by soil metrics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Definitions & Abbreviations: S=Serpentine, NS=Non-serpentine (See Western A&L for variable definitions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,soil,Date_Analysis,Organic_Matter,ENR,Bray P,Olsen P,pH,K,Mg,Ca,Ca_Mg,Na,H,CEC,K_PCT,MG_PCT,CA_PCT,H_PCT,NA_PCT,NO3_N,S,Zinc,Manganese,Iron,Copper,Boron,Cobalt,Nickel,Sol__Salts,SAND,SILT,CLAY,TEXTURE
1,S,9/19/2001,5.3,135,12.5,12.6,6.9,202.7,2545,2314,0.909233792,29.2,0.5,33.6,1.5,62.2,34.3,1.5,0.4,3.2,0,0.8,14,21,2.6,0.4,0.24,3.91,0.3,53.5,22.5,24,SANDY_CLAY_LOAM
2,S,9/19/2001,2.2,74,6.8,2.9,6.8,149.2,3152,662.2,0.210088832,23.4,0.9,30.6,1.2,84.6,10.8,3,0.3,2.9,0,0.4,10,10,1.9,0.1,0.19,3.07,0.2,70.8,10,19.2,SANDY_LOAM
3,S,9/19/2001,2.5,79,6.4,4.5,7.4,34.5,2684,636,0.236959762,17,0,25.4,0.3,86.9,12.5,0,0.3,6,0,0.7,11,6,1,0.4,0.39,7.87,0.3,44.8,19,36.2,CLAY_LOAM
4,S,9/19/2001,3.9,108,6.4,1,7.1,116.9,2940,1080,0.367346939,15,0,29.9,1,80.8,18,0,0.2,4,0,1.5,14,4.5,2.1,0.5,0.75,17.46,0.4,25.7,19,55.2,CLAY
5,S,9/19/2001,3.9,108,1,4.6,7.3,99.9,3337,1216,0.364399161,16.3,0,33.8,0.8,81.1,17.9,0,0.2,3.2,0,0.8,7.2,2.7,1.6,0.5,0.23,6.91,0.2,27.4,25.9,46.7,CLAY
6,S,9/19/2001,2.9,87,4.5,1,7.2,130.2,2448,442.2,0.180637255,13.6,0,22.7,1.5,88.6,9.7,0,0.3,3.2,0,0.6,8,6,1.4,0.3,0.42,18.09,0.2,38.5,20.5,41,CLAY
7,S,9/19/2001,2.4,77,10.8,2.7,6.9,131.6,2226,578.9,0.260062893,15.9,0.3,21.9,1.5,83.5,13.2,1.5,0.3,4.6,0,1.3,23.8,18.5,3,0.3,0.62,10.16,0.2,51.6,19.2,29.2,SANDY_CLAY_LOAM
8,S,9/19/2001,3.8,105,8.2,2.8,7.5,62.1,1927,859.9,0.446237675,18.9,0,20.4,0.8,77.8,21.1,0,0.4,3,5.3,1.3,14.2,11.5,1.4,1.7,0.39,16.94,0.4,52.8,24,23.2,SANDY_CLAY_LOAM
9,S,9/19/2001,4.1,111,6.4,2.8,7.5,165.4,2874,768.8,0.26750174,19.7,0,28,1.5,84.5,13.7,0,0.3,3.3,0,0.9,13,10.5,2.9,0.8,0.26,11.86,0.3,29.6,24,46.4,CLAY
10,S,9/19/2001,3.5,100,10.1,2,6.7,30,1301,639.5,0.491544965,13.7,0.7,14.7,0.5,72.8,21.7,4.5,0.4,3,0,1.4,11.2,17.6,1.5,0.2,0.65,20.9,0.2,54.7,20,25.3,SANDY_CLAY_LOAM
