"site","Serpentine","Grass.Forb","Species_Name","Year","Count"
37,"N","Forb","Achyrachaena mollis",2012,1
72,"N","Forb","Achyrachaena mollis",2012,1
14,"S","Forb","Achyrachaena mollis",2012,1
8,"S","Forb","Achyrachaena mollis",2014,2
7,"S","Forb","Achyrachaena mollis",2014,1
36,"N","Forb","Achyrachaena mollis",2012,1
67,"N","Forb","Achyrachaena mollis",2012,1
57,"N","Forb","Achyrachaena mollis",2012,1
71,"N","Forb","Achyrachaena mollis",2012,1
23,"S","Forb","Achyrachaena mollis",2012,1
78,"N","Forb","Achyrachaena mollis",2012,2
21,"S","Forb","Achyrachaena mollis",2012,1
14,"S","Forb","Achyrachaena mollis",2014,1
7,"S","Forb","Achyrachaena mollis",2012,1
10,"S","Grass","Aegilops triuncialis",2014,1
4,"S","Grass","Aegilops triuncialis",2012,6
4,"S","Grass","Aegilops triuncialis",2014,2
5,"S","Grass","Aegilops triuncialis",2014,1
33,"S","Grass","Aegilops triuncialis",2014,4
3,"S","Forb","Agoseris heterophylla",2014,2
11,"S","Forb","Agoseris heterophylla",2014,1
7,"S","Forb","Agoseris heterophylla",2012,2
19,"S","Forb","Agoseris heterophylla",2012,1
15,"S","Forb","Agoseris heterophylla",2012,1
8,"S","Forb","Agoseris heterophylla",2012,1
9,"S","Forb","Agoseris heterophylla",2012,2
19,"S","Forb","Agoseris heterophylla",2014,1
16,"S","Forb","Agoseris heterophylla",2014,1
21,"S","Forb","Agoseris heterophylla",2012,1
11,"S","Forb","Agoseris heterophylla",2012,3
2,"S","Forb","Agoseris heterophylla",2012,1
8,"S","Forb","Agoseris heterophylla",2014,13
56,"N","Grass","Aira caryophyllea",2014,2
40,"N","Grass","Aira caryophyllea",2014,6
38,"N","Grass","Aira caryophyllea",2014,1
39,"N","Grass","Aira caryophyllea",2014,1
78,"N","Grass","Aira caryophyllea",2014,1
47,"S","Forb","Allium fimbriatum",2014,1
41,"N","Forb","Amsinckia menziesii",2014,1
56,"N","Forb","Amsinckia menziesii",2012,1
1,"S","Forb","Amsinckia menziesii",2012,1
57,"N","Forb","Amsinckia menziesii",2012,2
3,"S","Forb","Amsinckia menziesii",2014,1
75,"N","Forb","Amsinckia menziesii",2012,1
10,"S","Forb","Amsinckia menziesii",2012,2
2,"S","Forb","Amsinckia menziesii",2014,1
69,"N","Forb","Anagallis arvensis",2014,3
5,"S","Forb","Anagallis arvensis",2012,6
30,"S","Forb","Anagallis arvensis",2012,5
69,"N","Forb","Anagallis arvensis",2012,1
14,"S","Forb","Anagallis arvensis",2012,1
30,"S","Forb","Anagallis arvensis",2014,14
5,"S","Forb","Anagallis arvensis",2014,7
59,"N","Forb","Anagallis arvensis",2012,16
40,"N","Forb","Anagallis arvensis",2012,2
9,"S","Forb","Anagallis arvensis",2014,122
4,"S","Forb","Anagallis arvensis",2012,1
9,"S","Forb","Anagallis arvensis",2012,41
3,"S","Forb","Anagallis arvensis",2012,5
3,"S","Forb","Anagallis arvensis",2014,1
14,"S","Forb","Ancistrocarphus filagineus",2014,28
47,"S","Forb","Ancistrocarphus filagineus",2014,3
45,"S","Forb","Ancistrocarphus filagineus",2014,1
33,"S","Forb","Ancistrocarphus filagineus",2012,5
9,"S","Forb","Ancistrocarphus filagineus",2014,10
12,"S","Forb","Ancistrocarphus filagineus",2014,1
18,"S","Forb","Ancistrocarphus filagineus",2014,3
13,"S","Forb","Ancistrocarphus filagineus",2014,9
2,"S","Forb","Ancistrocarphus filagineus",2014,7
66,"N","Forb","Aphanes occidentalis",2014,1
39,"N","Forb","Aphanes occidentalis",2014,3
68,"N","Forb","Aphanes occidentalis",2014,1
71,"N","Forb","Aphanes occidentalis",2014,4
41,"N","Forb","Aphanes occidentalis",2014,4
79,"N","Forb","Aphanes occidentalis",2014,1
72,"N","Forb","Aphanes occidentalis",2014,4
78,"N","Forb","Aphanes occidentalis",2014,3
34,"N","Forb","Aphanes occidentalis",2014,1
77,"N","Forb","Astragalus breweri",2012,1
7,"S","Forb","Astragalus breweri",2012,1
55,"S","Forb","Astragalus breweri",2012,1
12,"S","Forb","Astragalus breweri",2014,1
12,"S","Forb","Astragalus gambelianus",2014,1
17,"N","Forb","Astragalus gambelianus",2012,2
71,"N","Forb","Astragalus gambelianus",2012,1
31,"S","Forb","Astragalus gambelianus",2012,2
55,"S","Forb","Astragalus gambelianus",2014,2
6,"S","Forb","Astragalus gambelianus",2012,1
7,"S","Forb","Astragalus gambelianus",2014,1
29,"S","Forb","Astragalus gambelianus",2014,2
76,"N","Forb","Astragalus gambelianus",2012,1
75,"N","Forb","Astragalus gambelianus",2012,2
36,"N","Forb","Astragalus gambelianus",2012,1
38,"N","Forb","Athysanus pusillus",2012,3
13,"S","Forb","Athysanus pusillus",2012,1
24,"S","Forb","Athysanus pusillus",2014,1
78,"N","Forb","Athysanus pusillus",2014,1
28,"S","Forb","Athysanus pusillus",2012,1
62,"N","Forb","Athysanus pusillus",2012,1
21,"S","Forb","Athysanus pusillus",2012,1
76,"N","Forb","Athysanus pusillus",2012,1
7,"S","Forb","Athysanus pusillus",2014,2
22,"S","Forb","Athysanus pusillus",2014,1
23,"S","Forb","Athysanus pusillus",2012,1
72,"N","Forb","Athysanus pusillus",2012,2
6,"S","Forb","Athysanus pusillus",2012,1
52,"N","Forb","Athysanus pusillus",2014,1
78,"N","Forb","Athysanus pusillus",2012,8
24,"S","Forb","Athysanus pusillus",2012,1
11,"S","Forb","Athysanus pusillus",2012,3
41,"N","Forb","Athysanus pusillus",2012,1
13,"S","Forb","Athysanus pusillus",2014,5
14,"S","Forb","Athysanus pusillus",2014,1
7,"S","Forb","Athysanus pusillus",2012,2
8,"S","Forb","Athysanus pusillus",2014,10
19,"S","Forb","Athysanus pusillus",2014,2
4,"S","Forb","Athysanus pusillus",2012,1
52,"N","Forb","Athysanus pusillus",2012,1
19,"S","Forb","Athysanus pusillus",2012,2
73,"N","Forb","Athysanus pusillus",2014,1
73,"N","Forb","Athysanus pusillus",2012,1
51,"N","Forb","Athysanus pusillus",2012,1
63,"N","Forb","Athysanus pusillus",2012,1
