id,seed_mass_g
Abarema_jupunba,160
Abarema_macradenia,90
Abelia_triflora,2.5
Abelmoschus_crinitus,18.02
Abelmoschus_esculentus,49.6
Abelmoschus_ficulneus,22.77
Abelmoschus_manihot,33.3
Abies_alba,68.7
Abies_alba,68.7
Abies_amabilis,55
Abies_amabilis,55
Abies_balsamea,7.6
Abies_balsamea,7.6
Abies_bracteata,35.71
Abies_bracteata,35.71
Abies_cephalonica,71.43
Abies_cephalonica,71.43
Abies_cilicica,115.38
Abies_cilicica,115.38
Abies_concolor,28.6
Abies_concolor,28.6
Abies_concolor,32.26
Abies_concolor,32.26
Abies_concolor,34.5
Abies_concolor,34.5
Abies_concolor,37.7
Abies_concolor,37.7
Abies_firma,40.12
Abies_firma,40.12
Abies_fraseri,8.1
Abies_fraseri,8.1
Abies_grandis,20.5
Abies_grandis,20.5
Abies_homolepis,17.4
Abies_homolepis,17.4
Abies_koreana,10
Abies_koreana,10
Abies_lasiocarpa,9.3
Abies_lasiocarpa,9.3
Abies_lasiocarpa,17
Abies_lasiocarpa,17
Abies_lasiocarpa,20.375
Abies_lasiocarpa,20.375
Abies_magnifica,65.64
Abies_magnifica,65.64
Abies_magnifica,71.152
Abies_magnifica,71.152
Abies_magnifica,87.3
Abies_magnifica,87.3
Abies_mariesii,26
Abies_mariesii,26
Abies_nordmanniana,60.61
Abies_nordmanniana,60.61
Abies_nordmanniana,82.2
Abies_nordmanniana,82.2
Abies_numidica,33.22
Abies_numidica,33.22
Abies_pindrow,23.74
Abies_pindrow,23.74
Abies_pinsapo,50.76
Abies_pinsapo,50.76
Abies_pinsapo,60.24
Abies_pinsapo,60.24
Abies_procera,35.3
Abies_procera,35.3
Abies_religiosa,28.37
Abies_religiosa,28.37
Abies_religiosa,40
Abies_religiosa,40
Abies_sachalinensis,4.2
Abies_sachalinensis,4.2
Abies_sachalinensis,9.18
Abies_sachalinensis,9.18
Abies_sachalinensis,9.52
Abies_sachalinensis,9.52
Abies_sibirica,10
Abies_sibirica,10
Abies_spectabilis,37.04
Abies_spectabilis,37.04
Abies_veitchii,10
Abies_veitchii,10
Abies_vejarii,20
Abies_vejarii,20
Abronia_ameliae,1.41
Abronia_latifolia,11.59
Abronia_maritima,8.66
Abronia_pogonantha,6.36
Abronia_turbinata,3.03
Abronia_umbellata,2.868
Abronia_umbellata,10.25
Abronia_villosa,2
Abronia_villosa,3.27
Abronia_villosa,11.53
Abrophyllum_ornans,0.049
Abrus_canescens,28.14
Abrus_laevigatus,49.25
Abrus_precatorius,74.79
Abrus_precatorius,87.4
Abrus_schimperi,57.81
Abrus_schimperi,62.21
Abuta_grandifolia,1150
Abuta_racemosa,579
Abutilon_abutiloides,5.3
Abutilon_angulatum,4.89
Abutilon_angulatum,5.38
Abutilon_auritum,3.82
Abutilon_bidentatum,2.6
Abutilon_dugesii,5.11
Abutilon_englerianum,2.99
Abutilon_fraseri,1.12
Abutilon_fruticosum,3
Abutilon_glabriflorum,4.04
Abutilon_grandiflorum,4.67
Abutilon_greveanum,2.8
Abutilon_guineense,4.6
Abutilon_hirtum,4.34
Abutilon_incanum,3.7
Abutilon_lepidum,2.07
Abutilon_leucopetalum,2.48
Abutilon_longicuspe,4
Abutilon_mauritianum,3.39
Abutilon_molle,3.2
Abutilon_muticum,3.39
Abutilon_otocarpum,2.24
Abutilon_pannosum,4.03
Abutilon_pseudocleistogamum,2.63
Abutilon_pycnodon,3.49
Abutilon_ramosum,3.15
Abutilon_sonneratianum,2.94
Abutilon_sylvaticum,8.51
Abutilon_theophrasti,9
Abutilon_trisulcatum,2.7
Abutilon_umbellatum,2.67
Acacia_abyssinica,69
Acacia_acatlensis,24.94
Acacia_accola,11.51
Acacia_acinacea,10.9
Acacia_acradenia,7.6
Acacia_acrionastes,20.42
Acacia_acuifera,15.31
Acacia_acuminata,15.2
Acacia_acuminata,34.01
Acacia_adansonii,139.77
Acacia_adoxa,7.31
Acacia_adsurgens,7.49
Acacia_adunca,47.9
Acacia_aestivalis,111.09
Acacia_alata,7.3511
Acacia_alata,19.65
Acacia_alcockii,18.15
Acacia_allenii,22.7
Acacia_amabilis,181.81
Acacia_amblygona,10
Acacia_ammobia,8
Acacia_amoena,9.88
Acacia_ampliceps,26.5
Acacia_amythethophylla,95.28
Acacia_anceps,23.23
Acacia_ancistrocarpa,36.67
Acacia_anegadensis,19.83
Acacia_aneura,12.7
Acacia_aneura,15.78
Acacia_aneura,16.45
Acacia_anfractuosa,3.75
Acacia_angustissima,8.04
Acacia_angustissima,10.1
Acacia_angustissima,10.59
Acacia_anthochaera,14.97
Acacia_aphylla,16.24
Acacia_aprica,3.36
Acacia_arenaria,35.76
Acacia_arenosa,15.59
Acacia_argyrophylla,58.76
Acacia_armata,5.93
Acacia_ascendens,5.61
Acacia_asepala,4.68
Acacia_aspera,13.1
Acacia_assimilis,2.3
Acacia_assimilis,2.87
Acacia_ataxacantha,87.77
Acacia_atkinsiana,10.23
Acacia_aulacocarpa,19
Acacia_aureocrinita,28.41
Acacia_auriculiformis,20
Acacia_ausfeldii,11.67
Acacia_baeuerlenii,30.65
Acacia_baileyana,21.8
Acacia_bakeri,39.79
Acacia_barringtonensis,11.81
Acacia_baueri,13.58
Acacia_beadleana,13.88
Acacia_beauverdiana,2.87
Acacia_beckleri,17.8
Acacia_bellula,27.15
Acacia_berlandieri,283
Acacia_betchei,32.31
Acacia_bidwilii,102.7
Acacia_bifaria,3.92
Acacia_bilimekii,28.7
Acacia_binervata,18.2
Acacia_binervia,10.24
Acacia_bivenosa,26.66
Acacia_blakei,6.59
Acacia_blakelyi,23.13
Acacia_boormanii,13.26
Acacia_borleae,26.11
Acacia_botrydion,19.47
Acacia_brachybotrya,21.86
Acacia_brachystachya,29.6
Acacia_brassii,7.84
Acacia_brevispica,184.31
Acacia_brevispica,202.16
Acacia_browniana,4.59
Acacia_brumalis,16.19
Acacia_brunioides,10.34
Acacia_burbidgeae,8.06
Acacia_burkei,127.42
Acacia_burkittii,20.82
Acacia_burrowii,5.31
Acacia_bussei,24.38
Acacia_buxifolia,15.7
Acacia_caerulescens,37.86
Acacia_caesariata,1.55
Acacia_caesiella,19.23
Acacia_caffra,43.58
Acacia_calamifolia,27
Acacia_calcicola,45
Acacia_cambagei,32.23
Acacia_campylophylla,6.37
Acacia_cangaiensis,18.38
Acacia_cardiophylla,15.1
Acacia_carens,30.86
Acacia_caroleae,10.71
