Site,Achillea_millefolium,Achyrachaena_mollis,Adenostoma_fasciculatum,Aegilops_triuncialis,Agoseris_grandiflora,Agoseris_heterophylla,Aira_caryophyllea,Allium,Allium_amplectens,Allium_falcifolium,Allium_fimbriatum,Allium_serra,Allophyllum_gilioides,Amsinckia_menziesii,Anagallis_arvensis,Ancistrocarphus_filagineus,Anthriscus_caucalis,Antirrhinum_vexillo-calyculatum,Aphanes_occidentalis,Apocynum_cannabinum,Asclepias_eriocarpa,Asclepias_fascicularis,Astragalus_breweri,Astragalus_gambelianus,Astragalus_rattanii_var._jepsonianus,Athysanus_pusillus,Atriplex_triangularis,Avena_fatua,Bellardia_trixago,Brassica_nigra,Briza_minor,Brodiaea_elegans,Bromus,Bromus_carinatus,Bromus_diandrus,Bromus_hordeaceus,Bromus_laevipes,Bromus_madritensis,Bromus_tectorum,Calandrinia_ciliata,Calochortus,Calochortus_luteus,Calochortus_superbus,Calochortus_vestae,Calycadenia_pauciflora,Camissonia_graciliflora,Camissonia_ovata,Capsella_bursa-pastoris,Cardamine_oligosperma,Carduus_pycnocephalus,Carex,Castilleja_attenuata,Castilleja_densiflora,Castilleja_exserta,Castilleja_rubicundula,Centaurea_melitensis,Centaurea_solstitialis,Centaurium_trichanthum,Cerastium_glomeratum,Cerastium_vulgare,Cercocarpus_betuloides,Chaenactis_glabriuscula,Chamomilla_suaveolens,Chlorogalum_pomeridianum,Chorizanthe_membranacea,Chorizanthe_polygonoides,Cirsium_vulgare,Clarkia_gracilis,Clarkia_purpurea,Claytonia_exigua,Claytonia_parviflora,Collinsia_heterophylla,Collinsia_sparsiflora,Convolvulus_arvensis,Crassula_connata,Cryptantha_hispidula,Cuscuta_californica,Cynosurus_echinatus,Dactylis_glomerata,Daucus_pusillus,Delphinium_hesperium,Delphinium_variegatum,Dichelostemma_capitatum,Dodecatheon_hendersonii,Elymus_elymoides,Elymus_glaucus,Elytrigia_repens,Epilobium_,Epilobium_brachycarpum,Eremocarpus_setigerus,Eriodictyon_californicum,Eriogonum,Eriogonum_covilleanum,Eriogonum_nudum,Eriogonum_vimineum,Eriophyllum_lanatum,Erodium_botrys,Erodium_brachycarpum,Erodium_cicutarium,Eschscholzia_californica,Euphorbia_crenulata,Filago_californica,Filago_gallica,Fritillaria_pluriflora,Galium_aparine,Galium_murale,Galium_porrigens,Gastridium_ventricosum,Geranium_dissectum,Geranium_molle,Gilia_capitata,Gilia_tricolor,Githopsis_specularioides,Gnaphalium_californicum,Grindelia_camporum,Helianthella_californica,Helianthus_exilis,Hemizonia_congesta,Hesperevax_sparsiflora,Hesperolinon,Hesperolinon_californicum,Hesperolinon_disjunctum,Hesperolinon_micranthum,Hieracium_albiflorum,Holocarpha_virgata,Holodiscus_discolor,Hordeum_brachyantherum,Hordeum_depressum,Hordeum_marinum,Hordeum_murinum,Hypochaeris_glabra,Hypochaeris_radicata,Iris_douglasiana,Juncus,Juncus_bufonius,Lactuca_serriola,Lagophylla_minor,Lasthenia_californica,Lathyrus_vestitus,Layia_platyglossa,Layia_septentrionalis,Lepidium_nitidum,Lessingia_ramulosa,Linanthus_bicolor,Linanthus_ciliatus,Linanthus_dichotomus,Linanthus_jepsonii,Linanthus_latisectus,Lithophragma_heterophyllum,Lolium_multiflorum,Lomatium_dasycarpum,Lomatium_macrocarpum,Lomatium_marginatum,Lomatium_utriculatum,Lotus_humistratus,Lotus_micranthus,Lotus_purshianus,Lotus_wrangelianus,Lupinus_albifrons,Lupinus_bicolor,Lupinus_microcarpus,Lupinus_succulentus,Madia_elegans,Madia_exigua,Madia_gracilis,Medicago_polymorpha,Melica_californica,Melica_imperfecta,Melica_torreyana,Melilotus_indica,Micropus_californicus,Microseris_douglasii,Mimulus_androsaceus,Mimulus_douglasii,Mimulus_guttatus,Minuartia,Minuartia_californica,Minuartia_douglasii,Nassella_pulchra,Navarretia_jepsonii,Navarretia_pubescens,Navarretia_tagetina,Navarretia_viscidula,Nemophila_heterophylla,Nemophila_menziesii,Nemophila_pedunculata,Pectocarya_pusilla,Perideridia_kelloggii,Petrorhagia_prolifera,Phacelia_imbricata,Phalaris_paradoxa,Phlox_gracilis,Plagiobothrys_nothofulvus,Plantago_erecta,Plectritis_ciliosa,Poa_annua,Poa_bulbosa,Poa_secunda,Polypogon_monspeliensis,Quercus_douglasii,Quercus_durata,Quercus_lobata,Ranunculus_californicus,Ranunculus_occidentalis,Rigiopappus_leptocladus,Rumex_crispus,Sagina_apetala,Salvia_columbariae,Sanicula_bipinnata,Sanicula_bipinnatifida,Sanicula_crassicaulis,Scutellaria_siphocampyloides,Senecio_eurycephalus,Senecio_vulgaris,Sidalcea_diploscypha,Silene_gallica,Sisymbrium_officinale,Sisyrinchium_bellum,Stellaria_media,Stellaria_nitens,Stephanomeria,Streptanthus_breweri,Taeniatherum_caput-medusae,Thermopsis_macrophylla,Thysanocarpus_curvipes,Torilis,Torilis_arvensis,Torilis_nodosa,Tragopogon_dubius,Trichostema_laxum,Trifolium,Trifolium_albopurpureum,Trifolium_bifidum,Trifolium_ciliolatum,Trifolium_depauperatum,Trifolium_dubium,Trifolium_fucatum,Trifolium_gracilentum,Trifolium_hirtum,Trifolium_microcephalum,Trifolium_microdon,Trifolium_obtusiflorum,Trifolium_variegatum,Trifolium_willdenovii,Triphysaria_eriantha,Triphysaria_versicolor,Triteleia_hyacinthina,Triteleia_laxa,Unknown_forb,Unknown_grass,Uropappus_lindleyi,Velezia_rigida,Vicia_villosa,Viola_douglasii,Vulpia,Vulpia_bromoides,Vulpia_microstachys,Vulpia_myuros,Vulpia_octoflora,Wyethia_glabra,Zigadenus_fremontii
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0,0.98,4.41,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,12.25,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,19.61,0,0,0
2,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,1.82,13.33,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,48.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.88,2.42,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,0,0,12.05,0,0,0,0,0,0,0,7.23,0,6.02,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,0,0,0,0,0,2.41,0,0,0,0,0,3.61,0,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,18.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,9.64,0,0,0
4,0,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.99,0,34.65,0,0,0,0,0,0,0,4.95,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,1.98,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,0,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,1.85,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,1.85,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0
7,0,1.39,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,2.78,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,0,0,5.56,0,0,0,0,0,1.39,0,0,0,0,2.78,0,1.39,0,0,0,0,0,6.94,0,0,0,0,0,0,0,0,0,0,4.17,0,0,9.72,0,0,0,0,0,0,0,0,0,0,0,0,1.39,2.78,0,0,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,1.39,0,0,0
8,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0.94,0,0.94,0,0,0,0,0,8.49,0,0,0,0,0,0,0,0,10.38,0,0,0,0,0,0,0.94,0,0,0,0,0,1.89,0,0,0,2.83,4.72,0,3.77,0,0,0,0,0,1.89,0,0,0,0,0,31.13,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0.94,1.89,0.94,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55,0,0,0
9,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,67.21,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,14.52,0,0,0,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,2.42,0,0,0,8.87,0,0,0.81,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.45,0,0,0,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
