"site","Serpentine","Year","Species_Name","Grass.Forb","Count","SAI_Index1","SAI_Index2","SAI","SAI_RelAb"
1,"S",2012,"Amsinckia menziesii","Forb",1,58.3333333333333,43.4782608695652,50.9057971014493,70.8020474048284
1,"S",2012,"Avena fatua","Grass",25,47.5923852183651,23.0222864735951,35.3073358459801,40.1919106645802
1,"S",2014,"Avena fatua","Grass",34,47.5923852183651,23.0222864735951,35.3073358459801,40.1919106645802
1,"S",2012,"Bromus diandrus","Grass",2,45.8333333333333,88.939566704675,67.3864500190042,82.0068759614966
1,"S",2012,"Bromus hordeaceus","Grass",9,45.6221198156682,31.5181452641966,38.5701325399324,52.9479097994603
1,"S",2014,"Bromus hordeaceus","Grass",2,45.6221198156682,31.5181452641966,38.5701325399324,52.9479097994603
1,"S",2012,"Bromus madritensis","Grass",7,48.374613003096,48.3006108403431,48.3376119217195,73.9258851240921
1,"S",2014,"Centaurea solstitialis","Forb",4,38.0952380952381,21.9009447466361,29.9980914209371,42.1633840733861
1,"S",2012,"Centaurea solstitialis","Forb",7,38.0952380952381,21.9009447466361,29.9980914209371,42.1633840733861
1,"S",2012,"Clarkia purpurea","Forb",2,38.8157894736842,61.2648221343874,50.0403058040358,76.1408679789234
1,"S",2014,"Dichelostemma capitatum","Forb",1,35.0379894798364,36.2101609340486,35.6240752069425,70.6497467474664
1,"S",2014,"Erodium brachycarpum","Forb",1,40,84.7058823529412,62.3529411764706,88.0702909540605
1,"S",2012,"Erodium brachycarpum","Forb",1,40,84.7058823529412,62.3529411764706,88.0702909540605
1,"S",2012,"Erodium cicutarium","Forb",25,36.4285714285714,79.2126740278445,57.8206227282079,88.6691605185272
1,"S",2014,"Erodium cicutarium","Forb",14,36.4285714285714,79.2126740278445,57.8206227282079,88.6691605185272
1,"S",2012,"Euphorbia crenulata","Forb",1,22.9166666666667,41.9063270336894,32.411496850178,73.4266701442993
1,"S",2014,"Holocarpha virgata","Forb",1,38.1818181818182,11.3747553816047,24.7782867817114,21.7508546730697
1,"S",2012,"Holocarpha virgata","Forb",3,38.1818181818182,11.3747553816047,24.7782867817114,21.7508546730697
1,"S",2014,"Juncus bufonius","Grass",2,100,NA,NA,100
1,"S",2012,"Lactuca serriola","Forb",6,41.1547911547912,47.5435816164818,44.3491863856365,64.1480653571359
1,"S",2014,"Lolium multiflorum","Grass",19,51.2807881773399,66.631813275769,58.9563007265545,71.0820074300796
1,"S",2012,"Lolium multiflorum","Grass",41,51.2807881773399,66.631813275769,58.9563007265545,71.0820074300796
1,"S",2012,"Lotus wrangelianus","Forb",11,35.1772287862513,31.9228655642704,33.5500471752609,55.3547698479277
1,"S",2014,"Lupinus bicolor","Forb",1,22.7272727272727,42.485068653408,32.6061706903404,72.1048278982857
1,"S",2012,"Plantago erecta","Forb",2,44.4607843137255,45.9090039245704,45.184894119148,59.8556697044293
1,"S",2012,"Taeniatherum caput-medusae","Grass",5,42.6020408163265,31.0892417803623,36.8456412983444,50.6399215063694
1,"S",2012,"Trifolium gracilentum","Forb",1,52.5,60.5117565698479,56.5058782849239,71.544673136623
1,"S",2014,"Vicia villosa","Forb",2,30,7.33197556008147,18.6659877800407,29.1221616736182
1,"S",2014,"Vulpia microstachys","Grass",1,51.5607580824972,65.0992086248423,58.3299833536698,76.6101186527044
1,"S",2012,"Vulpia microstachys","Grass",15,51.5607580824972,65.0992086248423,58.3299833536698,76.6101186527044
1,"S",2014,"Vulpia myuros","Grass",2,86.9565217391304,73.74749498998,80.3520083645552,69.938752220376
1,"S",2012,"Vulpia myuros","Grass",40,86.9565217391304,73.74749498998,80.3520083645552,69.938752220376
2,"S",2012,"Agoseris heterophylla","Forb",1,22.4137931034483,28.5201225308968,25.4669578171725,59.2650265373829
2,"S",2014,"Amsinckia menziesii","Forb",1,58.3333333333333,43.4782608695652,50.9057971014493,70.8020474048284
2,"S",2014,"Ancistrocarphus filagineus","Forb",7,16.6666666666667,52.5719267654752,34.6192967160709,87.7662988718167
2,"S",2014,"Avena fatua","Grass",2,47.5923852183651,23.0222864735951,35.3073358459801,40.1919106645802
2,"S",2012,"Avena fatua","Grass",4,47.5923852183651,23.0222864735951,35.3073358459801,40.1919106645802
2,"S",2012,"Bromus diandrus","Grass",3,45.8333333333333,88.939566704675,67.3864500190042,82.0068759614966
2,"S",2014,"Bromus hordeaceus","Grass",5,45.6221198156682,31.5181452641966,38.5701325399324,52.9479097994603
2,"S",2012,"Bromus hordeaceus","Grass",22,45.6221198156682,31.5181452641966,38.5701325399324,52.9479097994603
2,"S",2012,"Bromus madritensis","Grass",2,48.374613003096,48.3006108403431,48.3376119217195,73.9258851240921
2,"S",2014,"Bromus madritensis","Grass",4,48.374613003096,48.3006108403431,48.3376119217195,73.9258851240921
2,"S",2014,"Calycadenia pauciflora","Forb",1,20.1690821256039,10.1519025417356,15.1604923336697,36.5977943682238
2,"S",2014,"Chaenactis glabriuscula","Forb",1,NA,52.6315789473684,NA,66.5150632090126
2,"S",2014,"Collinsia sparsiflora","Forb",2,38.4453781512605,47.0500373412995,42.74770774628,65.9171281946218
2,"S",2012,"Dichelostemma capitatum","Forb",10,35.0379894798364,36.2101609340486,35.6240752069425,70.6497467474664
2,"S",2012,"Elymus elymoides","Grass",2,30.5555555555556,15.73082805331,23.1431918044328,33.4579211551739
2,"S",2014,"Eriogonum vimineum","Forb",1,44.6022727272727,74.8286888990407,59.7154808131567,77.4792312346285
2,"S",2012,"Hemizonia congesta","Forb",3,42.9429892141757,21.4022525936185,32.1726209038971,37.4740176270164
2,"S",2014,"Hemizonia congesta","Forb",10,42.9429892141757,21.4022525936185,32.1726209038971,37.4740176270164
2,"S",2014,"Lactuca serriola","Forb",10,41.1547911547912,47.5435816164818,44.3491863856365,64.1480653571359
2,"S",2012,"Lactuca serriola","Forb",7,41.1547911547912,47.5435816164818,44.3491863856365,64.1480653571359
2,"S",2014,"Lasthenia californica","Forb",2,39.1260162601626,25.0900220699268,32.1080191650447,49.9471587217145
2,"S",2014,"Lolium multiflorum","Grass",41,51.2807881773399,66.631813275769,58.9563007265545,71.0820074300796
2,"S",2012,"Lolium multiflorum","Grass",80,51.2807881773399,66.631813275769,58.9563007265545,71.0820074300796
2,"S",2014,"Lotus humistratus","Forb",1,43.2126696832579,30.5548679138523,36.8837687985551,61.6068754948386
2,"S",2012,"Microseris douglasii","Forb",1,41.8859649122807,38.3101758894868,40.0980704008837,59.4688629445468
2,"S",2014,"Minuartia douglasii","Forb",1,29.1666666666667,67.6691729323308,48.4179197994987,83.1117620033059
2,"S",2012,"Minuartia douglasii","Forb",2,29.1666666666667,67.6691729323308,48.4179197994987,83.1117620033059
2,"S",2014,"Navarretia jepsonii","Forb",6,32.5910931174089,30.2835051546392,31.437299136024,47.2177730028874
2,"S",2012,"Plantago erecta","Forb",9,44.4607843137255,45.9090039245704,45.184894119148,59.8556697044293
2,"S",2014,"Plantago erecta","Forb",25,44.4607843137255,45.9090039245704,45.184894119148,59.8556697044293
2,"S",2014,"Rigiopappus leptocladus","Forb",6,37.719298245614,90.488638648703,64.1039684471585,93.206332010252
2,"S",2012,"Stellaria nitens","Forb",2,72.7941176470588,96.1342828077314,84.4642002273951,96.8127690665857
2,"S",2014,"Taeniatherum caput-medusae","Grass",7,42.6020408163265,31.0892417803623,36.8456412983444,50.6399215063694
2,"S",2014,"Trifolium fucatum","Forb",2,47.9166666666667,31.3755210306934,39.6460938486801,46.3580623331472
2,"S",2012,"Vulpia microstachys","Grass",13,51.5607580824972,65.0992086248423,58.3299833536698,76.6101186527044
2,"S",2014,"Vulpia microstachys","Grass",15,51.5607580824972,65.0992086248423,58.3299833536698,76.6101186527044
2,"S",2012,"Vulpia myuros","Grass",4,86.9565217391304,73.74749498998,80.3520083645552,69.938752220376
2,"S",2014,"Vulpia myuros","Grass",6,86.9565217391304,73.74749498998,80.3520083645552,69.938752220376
3,"S",2014,"Agoseris heterophylla","Forb",2,22.4137931034483,28.5201225308968,25.4669578171725,59.2650265373829
3,"S",2014,"Amsinckia menziesii","Forb",1,58.3333333333333,43.4782608695652,50.9057971014493,70.8020474048284
3,"S",2012,"Anagallis arvensis","Forb",5,65.0793650793651,92.6832485301056,78.8813068047353,91.391942868705
3,"S",2014,"Anagallis arvensis","Forb",1,65.0793650793651,92.6832485301056,78.8813068047353,91.391942868705
3,"S",2014,"Avena fatua","Grass",2,47.5923852183651,23.0222864735951,35.3073358459801,40.1919106645802
3,"S",2012,"Avena fatua","Grass",10,47.5923852183651,23.0222864735951,35.3073358459801,40.1919106645802
3,"S",2014,"Bromus hordeaceus","Grass",1,45.6221198156682,31.5181452641966,38.5701325399324,52.9479097994603
3,"S",2012,"Bromus hordeaceus","Grass",6,45.6221198156682,31.5181452641966,38.5701325399324,52.9479097994603
3,"S",2012,"Bromus madritensis","Grass",5,48.374613003096,48.3006108403431,48.3376119217195,73.9258851240921
3,"S",2012,"Calochortus luteus","Forb",1,16.6666666666667,15.5979202772964,16.1322934719815,82.202983442886
3,"S",2014,"Centaurium trichanthum","Forb",2,100,97.8086584714057,98.9043292357028,91.6335393987659
3,"S",2014,"Clarkia purpurea","Forb",1,38.8157894736842,61.2648221343874,50.0403058040358,76.1408679789234
3,"S",2014,"Dichelostemma capitatum","Forb",1,35.0379894798364,36.2101609340486,35.6240752069425,70.6497467474664
3,"S",2012,"Dichelostemma capitatum","Forb",6,35.0379894798364,36.2101609340486,35.6240752069425,70.6497467474664
3,"S",2012,"Erodium cicutarium","Forb",2,36.4285714285714,79.2126740278445,57.8206227282079,88.6691605185272
3,"S",2014,"Erodium cicutarium","Forb",1,36.4285714285714,79.2126740278445,57.8206227282079,88.6691605185272
3,"S",2014,"Gilia tricolor","Forb",1,7.14285714285714,12.3796423658872,9.76124975437217,81.0032159332012
3,"S",2012,"Hemizonia congesta","Forb",3,42.9429892141757,21.4022525936185,32.1726209038971,37.4740176270164
3,"S",2012,"Holocarpha virgata","Forb",2,38.1818181818182,11.3747553816047,24.7782867817114,21.7508546730697
3,"S",2014,"Holocarpha virgata","Forb",2,38.1818181818182,11.3747553816047,24.7782867817114,21.7508546730697
3,"S",2012,"Hypochaeris glabra","Forb",3,28.7878787878788,81.2094348583188,54.9986568230988,86.8561964146602
3,"S",2014,"Juncus bufonius","Grass",1,100,NA,NA,100
3,"S",2014,"Lactuca serriola","Forb",1,41.1547911547912,47.5435816164818,44.3491863856365,64.1480653571359
3,"S",2014,"Lasthenia californica","Forb",12,39.1260162601626,25.0900220699268,32.1080191650447,49.9471587217145
3,"S",2012,"Lasthenia californica","Forb",2,39.1260162601626,25.0900220699268,32.1080191650447,49.9471587217145
3,"S",2012,"Lolium multiflorum","Grass",15,51.2807881773399,66.631813275769,58.9563007265545,71.0820074300796
3,"S",2014,"Lotus humistratus","Forb",1,43.2126696832579,30.5548679138523,36.8837687985551,61.6068754948386
3,"S",2014,"Lotus wrangelianus","Forb",2,35.1772287862513,31.9228655642704,33.5500471752609,55.3547698479277
