"Species_Name","SAI_Index1","SAI_Index2","SAI","SAI_RelAb"
"Achillea millefolium",0,NA,NA,0
"Achyrachaena mollis",29.9773755656109,23.3728290861873,26.6751023258991,51.9594908069361
"Adenostoma fasciculatum",NA,NA,NA,0
"Aegilops triuncialis",28.3333333333333,13.2352941176471,20.7843137254902,39.544851459521
"Agoseris grandiflora",0,NA,NA,0
"Agoseris heterophylla",18.9236111111111,26.1678619887575,22.5457365499343,67.0066520628098
"Aira caryophyllea",50,16.8682910206168,33.4341455103084,35.1524109629782
"Allium falcifolium",0,NA,NA,0
"Allium fimbriatum",12.5,7.60777683854607,10.053888419273,59.3257145583357
"Allium serra",NA,NA,NA,0
"Allophyllum gilioides",NA,NA,NA,0
"Amsinckia menziesii",44.1558441558442,48,46.0779220779221,78.7114425792155
"Anagallis arvensis",61.7424242424242,91.2972322285992,76.5198282355117,89.6976864160172
"Ancistrocarphus filagineus",16.6666666666667,52.5673437363787,34.6170052015227,87.9715728248568
"Antirrhinum vexillo-calyculatum",0,NA,NA,0
"Aphanes occidentalis",NA,94.8730234786775,NA,97.0702576841557
"Apocynum cannabinum",NA,NA,NA,0
"Asclepias eriocarpa",NA,NA,NA,0
"Asclepias fascicularis",NA,NA,NA,0
"Astragalus breweri",54.1666666666667,61.6438356164384,57.9052511415525,55.7469110802106
"Astragalus gambelianus",38.3333333333333,57.784911717496,48.0591225254147,84.9362016406209
"Astragalus rattanii var. jepsonianus",NA,NA,NA,0
"Athysanus pusillus",36.1835748792271,77.5344597598933,56.8590173195602,89.2290825491319
"Avena fatua",48.7611607142857,34.4970374197785,41.6290990670321,47.2487662008324
"Bellardia trixago",NA,55.2147239263804,NA,72.6551584111809
"Brassica nigra",NA,35.1867940920938,NA,46.0962147315606
"Briza minor",100,94.6745562130178,97.3372781065089,83.7754446718258
"Brodiaea elegans",16.6666666666667,11.9521912350598,14.3094289508632,87.4503935468741
"Bromus diandrus",53.6842105263158,19.0159407556169,36.3500756409664,28.6437223069775
"Bromus hordeaceus",47.4083168739657,33.6186016024245,40.5134592381951,51.2097695745129
"Bromus madritensis",46.0577915376677,38.3696224168015,42.2137069772346,59.943356210608
"Bromus sp.",NA,NA,NA,100
"Bromus tectorum",NA,NA,NA,0
"bulb",NA,NA,NA,100
"Calandrinia ciliata",53.3333333333333,87.5634517766497,70.4483925549915,82.8687204108988
"Calochortus luteus",7.14285714285714,12,9.57142857142857,83.5004772939682
"Calochortus superbus",0,NA,NA,0
"Calycadenia pauciflora",21.5277777777778,13.0928135001455,17.3102956389616,37.6066748443882
"Camissonia graciliflora",5,46.875,25.9375,83.0995439936112
"Capsella bursa-pastoris",NA,NA,NA,100
"Cardamine oligosperma",77.7777777777778,97.770154373928,87.7739660758529,95.2819393057486
"Carduus pycnocephalus",16.6666666666667,14.0690948882289,15.3678807774478,60.2173610138667
"Castilleja attenuata",71.6666666666667,84.1121495327103,77.8894080996885,92.2188335025073
"Castilleja densiflora",73.3333333333333,55.0724637681159,64.2028985507246,29.6212441011672
"Castilleja rubicundula",56.6666666666667,61.8556701030928,59.2611683848797,89.7341776857854
"Centaurea melitensis",18.3333333333333,9.99841295032534,14.1658731418293,42.1131318524658
"Centaurea solstitialis",37.037037037037,11.3118826521559,24.1744598445965,25.9978555161716
"Centaurea sp.",NA,NA,NA,0
"Centaurium trichanthum",100,97.3850315599639,98.692515779982,89.3950451424492
"Cerastium glomeratum",91.1764705882353,92.0245398773006,91.6005052327679,89.7135180335731
"Cercocarpus betuloides",0,NA,NA,0
"Chaenactis glabriuscula",NA,52.6315789473684,NA,66.7311722118852
"Chlorogalum pomeridianum",0,NA,NA,0
"Chorizanthe membranacea",NA,NA,NA,0
"Chorizanthe polygonoides",10,24,17,55.1544497215271
"Clarkia gracilis",18.2539682539683,4.11099691675231,11.1824825853603,23.7169902570731
"Clarkia purpurea",36.4822134387352,48.2014388489209,42.341826143828,74.6637127975325
"Claytonia exigua",NA,99.6309963099631,NA,98.4471793177501
"Claytonia parviflora",NA,NA,NA,0
"Collinsia sparsiflora",35.8674463937622,44.6361845234051,40.2518154585836,69.1708225372255
"Crassula connata",80.5668016194332,99.8489425981873,90.2078721088102,98.8575825846616
"Cuscuta californica",NA,NA,NA,0
"Cynosurus echinatus",8.33333333333333,29.9667036625971,19.1500184979652,65.2218554229053
"Dactylis glomerata",12.5,15.2866242038217,13.8933121019108,58.142301434384
"Daucus pusillus",26.6666666666667,20.4894706886739,23.5780686776703,74.0393293145055
"Delphinium hesperium",50,39.6975425330813,44.8487712665406,47.4277527560892
"Delphinium variegatum",18.8311688311688,19.9851961509993,19.408182491084,70.401796145591
"Dichelostemma capitatum",29.088336365474,39.1635758301452,34.1259560978096,76.1497689894183
"Dodecatheon hendersonii",0,NA,NA,0
"Elymus elymoides",30.5555555555556,15.645371577575,23.1004635665653,34.4019526123513
"Elymus glaucus",NA,23.6530880420499,NA,4.20807429928454
"Elytrigia repens",0,NA,NA,0
"Epilobium brachycarpum",26.1363636363636,26.5710670603121,26.3537153483379,57.1984805813586
"Eremocarpus setigerus",17.1875,40.0111141983884,28.5993070991942,71.081124843091
"Eriodictyon californicum",NA,NA,NA,0
"Eriogonum covilleanum",NA,21.9512195121951,NA,69.1034892611553
"Eriogonum nudum",0,NA,NA,0
"Eriogonum vimineum",44.6022727272727,74.8286888990407,59.7154808131567,77.6023591972822
"Eriophyllum lanatum",0,NA,NA,0
"Erodium botrys",28.5714285714286,15.8450704225352,22.2082494969819,29.0713382370352
"Erodium brachycarpum",49.5813953488372,61.9766804914313,55.7790379201342,67.947186942498
"Erodium cicutarium",41.3095238095238,69.0745899599393,55.1920568847316,75.5054051646746
"Eschscholzia californica",0,NA,NA,0
"Euphorbia crenulata",25.1923076923077,38.1056923318175,31.6490000120626,71.4975602569262
"Filago gallica",68.6480186480186,92.9609793420046,80.8044989950116,94.2890113996887
