"Species_Name","Serpentine","SAI_Index1","SAI_Index2","SAI","SAI_RelAb"
"Achillea millefolium","N",0,NA,NA,0
"Achyrachaena mollis","N",25,18.2509505703422,21.6254752851711,39.7065531032766
"Achyrachaena mollis","S",29.1666666666667,32.4909747292419,30.8288206979543,63.2207684989711
"Adenostoma fasciculatum","S",NA,NA,NA,0
"Aegilops triuncialis","S",28.3333333333333,13.2352941176471,20.7843137254902,39.1718632865681
"Agoseris grandiflora","N",0,NA,NA,0
"Agoseris grandiflora","S",NA,NA,NA,0
"Agoseris heterophylla","N",0,NA,NA,0
"Agoseris heterophylla","S",22.4137931034483,28.5201225308968,25.4669578171725,59.2650265373829
"Aira caryophyllea","N",50,17.1606864274571,33.5803432137286,35.0203842030734
"Allium falcifolium","S",0,NA,NA,0
"Allium fimbriatum","S",12.5,7.60777683854607,10.053888419273,59.0639859085849
"Allium serra","N",NA,NA,NA,0
"Allophyllum gilioides","N",NA,NA,NA,0
"Amsinckia menziesii","N",33.9285714285714,53.5714285714286,43.75,84.2966504189203
"Amsinckia menziesii","S",58.3333333333333,43.4782608695652,50.9057971014493,70.8020474048284
"Anagallis arvensis","N",54.1666666666667,80.226904376013,67.1967855213398,68.1749114055553
"Anagallis arvensis","S",65.0793650793651,92.6832485301056,78.8813068047353,91.391942868705
"Ancistrocarphus filagineus","S",16.6666666666667,52.5719267654752,34.6192967160709,87.7662988718167
"Antirrhinum vexillo-calyculatum","S",0,NA,NA,0
"Aphanes occidentalis","N",NA,95.4676952748312,NA,97.4530088853084
"Apocynum cannabinum","S",NA,NA,NA,0
"Asclepias eriocarpa","S",NA,NA,NA,0
"Asclepias fascicularis","S",NA,NA,NA,0
"Astragalus breweri","N",NA,98.9010989010989,NA,96.0730365182591
"Astragalus breweri","S",50,54.7667342799189,52.3833671399594,55.244183777275
"Astragalus gambelianus","N",35.7142857142857,91.304347826087,63.5093167701863,87.4203669520186
"Astragalus gambelianus","S",28.5714285714286,44.9500554938957,36.7607420326621,86.493302871235
"Astragalus rattanii var. jepsonianus","S",NA,NA,NA,0
"Athysanus pusillus","N",39.5424836601307,75.18273581622,57.3626097381754,88.1787789547153
"Athysanus pusillus","S",33.9285714285714,79.0970905222258,56.5128309753986,89.7271222823736
"Avena fatua","N",49.3752788933512,38.9355343674399,44.1554066303955,49.8047596465655
"Avena fatua","S",47.5923852183651,23.0222864735951,35.3073358459801,40.1919106645802
"Bellardia trixago","N",NA,NA,NA,100
"Brassica nigra","N",NA,35.1867940920938,NA,46.0962147315606
"Briza minor","N",100,94.6745562130178,97.3372781065089,83.6270523517031
"Brodiaea elegans","N",50,27.027027027027,38.5135135135135,89.7399480329719
"Brodiaea elegans","S",0,NA,NA,0
"Bromus diandrus","N",53.6949685534591,17.7091102823655,35.7020394179123,28.7741331140228
"Bromus diandrus","S",45.8333333333333,88.939566704675,67.3864500190042,82.0068759614966
"Bromus hordeaceus","N",48.7407407407407,34.6283611082711,41.6845509245059,49.4195146328478
"Bromus hordeaceus","S",45.6221198156682,31.5181452641966,38.5701325399324,52.9479097994603
"Bromus madritensis","N",42.9232192414431,30.8945908460472,36.9089050437451,34.7349198663394
"Bromus madritensis","S",48.374613003096,48.3006108403431,48.3376119217195,73.9258851240921
"Bromus tectorum","N",NA,NA,NA,0
"Calandrinia ciliata","N",83.3333333333333,97.5903614457831,90.4618473895582,94.1236009697077
"Calandrinia ciliata","S",44.2857142857143,82.1382007822686,63.2119575339914,82.1448008803564
"Calochortus luteus","N",0,NA,NA,0
"Calochortus luteus","S",16.6666666666667,15.5979202772964,16.1322934719815,82.202983442886
"Calochortus superbus","N",0,NA,NA,0
"Calochortus superbus","S",0,NA,NA,0
"Calycadenia pauciflora","N",NA,NA,NA,100
"Calycadenia pauciflora","S",20.1690821256039,10.1519025417356,15.1604923336697,36.5977943682238
"Camissonia graciliflora","S",5,47.9233226837061,26.461661341853,82.0185458577267
"Capsella bursa-pastoris","N",NA,NA,NA,100
"Cardamine oligosperma","N",100,95.7446808510638,97.8723404255319,96.465834525286
"Cardamine oligosperma","S",66.6666666666667,98.9917506874427,82.8292086770547,93.681571288636
"Carduus pycnocephalus","N",16.6666666666667,14.0756959649672,15.3711813158169,59.8625973337761
"Castilleja attenuata","N",91.6666666666667,94.3259848211059,92.9963257438863,92.9869473657973
"Castilleja attenuata","S",58.3333333333333,64.0113798008535,61.1723565670934,89.7171233604259
"Castilleja densiflora","N",65,53.7313432835821,59.365671641791,30.8247974594458
"Castilleja densiflora","S",NA,NA,NA,100
"Castilleja rubicundula","S",56.6666666666667,61.9834710743802,59.3250688705234,84.4583748583295
"Centaurea melitensis","N",12.6984126984127,5.52599263200982,9.11220266521126,31.4335215755396
"Centaurea melitensis","S",33.3333333333333,25.4416961130742,29.3875147232038,47.0104167871849
"Centaurea solstitialis","N",36.7375886524823,10.0920154348471,23.4148020436647,23.4485442908553
"Centaurea solstitialis","S",38.0952380952381,21.9009447466361,29.9980914209371,42.1633840733861
"Centaurea sp.","S",NA,NA,NA,0
"Centaurium trichanthum","N",100,95.1008645533141,97.5504322766571,74.0289589087167
"Centaurium trichanthum","S",100,97.8086584714057,98.9043292357028,91.6335393987659
"Cerastium glomeratum","N",96.1538461538462,92.8769192046313,94.5153826792387,89.6879101941138
"Cerastium glomeratum","S",NA,73.5694822888284,NA,89.1766611842202
"Cercocarpus betuloides","N",NA,NA,NA,0
"Cercocarpus betuloides","S",0,NA,NA,0
"Chaenactis glabriuscula","S",NA,52.6315789473684,NA,66.5150632090126
"Chlorogalum pomeridianum","N",0,NA,NA,0
"Chlorogalum pomeridianum","S",0,NA,NA,0
"Chorizanthe membranacea","S",NA,NA,NA,0
"Chorizanthe polygonoides","S",10,24,17,55.1544497215271
"Clarkia gracilis","N",NA,NA,NA,100
"Clarkia gracilis","S",13.3928571428571,3.11526479750779,8.25406097018246,25.584670273207
"Clarkia purpurea","N",35.2777777777778,40.7239819004525,38.0008798391151,72.4080527303388
"Clarkia purpurea","S",38.8157894736842,61.2648221343874,50.0403058040358,76.1408679789234
"Claytonia exigua","N",NA,NA,NA,100
"Claytonia parviflora","N",NA,NA,NA,0
"Collinsia sparsiflora","N",35,33.7331334332834,34.3665667166417,75.2352565503442
"Collinsia sparsiflora","S",38.4453781512605,47.0500373412995,42.74770774628,65.9171281946218
"Crassula connata","N",82.3863636363636,99.8884456125092,91.1374046244364,99.0183209250984
"Crassula connata","S",70.8333333333333,99.5366910775669,85.1850122054501,98.5560466757987
"Cuscuta californica","S",NA,NA,NA,0
"Cynosurus echinatus","N",8.33333333333333,33.8345864661654,21.0839598997494,68.5129281597053
"Dactylis glomerata","N",12.5,15.2866242038217,13.8933121019108,58.1354099884891
"Daucus pusillus","N",29.2307692307692,21.0035005834306,25.1171349070999,69.9642636580043
"Daucus pusillus","S",NA,NA,NA,0
"Delphinium hesperium","N",0,NA,NA,0
"Delphinium hesperium","S",66.6666666666667,40.6189555125725,53.6428110896196,41.0610588070401
"Delphinium variegatum","N",10,36.734693877551,23.3673469387755,88.4215212595933
"Delphinium variegatum","S",16.6666666666667,16.2748643761302,16.4707655213984,61.5917422363092
"Dichelostemma capitatum","N",20.4830053667263,47.5869051636855,34.0349552652059,84.9987823250706
"Dichelostemma capitatum","S",35.0379894798364,36.2101609340486,35.6240752069425,70.6497467474664
"Dodecatheon hendersonii","N",0,NA,NA,0
"Elymus elymoides","S",30.5555555555556,15.73082805331,23.1431918044328,33.4579211551739
"Elymus glaucus","N",NA,23.6530880420499,NA,4.20807429928454
"Elytrigia repens","N",0,NA,NA,0
"Epilobium brachycarpum","N",28.5714285714286,47.6190476190476,38.0952380952381,78.8055753510262
"Epilobium brachycarpum","S",19.7101449275362,24.067956583294,21.8890507554151,55.7807331903916
"Eremocarpus setigerus","N",30.8823529411765,66.1764705882353,48.5294117647059,79.1393484378487
"Eremocarpus setigerus","S",14.1129032258065,35.3518821603928,24.7323926930996,70.9665093159271
"Eriodictyon californicum","S",NA,NA,NA,0
"Eriogonum covilleanum","S",NA,21.9512195121951,NA,68.8754112832002
"Eriogonum nudum","S",0,NA,NA,0
"Eriogonum vimineum","S",44.6022727272727,74.8286888990407,59.7154808131567,77.4792312346285
"Eriophyllum lanatum","N",0,NA,NA,0
"Eriophyllum lanatum","S",0,NA,NA,0
"Erodium botrys","N",28.5714285714286,15.8450704225352,22.2082494969819,29.0702978892053
"Erodium brachycarpum","N",51.3157894736842,61.5923288107269,56.4540591422056,67.627019296988
"Erodium brachycarpum","S",40,84.7058823529412,62.3529411764706,88.0702909540605
"Erodium cicutarium","N",42.3214285714286,67.943924399668,55.1326764855483,72.977165146233
"Erodium cicutarium","S",36.4285714285714,79.2126740278445,57.8206227282079,88.6691605185272
"Eschscholzia californica","S",0,NA,NA,0
"Euphorbia crenulata","N",28.75,33.015407190022,30.882703595011,68.3271794948566
"Euphorbia crenulata","S",22.9166666666667,41.9063270336894,32.411496850178,73.4266701442993
"Filago gallica","N",71.25,94.190258956125,82.7201294780625,95.3647362619543
"Filago gallica","S",46.6666666666667,69.4087403598972,58.0377035132819,77.0242822537105
"Galium aparine","N",44.3850267379679,79.1307232913072,61.7578750146376,86.3929182045646
"Galium murale","N",41.6078431372549,77.4145192376329,59.5111811874439,91.1714177501843
"Galium murale","S",NA,78.0346820809249,NA,87.0057717298527
"Gastridium ventricosum","N",77.4509803921569,84.8218292792388,81.1364048356978,60.4778028848864
"Gastridium ventricosum","S",84.6153846153846,62.6314937692183,73.6234391923015,65.9445532324191
"Geranium dissectum","N",35.2766798418972,16.8440554284742,26.0603676351857,46.2999258730825
"Geranium dissectum","S",25,53.6328214531286,39.3164107265643,76.6051023992512
"Geranium molle","N",35.2678571428571,57.3096312019103,46.2887441723837,60.4454680039011
"Gilia tricolor","N",29.1666666666667,42,35.5833333333333,54.2360680322871
"Gilia tricolor","S",7.14285714285714,12.3796423658872,9.76124975437217,81.0032159332012
"Githopsis specularioides","N",75,98.1818181818182,86.5909090909091,95.9444722238521
"Githopsis specularioides","S",48.3333333333333,87.9888268156425,68.1610800744879,93.597080528896
"Gnaphalium californicum","N",NA,NA,NA,0
"Grindelia camporum","N",25,53.5714285714286,39.2857142857143,35.4791439981863
"Grindelia camporum","S",11.437908496732,7.26245713132943,9.35018281403073,51.2713489583574
"Helianthus exilis","S",0,NA,NA,0
"Hemizonia congesta","N",29.6791443850267,24.2996962537968,26.9894203194118,45.1640878999517
"Hemizonia congesta","S",42.9429892141757,21.4022525936185,32.1726209038971,37.4740176270164
"Hesperolinon californicum","S",32.2222222222222,20.0526635608669,26.1374428915446,44.2526551557008
"Hesperolinon disjunctum","S",23.3333333333333,83.5829838226483,53.4581585779908,91.9495975640408
"Hesperolinon micranthum","S",52.7777777777778,32.1516900247321,42.4647339012549,51.5460167047756
"Holocarpha virgata","N",39.2780172413793,24.2272347535505,31.7526259974649,47.8396898315506
"Holocarpha virgata","S",38.1818181818182,11.3747553816047,24.7782867817114,21.7508546730697
"Hordeum brachyantherum","S",0,NA,NA,0
"Hordeum marinum","N",NA,97.8260869565217,NA,88.7228502575279
"Hordeum marinum","S",NA,NA,NA,0
"Hordeum murinum","S",NA,NA,NA,100
"Hypochaeris glabra","N",35,34.2763873775843,34.6381936887922,56.8832236750707
"Hypochaeris glabra","S",28.7878787878788,81.2094348583188,54.9986568230988,86.8561964146602
"Hypochaeris radicata","N",NA,NA,NA,0
"Iris douglasiana","S",NA,NA,NA,0
"Juncus bufonius","N",100,99.9887323943662,99.9943661971831,98.0876251341272
"Juncus bufonius","S",100,NA,NA,100
"Juncus sp.","S",0,NA,NA,0
"Lactuca serriola","N",44.5564516129032,52.9298545765612,48.7431530947322,65.5014764312525
"Lactuca serriola","S",41.1547911547912,47.5435816164818,44.3491863856365,64.1480653571359
"Lagophylla minor","S",33.3333333333333,18.6657449014863,25.9995391174098,64.2684074863677
"Lasthenia californica","N",NA,90,NA,95.7215241074934
"Lasthenia californica","S",39.1260162601626,25.0900220699268,32.1080191650447,49.9471587217145
"Lathyrus vestitus","N",0,NA,NA,0
"Layia septentrionalis","S",0,NA,NA,0
"Lepidium nitidum","N",50,90,70,82.3049558502812
"Lepidium nitidum","S",0,NA,NA,0
"Lessingia ramulosa","S",17.8571428571429,18.6335403726708,18.2453416149068,43.0154572758661
"Linanthus bicolor","N",8.33333333333333,4.83351235230935,6.58342284282134,30.1605588738905
"Linanthus bicolor","S",23.1818181818182,57.1034482758621,40.1426332288401,86.2537476998569
"Linanthus ciliatus","N",25,35.968028419183,30.4840142095915,70.5339371550063
"Linanthus jepsonii","S",25,9.375,17.1875,19.5215754198801
"Lithophragma heterophyllum","N",NA,89.8203592814371,NA,93.6879306326569
"Lolium multiflorum","N",55.5,69.6134647910565,62.5567323955282,78.2597215397554
"Lolium multiflorum","S",51.2807881773399,66.631813275769,58.9563007265545,71.0820074300796
"Lomatium dasycarpum","N",0,NA,NA,0
"Lomatium dasycarpum","S",0,NA,NA,0
"Lomatium marginatum","N",0,NA,NA,0
"Lomatium marginatum","S",0,NA,NA,0
"Lomatium utriculatum","N",16.6666666666667,22.1674876847291,19.4170771756979,43.1627685265833
"Lomatium utriculatum","S",0,NA,NA,0
"Lotus humistratus","N",10,17.0777988614801,13.53889943074,47.7588731449264
"Lotus humistratus","S",43.2126696832579,30.5548679138523,36.8837687985551,61.6068754948386
"Lotus micranthus","N",0,NA,NA,0
"Lotus micranthus","S",58.3333333333333,14.1084258654474,36.2208795993904,47.9583318124843
"Lotus purshianus","S",NA,9.75081256771398,NA,20.6128775571115
"Lotus wrangelianus","N",40.7894736842105,39.0486903422786,39.9190820132446,77.6561131246455
"Lotus wrangelianus","S",35.1772287862513,31.9228655642704,33.5500471752609,55.3547698479277
"Lupinus albifrons","N",0,NA,NA,0
"Lupinus bicolor","N",41.1498257839721,19.0271544180082,30.0884901009902,44.3369348778584
"Lupinus bicolor","S",22.7272727272727,42.485068653408,32.6061706903404,72.1048278982857
"Lupinus microcarpus","N",50,10.752688172043,30.3763440860215,44.4450869096235
"Lupinus microcarpus","S",25,4.30210325047801,14.651051625239,48.9494885824955
"Lupinus succulentus","N",NA,NA,NA,100
"Lupinus succulentus","S",29.7619047619048,10.7462686567164,20.2540867093106,58.2120398282479
"Madia elegans","N",NA,NA,NA,0
"Madia exigua","N",25,3.20398718405126,14.1019935920256,34.2931487282989
"Madia gracilis","N",7.14285714285714,6.32688927943761,6.73487321114738,73.5552998713572
"Medicago polymorpha","N",42.5,57.8289681892724,50.1644840946362,77.2414816027561
"Medicago polymorpha","S",NA,47.4308300395257,NA,86.7603378964981
"Melica californica","N",0,NA,NA,0
"Melica californica","S",NA,NA,NA,0
"Melilotus indica","N",100,95.1526032315978,97.5763016157989,88.7411172643057
"Melilotus indica","S",100,66.2983425414365,83.1491712707182,79.5375738384045
"Micropus californicus","N",46.8614718614719,59.9777860051833,53.4196289333276,67.5838917780408
"Micropus californicus","S",34.8214285714286,57.9156895893548,46.3685590803917,72.8678839466852
"Microseris douglasii","N",50,7.49286393910561,28.7464319695528,4.76680871680742
"Microseris douglasii","S",41.8859649122807,38.3101758894868,40.0980704008837,59.4688629445468
"Mimulus douglasii","S",14.2857142857143,58.8235294117647,36.5546218487395,90.6256934790751
"Mimulus guttatus","N",NA,NA,NA,100
"Mimulus guttatus","S",73.3333333333333,78.2183595871809,75.7758464602571,56.2703248498311
"Minuartia californica","S",41.6666666666667,45.5465587044534,43.6066126855601,52.5530161400646
"Minuartia douglasii","S",29.1666666666667,67.6691729323308,48.4179197994987,83.1117620033059
"Nassella pulchra","N",17.8571428571429,19.5977968489817,18.7274698530623,41.4866438266906
"Nassella pulchra","S",12.962962962963,3.51425224521671,8.23860760408984,36.9082888259475
"Navarretia jepsonii","N",NA,31.4685314685315,NA,23.3845283402083
"Navarretia jepsonii","S",32.5910931174089,30.2835051546392,31.437299136024,47.2177730028874
"Navarretia pubescens","N",23.3766233766234,17.8006329113924,20.5886281440079,62.2483839084405
"Navarretia pubescens","S",20.8333333333333,24.0284781963809,22.4309057648571,54.3907379695332
"Nemophila heterophylla","N",NA,NA,NA,0
"Nemophila heterophylla","S",NA,NA,NA,0
"Nemophila menziesii","N",NA,NA,NA,0
"Nemophila menziesii","S",NA,47.6190476190476,NA,40.4155634132009
"Pectocarya pusilla","N",50,24.390243902439,37.1951219512195,75.2883804626726
"Perideridia kelloggii","N",NA,NA,NA,0
"Perideridia kelloggii","S",0,NA,NA,0
"Phacelia imbricata","N",NA,NA,NA,0
"Phalaris paradoxa","N",NA,16.2308385933273,NA,63.1548060967121
"Phlox gracilis","N",25,52.9411764705882,38.9705882352941,92.7057554468878
"Phlox gracilis","S",10,37.9213483146067,23.9606741573034,86.9787880301523
"Plagiobothrys nothofulvus","N",0,NA,NA,0
"Plagiobothrys nothofulvus","S",0,NA,NA,0
"Plantago erecta","N",37.741935483871,41.5189440861134,39.6304397849922,60.3897594813116
"Plantago erecta","S",44.4607843137255,45.9090039245704,45.184894119148,59.8556697044293
"Plectritis ciliosa","N",0,NA,NA,0
"Plectritis ciliosa","S",25,10.9756097560976,17.9878048780488,28.1312559905013
"Poa annua","N",NA,NA,NA,0
"Poa bulbosa","N",50,71.3577799801784,60.6788899900892,60.6167495239914
"Poa secunda","N",0,NA,NA,0
"Poa secunda","S",17.8571428571429,36.9913686806412,27.424255768892,85.9622205588761
"Polypogon monspeliensis","N",100,29.2207792207792,64.6103896103896,20.8626938196947
"Polypogon monspeliensis","S",NA,72.5806451612903,NA,58.6162099389544
"Quercus douglasii","N",0,NA,NA,0
"Quercus sp.","S",NA,NA,NA,0
"Ranunculus californicus","N",NA,NA,NA,0
"Ranunculus occidentalis","N",25,11.378002528445,18.1890012642225,73.5409030263674
"Ranunculus occidentalis","S",13.3928571428571,7.25806451612903,10.3254608294931,40.5766130178004
"Rigiopappus leptocladus","N",NA,NA,NA,0
"Rigiopappus leptocladus","S",37.719298245614,90.488638648703,64.1039684471585,93.206332010252
"Sagina apetala","N",100,NA,NA,100
"Sagina apetala","S",100,NA,NA,100
"Salvia columbariae","N",NA,NA,NA,0
"Sanicula bipinnata","N",0,NA,NA,0
"Sanicula bipinnata","S",0,NA,NA,0
"Sanicula bipinnatifida","N",0,NA,NA,0
"Sanicula bipinnatifida","S",0,NA,NA,0
"Sanicula crassicaulis","N",NA,NA,NA,0
"Sanicula crassicaulis","S",NA,NA,NA,0
"Senecio vulgaris","N",42.8571428571429,75.2089136490251,59.033028253084,90.9823814314203
"Senecio vulgaris","S",NA,83.7209302325581,NA,93.0717672018457
"Sidalcea diploscypha","N",16.6666666666667,24.346257889991,20.5064622783288,60.3972252200248
"Sidalcea diploscypha","S",4.34782608695652,7.99763033175355,6.17272820935504,81.3622017586953
"Silene gallica","N",100,96.0187353629977,98.0093676814988,97.5932317369283
"Silene gallica","S",NA,48.8245931283906,NA,72.6849155649608
"Sisyrinchium bellum","N",27.1428571428571,31.3406848520023,29.2417709974297,63.8255886510833
"Sisyrinchium bellum","S",29.1666666666667,12.396694214876,20.7816804407713,26.6459019450891
"Stellaria media","N",NA,97.2972972972973,NA,98.1926571720192
"Stellaria nitens","N",NA,87.1670702179177,NA,90.5048432633943
"Stellaria nitens","S",72.7941176470588,96.1342828077314,84.4642002273951,96.8127690665857
"Taeniatherum caput-medusae","N",40.2380952380952,21.0032401133701,30.6206676757327,34.4140252767478
