"Species_Name","SAI_Index1","SAI_Index2","SAI","SAI_RelAb"
"Achillea millefolium",0,NA,NA,0
"Achyrachaena mollis",29.9773755656109,23.3728290861873,26.6751023258991,51.8266540772992
"Adenostoma fasciculatum",NA,NA,NA,0
"Aegilops triuncialis",28.3333333333333,13.2352941176471,20.7843137254902,39.1718632865681
"Agoseris grandiflora",0,NA,NA,0
"Agoseris heterophylla",18.9236111111111,26.1678619887575,22.5457365499343,63.3711601793015
"Aira caryophyllea",50,16.8682910206168,33.4341455103084,35.1384456994464
"Allium falcifolium",0,NA,NA,0
"Allium fimbriatum",12.5,7.60777683854607,10.053888419273,59.0639859085849
"Allium serra",NA,NA,NA,0
"Allophyllum gilioides",NA,NA,NA,0
"Amsinckia menziesii",44.1558441558442,48,46.0779220779221,78.6607120806846
"Anagallis arvensis",61.7424242424242,91.2972322285992,76.5198282355117,89.6559251544488
"Ancistrocarphus filagineus",16.6666666666667,52.5673437363787,34.6170052015227,87.8235125488549
"Antirrhinum vexillo-calyculatum",0,NA,NA,0
"Aphanes occidentalis",NA,94.8730234786775,NA,97.0700307730986
"Apocynum cannabinum",NA,NA,NA,0
"Asclepias eriocarpa",NA,NA,NA,0
"Asclepias fascicularis",NA,NA,NA,0
"Astragalus breweri",54.1666666666667,61.6438356164384,57.9052511415525,54.7776040916042
"Astragalus gambelianus",38.3333333333333,57.784911717496,48.0591225254147,84.8429792391069
"Astragalus rattanii var. jepsonianus",NA,NA,NA,0
"Athysanus pusillus",36.1835748792271,77.5344597598933,56.8590173195602,89.1712742569796
"Avena fatua",48.7611607142857,34.4970374197785,41.6290990670321,47.0482089049364
"Bellardia trixago",NA,55.2147239263804,NA,72.1618175700232
"Brassica nigra",NA,35.1867940920938,NA,46.0962147315606
"Briza minor",100,94.6745562130178,97.3372781065089,83.6270523517031
"Brodiaea elegans",16.6666666666667,11.9521912350598,14.3094289508632,87.4114415924917
"Bromus diandrus",53.6842105263158,19.0159407556169,36.3500756409664,28.6308879128672
"Bromus hordeaceus",47.4083168739657,33.6186016024245,40.5134592381951,51.0259416469929
"Bromus madritensis",46.0577915376677,38.3696224168015,42.2137069772346,59.6785518837691
"Bromus tectorum",NA,NA,NA,0
"Calandrinia ciliata",53.3333333333333,87.5634517766497,70.4483925549915,82.8687204108988
"Calochortus luteus",7.14285714285714,12,9.57142857142857,83.4318703370459
"Calochortus superbus",0,NA,NA,0
"Calycadenia pauciflora",21.5277777777778,13.0928135001455,17.3102956389616,37.3505353400318
"Camissonia graciliflora",5,46.875,25.9375,82.7216211641823
"Capsella bursa-pastoris",NA,NA,NA,100
"Cardamine oligosperma",77.7777777777778,97.770154373928,87.7739660758529,95.2654855147916
"Carduus pycnocephalus",16.6666666666667,14.0690948882289,15.3678807774478,60.2077882136267
"Castilleja attenuata",71.6666666666667,84.1121495327103,77.8894080996885,91.7163414641112
"Castilleja densiflora",73.3333333333333,55.0724637681159,64.2028985507246,28.9460010100383
