"Species_Name","SAI_Index1","SAI_Index2","SAI","SAI_RelAb"
"Achyrachaena mollis",29.9773755656109,23.3728290861873,26.6751023258991,49.024949938172
"Aegilops triuncialis",28.3333333333333,13.2352941176471,20.7843137254902,44.7227391959468
"Agoseris heterophylla",18.9236111111111,26.1678619887575,22.5457365499343,64.8388011697654
"Aira caryophyllea",50,1.81122962366673,25.9056148118334,21.1737578331752
"Allium fimbriatum",12.5,7.60777683854607,10.053888419273,42.8127562331252
"Amsinckia menziesii",44.1558441558442,48,46.0779220779221,79.3474816121124
"Anagallis arvensis",61.7424242424242,91.2972322285992,76.5198282355117,90.0840560511161
"Ancistrocarphus filagineus",16.6666666666667,52.5673437363787,34.6170052015227,92.3870053349137
"Aphanes occidentalis",NA,94.8730234786775,NA,94.5430360515363
"Astragalus breweri",54.1666666666667,61.6438356164384,57.9052511415525,51.3491735033638
"Astragalus gambelianus",38.3333333333333,57.784911717496,48.0591225254147,85.6217456826835
"Athysanus pusillus",36.1835748792271,77.5344597598933,56.8590173195602,89.3236678327133
"Avena fatua",48.1142857142857,34.2454566242364,41.1798711692611,47.191302235559
"Bellardia trixago",NA,55.2147239263804,NA,56.4477812484151
"Brassica nigra",NA,35.1867940920938,NA,30.0829592048294
"Briza minor",100,91.743119266055,95.8715596330275,81.1504710913763
"Brodiaea elegans",16.6666666666667,11.9521912350598,14.3094289508632,80.1452410525418
"Bromus diandrus",53.6842105263158,18.9835086424738,36.3338595843948,29.7995926818944
"Bromus hordeaceus",47.4083168739657,33.5773254946322,40.492821184299,51.0151651794463
"Bromus madritensis",46.0577915376677,38.3696224168015,42.2137069772346,60.8200149474937
"Calandrinia ciliata",53.3333333333333,87.5634517766497,70.4483925549915,82.5453174641796
"Calochortus luteus",7.14285714285714,12,9.57142857142857,71.5732178151834
"Calycadenia pauciflora",21.5277777777778,13.0928135001455,17.3102956389616,34.0900737049089
"Camissonia graciliflora",5,15,10,34.4800512610616
"Cardamine oligosperma",77.0833333333333,97.5143403441683,87.2988368387508,94.0750900267884
"Carduus pycnocephalus",16.6666666666667,14.0690948882289,15.3678807774478,43.0694944617979
"Castilleja attenuata",71.6666666666667,84.1121495327103,77.8894080996885,89.7973137979782
"Castilleja densiflora",73.3333333333333,55.0724637681159,64.2028985507246,29.3878801524365
"Castilleja rubicundula",56.6666666666667,59.3406593406593,58.003663003663,85.0497194607399
"Centaurea melitensis",18.3333333333333,9.99841295032534,14.1658731418293,47.5181840122942
"Centaurea solstitialis",37.037037037037,11.3118826521559,24.1744598445965,26.9609982499232
"Centaurium trichanthum",100,97.2744360902256,98.6372180451128,87.5734827125395
"Cerastium glomeratum",91.1764705882353,92.0245398773006,91.6005052327679,89.1009014478966
"Chorizanthe polygonoides",10,24,17,38.299755436585
"Clarkia gracilis",18.2539682539683,4.11099691675231,11.1824825853603,21.9863727370734
"Clarkia purpurea",36.4822134387352,48.2014388489209,42.341826143828,73.9311761384255
"Claytonia exigua",NA,99.4475138121547,NA,95.8273034249879
"Collinsia sparsiflora",35.8674463937622,44.6361845234051,40.2518154585836,69.2389545671233
"Crassula connata",80.5668016194332,99.8484848484849,90.207643233959,98.8337766314747
"Cynosurus echinatus",8.33333333333333,29.9667036625971,19.1500184979652,48.3389719232515
"Dactylis glomerata",12.5,15.2866242038217,13.8933121019108,40.9795072778711
"Daucus pusillus",26.6666666666667,20.4894706886739,23.5780686776703,69.1230781372443
"Delphinium hesperium",50,39.6975425330813,44.8487712665406,42.224993156964
"Delphinium variegatum",18.8311688311688,19.9851961509993,19.408182491084,73.3384068323399
"Dichelostemma capitatum",26.2418300653595,37.0112787638717,31.6265544146156,75.8871934659581
"Elymus elymoides",30.5555555555556,15.645371577575,23.1004635665653,31.4815350815356
"Elymus glaucus",NA,23.6530880420499,NA,2.14925834363412
"Epilobium brachycarpum",26.1363636363636,26.5710670603121,26.3537153483379,57.1961718033732
"Eremocarpus setigerus",17.1875,40.0111141983884,28.5993070991942,70.0511966789454
"Eriogonum covilleanum",NA,21.9512195121951,NA,52.5266938544654
"Eriogonum nudum",4.54545454545455,2.63620386643234,3.59082920594344,21.504234058561
"Eriogonum vimineum",44.6022727272727,74.8286888990407,59.7154808131567,77.6971850843388
"Erodium botrys",28.5714285714286,15.8450704225352,22.2082494969819,17.2222286320335
"Erodium brachycarpum",49.5813953488372,61.9766804914313,55.7790379201342,70.8050220847595
"Erodium cicutarium",41.3095238095238,69.0745899599393,55.1920568847316,75.0639005800602
"Euphorbia crenulata",25.1923076923077,38.1056923318175,31.6490000120626,68.6656477009569
"Filago gallica",68.6480186480186,92.5324675324675,80.5902430902431,93.7303426522729
"Galium aparine",44.3850267379679,79.1307232913072,61.7578750146376,91.4640189192306
"Galium murale",42.0769230769231,77.2050971737738,59.6410101253484,91.4500767877098
"Gastridium ventricosum",77.9605263157895,62.1570482497635,70.0587872827765,60.2545838983888
"Geranium dissectum",34.5384615384615,19.6472231924555,27.0928423654585,54.9801083076964
"Geranium molle",35.2678571428571,57.3096312019103,46.2887441723837,60.4620840239818
"Gilia tricolor",15.3409090909091,32.3304894476875,23.8356992692983,66.6156462081832
"Githopsis specularioides",50,88.7792848335388,69.3896424167694,94.0887910657252
"Grindelia camporum",13.1578947368421,8.03412021424321,10.5960074755427,45.6131920760157
"Hemizonia congesta",40.8333333333333,21.6101283834039,31.2217308583686,39.5975471880578
"Hesperolinon californicum",32.2222222222222,20.0526635608669,26.1374428915446,43.1513385324987
"Hesperolinon disjunctum",23.3333333333333,83.5829838226483,53.4581585779908,85.873893079572
"Hesperolinon micranthum",52.7777777777778,32.1516900247321,42.4647339012549,51.3252161474985
"Holocarpha virgata",38.2703081232493,15.1889040163376,26.7296060697935,31.2922014172913
"Hordeum marinum",NA,52.6315789473684,NA,45.93109129457
"Hordeum murinum",NA,98.9010989010989,NA,96.865750985948
"Hypochaeris glabra",32.1754385964912,40.2672109853405,36.2213247909159,59.4098228514248
"Juncus bufonius",100,99.9900980295079,99.9950490147539,96.9708441866791
"Lactuca serriola",42.6448087431694,49.5857650083663,46.1152868757679,64.7474508571748
"Lagophylla minor",33.3333333333333,18.6657449014863,25.9995391174098,64.3182713861694
"Lasthenia californica",39.7212543554007,25.0867842717219,32.4040193135613,50.57675269745
"Lepidium nitidum",8.33333333333333,15.7894736842105,12.0614035087719,27.9555233485267
"Lessingia ramulosa",17.8571428571429,18.6335403726708,18.2453416149068,27.8684476133927
"Linanthus bicolor",18.0392156862745,39.3657736468015,28.702494666538,82.8013349975755
"Linanthus ciliatus",25,35.968028419183,30.4840142095915,55.9825296384048
"Linanthus jepsonii",25,9.375,17.1875,11.4550717798225
"Lithophragma heterophyllum",NA,87.5912408759124,NA,86.0498471364521
"Lolium multiflorum",53.2592592592593,67.218264678554,60.2387619689067,71.5901846656584
"Lomatium utriculatum",8.33333333333333,13.7614678899083,11.0474006116208,30.1746101366674
"Lotus humistratus",40.8831908831909,29.8700391280045,35.3766150055977,61.6012485537499
"Lotus micranthus",36.6666666666667,12.2936824132043,24.4801745399355,52.4148808248282
"Lotus purshianus",NA,9.75081256771398,NA,11.5246034347914
"Lotus wrangelianus",36.900871459695,32.8815098255399,34.8911906426175,61.1801447770774
"Lupinus albifrons",25,35.7852882703777,30.3926441351889,44.8685181257303
"Lupinus bicolor",36.8729096989967,21.5789820714624,29.2259458852295,47.5860566207808
"Lupinus microcarpus",33.3333333333333,6.14544213041994,19.7393877318766,30.9294980225152
"Lupinus succulentus",35.7142857142857,12.316715542522,24.0155006284038,54.2535705302636
"Madia exigua",25,3.20398718405126,14.1019935920256,18.6723358883029
"Madia gracilis",7.14285714285714,6.32688927943761,6.73487321114738,59.7583849077619
"Medicago polymorpha",43.2142857142857,57.1234456433316,50.1688656788086,79.0822931841065
"Melilotus indica",100,86.0813704496788,93.0406852248394,79.1365172001936
"Micropus californicus",38.1352541016407,57.633440061926,47.8843470817833,73.4397189462596
"Microseris douglasii",44.6888749214331,32.6478879395118,38.6683814304724,53.5623754174575
"Mimulus douglasii",14.2857142857143,58.8235294117647,36.5546218487395,83.3427017295129
"Mimulus guttatus",76.1904761904762,79.2335577421025,77.7120169662894,63.6654373702767
"Minuartia californica",41.6666666666667,45.5465587044534,43.6066126855601,54.0224848664501
"Minuartia douglasii",16.6666666666667,58.252427184466,37.4595469255663,76.4156391248574
"Nassella pulchra",14.6341463414634,5.26227865018376,9.94821249582359,20.6627062621747
"Navarretia jepsonii",31.5384615384615,28.0353520718632,29.7869068051624,43.3462134560797
"Navarretia pubescens",23.5507246376812,21.3595524665197,22.4551385521005,53.4246563225679
"Nemophila menziesii",NA,42.4528301886793,NA,42.9941464183402
"Pectocarya pusilla",50,24.0641711229947,37.0320855614973,63.5673489502225
"Phalaris paradoxa",NA,8.7890625,NA,31.3001449818286
"Phlox gracilis",18.75,40.8163265306122,29.7831632653061,88.0360573441388
"Plantago erecta",42.3885918003565,45.2659001816224,43.8272459909895,61.8023933631767
"Plectritis ciliosa",10,6.56934306569343,8.28467153284672,23.622907095599
"Poa bulbosa",50,71.3577799801784,60.6788899900892,43.475670149828
"Poa secunda",16.6666666666667,35.2941176470588,25.9803921568627,76.9418249630505
"Polypogon monspeliensis",100,41.6666666666667,70.8333333333333,35.8739850710359
"Quercus durata",NA,57.6923076923077,NA,82.1494739597998
"Ranunculus occidentalis",15.6565656565657,8.25435646591256,11.9554610612391,51.0719128516504
"Rigiopappus leptocladus",35.7142857142857,85.9623733719248,60.8383295431052,92.3222216764806
"Senecio vulgaris",37.7777777777778,71.7131474103586,54.7454625940682,93.3294867677357
"Sidalcea diploscypha",6.89655172413793,12.0401337792642,9.46834275170107,59.873114615941
"Silene gallica",100,90.0818926296633,95.0409463148317,94.0570897692778
"Sisyrinchium bellum",25.3846153846154,16.0833953834698,20.7340053840426,37.2699320564048
"Stellaria media",NA,96.7741935483871,NA,96.6256892905563
"Stellaria nitens",70.5882352941177,94.8960880195599,82.7421616568388,96.3225544622594
"Taeniatherum caput-medusae",40.7899159663866,22.5390396093844,31.6644777878855,35.3265026937053
"Torilis arvensis",30.5,11.480718280836,20.990359140418,55.5690874963573
"Trifolium albopurpureum",39.8026315789474,52.5145873853848,46.1586094821661,76.5382605783063
"Trifolium bifidum",38.2661290322581,49.1019432354564,43.6840361338572,72.2894213970997
"Trifolium depauperatum",50,87.2093023255814,68.6046511627907,95.1776994368743
"Trifolium dubium",75,89.5244016164128,82.2622008082064,89.9966584544378
"Trifolium fucatum",52.3923444976077,35.1538824163243,43.773113456966,49.2708126800995
"Trifolium gracilentum",51.743679163034,61.6864968458037,56.7150880044189,74.7319662079848
"Trifolium hirtum",41.6428571428571,36.509062762046,39.0759599524516,54.1683244427296
"Trifolium microcephalum",82.6388888888889,68.435282189929,75.537085539409,81.0012601536637
"Trifolium microdon",55.7142857142857,60.6605257245563,58.187405719421,76.4269267202594
"Trifolium willdenovii",29.1666666666667,60.4026845637584,44.7846756152125,69.5578877842636
"Velezia rigida",41.6666666666667,74.3005656627427,57.9836161647047,48.9243098588761
"Vicia villosa",34.012539184953,12.9484382976748,23.4804887413139,31.6240098642576
"Viola douglasii",20,7.83289817232376,13.9164490861619,9.7442930437053
