"Site","Species_Name","Count","Year"
1,"Amsinckia menziesii",1,2012
1,"Avena fatua",25,2012
1,"Bromus diandrus",2,2012
1,"Bromus hordeaceus",9,2012
1,"Bromus madritensis",7,2012
1,"Centaurea solstitialis",7,2012
1,"Clarkia purpurea",2,2012
1,"Erodium brachycarpum",1,2012
1,"Erodium cicutarium",25,2012
1,"Euphorbia crenulata",1,2012
1,"Holocarpha virgata",3,2012
1,"Lactuca serriola",6,2012
1,"Lolium multiflorum",41,2012
1,"Lotus wrangelianus",11,2012
1,"Plantago erecta",2,2012
1,"Taeniatherum caput-medusae",5,2012
1,"Trifolium gracilentum",1,2012
1,"Vulpia microstachys",15,2012
1,"Vulpia myuros",40,2012
2,"Agoseris heterophylla",1,2012
2,"Avena fatua",4,2012
2,"Bromus diandrus",3,2012
2,"Bromus hordeaceus",22,2012
2,"Bromus madritensis",2,2012
2,"Dichelostemma capitatum",10,2012
2,"Elymus elymoides",2,2012
2,"Hemizonia congesta",3,2012
2,"Lactuca serriola",7,2012
2,"Lolium multiflorum",80,2012
2,"Microseris douglasii",1,2012
2,"Minuartia douglasii",2,2012
2,"Plantago erecta",9,2012
2,"Stellaria nitens",2,2012
2,"Vulpia microstachys",13,2012
2,"Vulpia myuros",4,2012
3,"Anagallis arvensis",5,2012
3,"Avena fatua",10,2012
3,"Bromus hordeaceus",6,2012
3,"Bromus madritensis",5,2012
3,"Calochortus luteus",1,2012
3,"Dichelostemma capitatum",6,2012
3,"Erodium cicutarium",2,2012
3,"Hemizonia congesta",3,2012
3,"Holocarpha virgata",2,2012
3,"Hypochaeris glabra",3,2012
3,"Lasthenia californica",2,2012
3,"Lolium multiflorum",15,2012
3,"Plantago erecta",11,2012
3,"Vulpia microstachys",4,2012
3,"Vulpia myuros",8,2012
4,"Aegilops triuncialis",6,2012
4,"Anagallis arvensis",1,2012
4,"Athysanus pusillus",1,2012
4,"Avena fatua",35,2012
4,"Bromus hordeaceus",5,2012
4,"Bromus madritensis",2,2012
4,"Clarkia purpurea",1,2012
4,"Dichelostemma capitatum",3,2012
4,"Eriogonum vimineum",2,2012
