Date,Plot,Species name,# of seedlings,Notes,
12/8/14,1,Erodium brachycarpum,1,,
12/8/14,1,Erodium cicutarium,14,,
12/8/14,1,Vicia villosa,2,,
12/10/14,1,Avena fatua,1,,
12/10/14,1,Lupinus bicolor,1,,
12/13/14,1,Avena fatua,1,,
12/16/14,1,Avena fatua,19,,
12/16/14,1,Centaurea solstitialis,2,,
1/5/15,1,Lolium multiflorum,17,,
1/14/15,1,Avena fatua,12,,
1/14/15,1,Bromus hordeaceus,2,,
1/14/15,1,Holocarpha virgata,1,,
2/4/15,1,Centaurea solstitialis,1,,
2/11/15,1,Vulpia myuros,2,,
2/16/15,1,Avena fatua,1,,
2/16/15,1,Juncus bufonius,1,,
2/16/15,1,Lolium multiflorum,2,,
2/25/15,1,Centaurea solstitialis,1,,
2/25/15,1,Vulpia microstachys,1,,
3/13/15,1,Juncus bufonius,1,,
12/10/14,2,Lotus humistratus,1,,
12/13/14,2,Collinsia sparsiflora,1,,
12/13/14,2,Hemizonia congesta,8,,
12/13/14,2,Plantago erecta,4,,
12/13/14,2,Trifolium fucatum,1,,
1/14/15,2,Calycadenia pauciflora,1,,
1/14/15,2,Lolium multiflorum,3,,
1/14/15,2,Plantago erecta,9,,
2/4/15,2,Lactuca serriola,6,,
2/4/15,2,Lolium multiflorum,6,,
2/4/15,2,Plantago erecta,1,,
2/4/15,2,Vulpia microstachys,6,,
2/4/15,2,Vulpia myuros,6,,
2/7/15,2,Ancistrocarphus filagineus,7,,
2/7/15,2,Eriogonum vimineum,1,,
2/11/15,2,Bromus hordeaceus,3,,
2/11/15,2,Lactuca serriola,1,,
2/11/15,2,Lolium multiflorum,11,,
2/11/15,2,Navarretia jepsonii,3,,
2/11/15,2,Vulpia microstachys,7,,
2/16/15,2,Bromus madritensis,4,,
2/16/15,2,Hemizonia congesta,2,,
2/16/15,2,Lactuca serriola,3,,
2/16/15,2,Lolium multiflorum,11,,
2/16/15,2,Taeniatherum caput-medusae,7,,
2/18/15,2,Bromus hordeaceus,1,,
2/18/15,2,Plantago erecta,8,,
2/21/15,2,Collinsia sparsiflora,1,"every collinsia, before today was heterophylla",
2/21/15,2,Plantago erecta,3,,
2/25/15,2,Bromus hordeaceus,1,,
2/25/15,2,Lasthenia californica,2,,
2/25/15,2,Lolium multiflorum,8,,
2/25/15,2,Vulpia microstachys,2,,
3/4/15,2,Navarretia jepsonii,3,,
3/4/15,2,Rigiopappus leptocladus,4,,
3/11/15,2,Amsinckia menziesii,1,,
3/13/15,2,Rigiopappus leptocladus,1,,
12/8/14,3,Erodium cicutarium,1,,
12/8/14,3,Lupinus bicolor,1,,
12/10/14,3,Lotus humistratus,1,,
12/13/14,3,Lotus wrangelianus,2,,
12/16/14,3,Lactuca serriola,1,,
2/1/15,3,Anagallis arvensis,1,,
2/1/15,3,Holocarpha virgata,1,,
2/4/15,3,Agoseris heterophylla,2,,
2/4/15,3,Clarkia purpurea,1,,
2/4/15,3,Lasthenia californica,4,,
2/7/15,3,Micropus californicus,3,,
2/11/15,3,Bromus hordeaceus,1,,
2/11/15,3,Lasthenia californica,8,,
2/11/15,3,Microseris douglasii,1,,
2/11/15,3,Vulpia microstachys,1,,
2/16/15,3,Dichelostemma capitatum,1,,
2/16/15,3,Holocarpha virgata,1,,
2/16/15,3,Vulpia microstachys,3,,
2/18/15,3,Plantago erecta,3,,
2/21/15,3,Gilia tricolor,1,,
2/25/15,3,Plantago erecta,1,,
2/25/15,3,Vulpia microstachys,2,,
2/25/15,3,Vulpia myuros,1,,
3/1/15,3,Amsinckia menziesii,1,,
3/1/15,3,Vulpia microstachys,1,,
3/4/15,3,Avena fatua,2,,
3/4/15,3,Juncus bufonius,1,,
12/13/14,4,Hemizonia congesta,4,,
1/9/15,4,Aegilops triuncialis,1,,
1/9/15,4,Calycadenia pauciflora,1,,
1/9/15,4,Lotus wrangelianus,1,,
1/9/15,4,Plantago erecta,8,,
2/4/15,4,Aegilops triuncialis,1,,
2/4/15,4,Avena fatua,2,,
2/4/15,4,Bromus hordeaceus,1,,
2/4/15,4,Juncus bufonius,1,,
2/4/15,4,Vulpia microstachys,3,,
2/4/15,4,Vulpia myuros,1,,
2/7/15,4,Stellaria nitens,2,,
2/11/15,4,Bromus hordeaceus,1,,
2/16/15,4,Avena fatua,7,,
2/16/15,4,Lactuca serriola,2,,
2/16/15,4,Taeniatherum caput-medusae,10,,
2/16/15,4,Trifolium gracilentum,1,,
2/16/15,4,Vulpia microstachys,17,,
2/16/15,4,Vulpia myuros,2,,
2/18/15,4,Bromus hordeaceus,1,,
2/18/15,4,Plantago erecta,2,,
2/25/15,4,Avena fatua,2,,
2/25/15,4,Lasthenia californica,2,,
3/1/15,4,Hesperolinon californicum,2,,
3/4/15,4,Avena fatua,4,,
3/11/15,4,Hemizonia congesta,1,,
3/13/15,4,Rigiopappus leptocladus,1,,
12/8/14,5,Avena fatua,2,,
12/8/14,5,Hemizonia congesta,1,,
12/8/14,5,Plantago erecta,3,,
12/13/14,5,Avena fatua,1,,
12/14/14,5,Hemizonia congesta,1,,
1/5/15,5,Aegilops triuncialis,1,superlong ciliate hairs,
1/14/15,5,Avena fatua,18,,
2/1/15,5,Anagallis arvensis,7,,
