Site,Soil,Species,Species_new,Species_notes,years,Max(Year),11/1/2012,11/5/2012,11/15/2012,11/27/2012,12/11/2012,12/12/2012,1/14/2013,1/17/2013,1/22/2013,2/5/2013,2/7/2013,1/31/2013,2/11/2013,2/21/2013,2/22/2013,3/4/2013,3/16/2013,3/26/2013,4/12/2013,6/9/2013,9/9/2013,10/4/2013,10/16/2013,11/1/2013,11/13/2013,11/25/2013,12/16/2013,1/3/2014,1/22/2014,5/20/2014,7/22/2014,SUM
1,Serp,Achillea millefolium,Achillea millefolium,,8,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Achyrachaena mollis,Achyrachaena mollis,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Agoseris heterophylla,Agoseris heterophylla,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Amsinckia menziesii,Amsinckia menziesii,,1,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,Serp,Astragalus gambelianus,Astragalus gambelianus,,3,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Athysanus pusillus,Athysanus pusillus,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Avena barbata,Avena fatua,Merged with Avena fatua,NA,NEW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1,Serp,Avena fatua,Avena fatua,,0,2012,13,1,5,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,22
1,Serp,Brodiaea elegans,Brodiaea elegans,,1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Bromus diandrus,Bromus diandrus,,NA,NEW,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
1,Serp,Bromus hordeaceus,Bromus hordeaceus,,0,2012,,,,,,,,,,7,,,1,,,,1,,,,,,,,,,,,,,,9
1,Serp,Bromus madritensis,Bromus madritensis,,7,2005,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,7
1,Serp,Calochortus luteus,Calochortus luteus,,5,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Calochortus vestae,Calochortus vestae,,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Centaurea solstitialis,Centaurea solstitialis,,0,2012,,,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,7
1,Serp,Clarkia purpurea,Clarkia purpurea,,0,2012,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,Serp,Cuscuta californica,Cuscuta californica,,3,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Dichelostemma capitatum,Dichelostemma capitatum,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Epilobium brachycarpum,Epilobium brachycarpum,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Erodium brachycarpum,Erodium brachycarpum,,0,2012,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,Serp,Erodium cicutarium,Erodium cicutarium,,0,2012,,12,9,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,,25
1,Serp,Euphorbia crenulata,Euphorbia crenulata,,0,2012,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,Serp,Geranium dissectum,Geranium dissectum,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Gilia tricolor,Gilia tricolor,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Hemizonia congesta,Hemizonia congesta,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Holocarpha virgata,Holocarpha virgata,,0,2012,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3
1,Serp,Hypochaeris glabra,Hypochaeris glabra,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Lactuca serriola,Lactuca serriola,,0,2012,,,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,6
1,Serp,Lasthenia californica,Lasthenia californica,,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Lolium multiflorum,Lolium multiflorum,,0,2012,,,,2,,9,9,,,14,,,1,2,,3,,,,,,,,,,,1,,,,,41
1,Serp,Lotus wrangelianus,Lotus wrangelianus,,0,2012,9,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
1,Serp,Lupinus bicolor,Lupinus bicolor,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Lupinus succulentus,Lupinus succulentus,,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Medicago polymorpha,Medicago polymorpha,,1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Micropus californicus,Micropus californicus,,6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Nassella pulchra,Nassella pulchra,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Navarretia pubescens,Navarretia pubescens,,8,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Perideridia kelloggii,Perideridia kelloggii,,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Phlox gracilis,Phlox gracilis,,7,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Plagiobothrys nothofulvus,Plagiobothrys nothofulvus,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Plantago erecta,Plantago erecta,,1,2011,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2
1,Serp,Senecio vulgaris,Senecio vulgaris,,6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Sidalcea diploscypha,Sidalcea diploscypha,,1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Sisyrinchium bellum,Sisyrinchium bellum,,12,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Sonchus oleraceus,Lactuca serriola,Merge with Lactuca serriola,3,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Taeniatherum caput-medusae,Taeniatherum caput-medusae,,0,2012,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,5
1,Serp,Trifolium bifidum,Trifolium bifidum,,3,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Trifolium fucatum,Trifolium fucatum,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Trifolium gracilentum,Trifolium gracilentum,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
1,Serp,Trifolium hirtum,Trifolium hirtum,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Trifolium willdenovii,Trifolium willdenovii,,2,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Vicia villosa,Vicia villosa,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Serp,Vulpia microstachys,Vulpia microstachys,,1,2011,,,,,,,10,,,4,,,,1,,,,,,,,,,,,,,,,,,15
1,Serp,Vulpia myuros,Vulpia myuros,,1,2011,,,,,,,,,,34,,,4,,,,,,,,2,,,,,,,,,,,40
1,Serp,Zigadenus fremontii,Zigadenus fremontii,,11,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Achyrachaena mollis,Achyrachaena mollis,,7,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Agoseris heterophylla,Agoseris heterophylla,,0,2012,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
2,Serp,Allium falcifolium,Allium falcifolium,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Amsinckia menziesii,Amsinckia menziesii,,3,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Ancistrocarphus filagineus,Ancistrocarphus filagineus,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Astragalus gambelianus,Astragalus gambelianus,,1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Athysanus pusillus,Athysanus pusillus,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Avena barbata,Avena fatua,Merged with Avena fatua,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Avena fatua,Avena fatua,,NA,NEW,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,4
2,Serp,Brodiaea elegans,Brodiaea elegans,,0,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,Serp,Bromus diandrus,Bromus diandrus,,NA,NEW,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3
