"site","Serpentine","Species_Name","Grass.Forb.Shrub","Count.12","Count.14","SAI_Index1","SAI_Index2","SAI","SAI_RelAb"
1,"S","Amsinckia menziesii","Forb",1,0,44.1558441558442,48,46.0779220779221,79.1695129791596
1,"S","Avena fatua","Grass",25,34,48.7611607142857,27.2419485041628,38.0015546092243,32.8340004347519
1,"S","Bromus diandrus","Grass",2,0,53.6842105263158,18.9835086424738,36.3338595843948,10.5789730267854
1,"S","Bromus hordeaceus","Grass",9,2,47.4083168739657,33.6186016024245,40.5134592381951,36.7923815705032
1,"S","Bromus madritensis","Grass",7,0,46.0577915376677,38.3696224168015,42.2137069772346,59.9837053209591
1,"S","Centaurea solstitialis","Forb",7,4,37.037037037037,11.3118826521559,24.1744598445965,16.5557299391373
1,"S","Clarkia purpurea","Forb",2,0,36.4822134387352,48.2014388489209,42.341826143828,73.1616825536466
1,"S","Erodium brachycarpum","Forb",1,1,49.5813953488372,61.9766804914313,55.7790379201342,69.4333372112822
1,"S","Erodium cicutarium","Forb",25,14,41.3095238095238,69.0745899599393,55.1920568847316,63.587585435415
1,"S","Euphorbia crenulata","Forb",1,0,25.1923076923077,38.1056923318175,31.6490000120626,68.4443672926967
1,"S","Holocarpha virgata","Forb",3,1,38.2703081232493,15.1889040163376,26.7296060697935,30.6037169967779
1,"S","Juncus bufonius","Grass",0,2,100,99.9901594174375,99.9950797087188,96.8889705082538
1,"S","Lactuca serriola","Forb",6,0,42.6448087431694,49.5857650083663,46.1152868757679,64.3181416635568
1,"S","Lolium multiflorum","Grass",41,19,53.2592592592593,67.2443520933728,60.251805676316,71.3373860442718
1,"S","Lotus wrangelianus","Forb",11,0,36.900871459695,32.8815098255399,34.8911906426175,60.6656162981994
1,"S","Lupinus bicolor","Forb",0,1,36.8729096989967,22.2084802502096,29.5406949746031,22.0414985495582
1,"S","Plantago erecta","Forb",2,0,42.3885918003565,45.3467475238181,43.8676696620873,61.3490041233699
1,"S","Taeniatherum caput-medusae","Grass",5,0,41.2372843874392,22.5523444552379,31.8948144213385,34.2415218354346
1,"S","Trifolium gracilentum","Forb",1,0,51.743679163034,61.6864968458037,56.7150880044189,74.3240427839317
1,"S","Vicia villosa","Forb",0,2,34.012539184953,12.9484382976748,23.4804887413139,30.5550447611429
1,"S","Vulpia microstachys","Grass",15,1,52.8276955602537,65.7111090652862,59.26940231277,75.4696805052793
1,"S","Vulpia myuros","Grass",40,2,73.8075657894737,75.1037077531595,74.4556367713166,71.3472428640774
2,"S","Agoseris heterophylla","Forb",1,0,18.9236111111111,26.1678619887575,22.5457365499343,64.8124850815751
2,"S","Amsinckia menziesii","Forb",0,1,44.1558441558442,48,46.0779220779221,79.1695129791596
2,"S","Ancistrocarphus filagineus","Forb",0,7,16.6666666666667,52.5673437363787,34.6170052015227,92.3792728717368
2,"S","Avena fatua","Grass",4,2,48.7611607142857,27.2419485041628,38.0015546092243,32.8340004347519
2,"S","Bromus diandrus","Grass",3,0,53.6842105263158,18.9835086424738,36.3338595843948,10.5789730267854
2,"S","Bromus hordeaceus","Grass",22,5,47.4083168739657,33.6186016024245,40.5134592381951,36.7923815705032
2,"S","Bromus madritensis","Grass",2,4,46.0577915376677,38.3696224168015,42.2137069772346,59.9837053209591
2,"S","Calycadenia pauciflora","Forb",0,1,21.5277777777778,13.0928135001455,17.3102956389616,33.6351496271915
2,"S","Chaenactis glabriuscula","Forb",0,1,NA,52.6315789473684,NA,50.305840214659
2,"S","Collinsia sparsiflora","Forb",0,2,35.8674463937622,44.6361845234051,40.2518154585836,69.0077095446192
2,"S","Dichelostemma capitatum","Forb",10,0,27.9203170629954,38.5171630117175,33.2187400373564,75.8361628610304
2,"S","Elymus elymoides","Grass",2,0,30.5555555555556,15.645371577575,23.1004635665653,31.4815350815356
2,"S","Eriogonum vimineum","Forb",0,1,44.6022727272727,74.8286888990407,59.7154808131567,77.5569054175315
2,"S","Hemizonia congesta","Forb",3,10,40.8333333333333,21.6101283834039,31.2217308583686,39.0510925084487
2,"S","Lactuca serriola","Forb",7,10,42.6448087431694,49.5857650083663,46.1152868757679,64.3181416635568
2,"S","Lasthenia californica","Forb",0,2,39.7212543554007,25.1736894342687,32.4474718948347,50.4162606308206
2,"S","Lolium multiflorum","Grass",80,39,53.2592592592593,67.2443520933728,60.251805676316,71.3373860442718
2,"S","Lotus humistratus","Forb",0,1,40.8831908831909,30.0898516403148,35.4865212617528,61.4105669019048
2,"S","Microseris douglasii","Forb",1,0,44.6888749214331,32.6478879395118,38.6683814304724,53.1114122802155
2,"S","Minuartia douglasii","Forb",2,1,29.1666666666667,67.6691729323308,48.4179197994987,83.2034717479561
