Species,Species_Name,Category for Missing_ID Issues Species
Achillea millefolium,Achillea millefolium,
Achyrachaena mollis,Achyrachaena mollis,
Adenostoma fasciculatum,Adenostoma fasciculatum,
Aegilops triuncialis,Aegilops triuncialis,
Agoseris grandiflora,Agoseris grandiflora,
Agoseris heterophylla,Agoseris heterophylla,
Aira caryophyllea,Aira caryophyllea,
Allium amplectens,Allium amplectens,
Allium falcifolium,Allium falcifolium,
Allium fimbriatum,Allium fimbriatum,
Allium serra,Allium serra,
Allium sp.,Missing Core_Community_Data,Genus
Allophyllum gilioides,Allophyllum gilioides,
Amsinckia menziesii,Navarretia jepsonii,Mis-Ided
Anagallis arvensis,Anagallis arvensis,
Ancistrocarphus filagineus,Ancistrocarphus filagineus,
Anthriscus caucalis,Anthriscus caucalis,
Antirrhinum vexillo-calyculatum,Antirrhinum vexillo-calyculatum,
Aphanes occidentalis,Aphanes occidentalis,
Apocynum cannabinum,Apocynum cannabinum,
Asclepias fascicularis,Asclepias eriocarpa,
Asclepias sp.,Asclepias fascicularis,
Astragalus breweri,Astragalus breweri,
Astragalus gambelianus,Astragalus gambelianus,
Astragalus rattanii var. jepsonianus,Astragalus rattanii var. jepsonianus,
Athysanus pusillus,Athysanus pusillus,
Atriplex triangularis,Atriplex triangularis,
Avena barbata,Missing Core_Community_Data,Merged with Avena fatua
Avena fatua,Avena fatua,
Avena spp,Missing Core_Community_Data,Merged with Avena fatua
Baccharis pilularis,Missing Core_Community_Data,Doesn't exist
Bellardia trixago,Bellardia trixago,
Brassica nigra,Brassica nigra,
Briza minor,Briza minor,
Brodiaea elegans,Brodiaea elegans,
Bromus carinatus,Bromus carinatus,
Bromus diandrus,Bromus diandrus,
Bromus hordeaceus,Bromus hordeaceus,
Missing Seedbank Data,Bromus japonicus,
Bromus laevipes,Bromus laevipes,
Bromus madritensis,Bromus madritensis,
Bromus sp.,Missing Core_Community_Data,Genus
Bromus tectorum,Bromus tectorum,
Calandrinia ciliata,Calandrinia ciliata,
Calochortus luteus,Calochortus luteus,
Calochortus sp.,Missing Core_Community_Data,Genus
Calochortus superbus,Calochortus superbus,
Calochortus vestae,Calochortus vestae,
Calycadenia ,Missing Core_Community_Data,Change to Calycadenia pauciflora
Calycadenia pauciflora,Calycadenia pauciflora,
Camissonia graciliflora,Camissonia graciliflora,
Camissonia gracilis,Missing Core_Community_Data,Change to graciliflora
Camissonia ovata,Camissonia ovata,
Capsella bursa-pastoris,Capsella bursa-pastoris,
Cardamine oligosperma,Cardamine oligosperma,
Carduus pycnocephalus,Carduus pycnocephalus,
Carduus pynceph,Missing Core_Community_Data,Change to pycnocephalus
Carex sp.,Missing Core_Community_Data,Genus
Castilleja attenuata,Castilleja attenuata,
Castilleja densiflora,Castilleja densiflora,
Castilleja exserta,Castilleja exserta,
